"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"1",0,0,0,0,0,0,0,0,3,0,0
"2",4,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,1,0,1,0,0
"4",4,0,0,0,0,0,0,1,3,0,1
"5",1,0,0,0,0,0,0,0,0,0,0
"6",9,4,1,0,0,0,0,0,11,1,0
"7",0,0,0,0,0,0,0,0,2,0,0
"8",2,0,0,0,0,0,0,0,0,0,0
"9",0,2,0,0,0,0,0,0,2,0,0
"10",6,4,1,0,0,1,1,0,5,0,0
"11",0,0,0,0,0,0,0,0,3,0,0
"12",0,0,0,0,0,1,0,0,0,0,0
"13",8,1,0,0,0,0,0,0,1,0,0
"14",0,0,0,0,0,0,0,1,0,0,0
"15",0,0,0,0,0,0,0,0,1,0,0
"16",0,0,0,0,0,1,0,0,0,0,0
"17",2,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,1,0,0
"20",0,0,0,0,0,1,0,0,0,0,0
"21",0,0,0,0,1,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,1,0,0
"23",2,1,1,0,0,0,0,0,2,0,0
"24",1,1,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,2,0,0
"27",1,0,0,0,0,0,0,0,0,0,0
"28",3,3,0,0,0,0,1,1,4,0,0
"29",11,0,1,0,0,1,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,1,0,0
"31",0,0,0,0,0,1,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,1,0,0
"33",0,0,0,0,0,1,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,2,0,0
"35",0,2,0,0,0,0,0,0,0,0,0
"36",0,0,1,0,0,0,0,0,0,0,1
"37",0,0,0,0,0,0,0,0,1,0,0
"38",0,0,0,0,0,0,1,0,0,0,0
"39",0,0,1,0,0,0,0,0,1,0,0
"40",7,2,1,0,1,1,0,0,12,1,0
"41",0,0,0,0,0,0,0,0,1,0,0
"42",1,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,1,0,0,0,0,0
"44",0,0,0,0,0,1,0,0,0,0,0
"45",1,0,0,0,0,0,1,0,0,0,0
"46",1,0,0,0,0,0,0,0,0,0,0
"47",12,3,4,0,0,1,1,1,25,0,0
"48",0,0,0,0,0,0,0,0,1,0,0
"49",0,0,0,0,0,0,1,0,2,0,0
"50",0,0,0,0,0,0,0,0,1,0,0
"51",1,1,0,0,0,0,0,0,3,0,0
"52",0,0,0,0,0,0,0,0,1,0,0
"53",2,1,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,1,0,2,0,0
"55",1,0,0,0,0,0,0,0,1,0,0
"56",0,1,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,6,0,0
"58",0,0,0,0,0,0,0,0,1,0,0
"59",0,0,0,1,0,0,0,0,0,0,0
"60",2,0,0,0,0,0,0,0,0,0,0
"61",3,1,0,0,0,0,0,0,0,0,0
"62",0,0,0,1,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,1,0,0,0,0
"64",1,0,0,0,0,0,0,0,0,0,0
"65",1,0,0,0,0,0,0,0,0,0,0
"66",3,3,1,0,1,1,0,0,2,1,0
"67",1,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,1,0,0,0,0,1,0,0
"69",3,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,1,0,0
"71",3,0,0,0,0,0,0,0,4,1,0
"72",0,0,0,0,0,0,0,0,1,0,0
"73",0,0,0,0,0,0,0,0,3,0,0
"74",0,0,0,0,0,0,0,0,1,0,0
"75",3,0,0,0,0,0,0,0,2,0,0
"76",1,0,0,0,0,0,0,0,0,0,0
"77",0,1,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,1,0,0
"79",2,1,0,0,0,0,0,1,2,0,0
"80",3,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,1,0,0
"82",2,0,0,0,0,0,0,0,1,0,0
"83",1,0,0,0,0,0,0,0,1,0,0
"84",0,0,0,0,0,0,0,0,1,0,0
"85",1,0,0,0,0,0,0,0,0,0,0
"86",2,0,0,0,0,0,0,0,0,0,0
"87",3,0,0,0,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0,0,0
"89",19,1,0,0,0,0,0,1,0,0,0
"90",0,0,0,0,0,0,0,0,2,0,0
"91",1,0,0,0,0,0,0,0,0,0,0
"92",2,0,0,0,0,0,0,0,1,0,0
"93",23,8,2,0,1,1,1,2,35,1,1
"94",1,0,0,0,0,0,0,0,0,0,0
"95",1,0,0,0,0,0,0,0,0,0,0
"96",3,1,0,0,0,0,0,1,0,1,0
"97",2,0,0,0,0,0,0,0,20,0,0
"98",5,1,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,1,0,0
"100",0,0,0,0,0,0,0,0,19,0,0
"101",2,0,0,0,0,0,0,0,0,0,0
"102",1,0,0,0,0,0,0,0,1,0,0
"103",0,0,0,0,0,0,0,0,2,0,0
"104",0,0,0,0,0,0,0,0,1,0,0
"105",3,1,0,0,0,1,0,0,0,0,0
"106",6,1,0,0,0,0,0,0,6,0,0
"107",1,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,1,0,0,0,0
"109",1,0,0,0,0,0,0,0,0,0,0
"110",1,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,1,0,0,0,3,0,0
"112",0,0,0,0,0,0,0,0,1,0,0
"113",3,0,0,0,0,0,0,1,0,0,0
"114",0,0,1,0,0,0,0,0,1,1,0
"115",0,0,0,0,0,0,0,0,1,0,0
"116",8,0,1,0,1,0,0,0,3,0,0
"117",1,0,0,0,0,0,0,0,0,0,0
"118",2,0,0,0,0,0,0,1,0,1,0
"119",1,0,0,0,0,0,0,0,0,0,0
"120",10,3,1,0,0,1,0,1,7,0,1
"121",0,0,0,0,0,0,0,0,1,0,0
"122",0,0,0,0,0,0,0,0,1,0,0
"123",1,0,0,0,0,0,0,0,0,0,0
"124",1,0,0,0,0,0,0,0,1,0,0
"125",0,1,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,1,0,0
"127",1,0,0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,1,0,0
"129",2,0,1,0,0,0,0,1,3,0,0
"130",0,0,0,0,0,0,0,0,1,0,0
"131",0,1,0,0,0,0,0,0,1,0,0
"132",0,0,0,1,0,0,0,0,0,0,0
"133",2,0,0,0,0,0,0,0,2,0,0
"134",0,0,0,0,0,0,0,0,2,0,0
"135",1,0,0,0,0,0,0,0,0,0,0
"136",0,0,1,0,0,0,1,0,3,0,0
"137",0,0,0,0,0,0,0,0,6,0,0
"138",0,0,0,1,0,0,0,0,0,0,0
"139",4,0,1,0,0,0,1,0,37,0,0
"140",0,1,0,0,0,0,1,0,0,0,0
"141",0,0,1,0,0,0,0,0,0,0,0
"142",1,0,1,0,0,0,0,0,0,0,0
"143",8,0,0,0,1,0,0,0,0,0,0
"144",2,0,0,0,0,0,0,0,5,0,0
"145",0,0,0,0,0,1,0,0,0,0,0
"146",1,0,0,0,0,0,0,0,0,0,0
"147",4,0,0,0,0,0,0,0,0,0,0
"148",0,0,1,0,0,0,1,0,11,0,0
"149",0,0,0,0,0,0,0,0,7,0,0
"150",1,0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,1,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,1,0,0
"153",1,0,0,0,0,0,0,0,0,0,0
"154",1,0,0,0,0,0,0,0,0,0,0
"155",1,0,0,0,0,0,0,0,0,0,0
"156",2,0,0,0,0,0,0,0,0,0,0
"157",0,0,0,0,0,1,0,0,0,0,0
"158",0,0,0,0,0,1,0,0,0,0,0
"159",0,1,0,0,0,0,0,0,0,0,0
"160",2,1,0,0,0,0,0,0,3,1,0
"161",0,0,0,0,0,0,0,0,4,0,0
"162",1,0,0,0,0,0,0,0,4,0,0
"163",1,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,1,0,0
"165",2,0,0,0,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,2,0,0
"167",0,1,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,1,0,0
"169",1,0,0,0,0,0,0,0,0,0,0
"170",0,1,0,0,0,0,0,0,0,0,0
"171",2,0,0,0,0,0,0,0,0,1,0
"172",1,0,0,0,0,0,0,0,0,0,0
"173",1,0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,1,0,0
"175",4,1,0,0,0,0,0,0,2,0,0
"176",0,0,0,0,0,0,0,0,1,0,0
"177",1,0,0,0,0,0,0,0,0,0,0
"178",0,1,0,0,0,0,0,0,0,0,0
"179",5,9,1,0,0,1,0,1,2,1,0
"180",1,1,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,6,0,0
"182",0,0,0,0,0,0,0,0,1,0,0
"183",1,0,0,0,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0,1,0,0
"185",0,0,0,0,0,0,0,0,1,0,0
"186",0,0,0,0,0,0,0,0,2,0,0
"187",0,0,0,0,1,0,0,0,0,0,0
"188",1,0,0,0,0,0,1,0,4,0,0
"189",2,0,1,0,0,0,0,0,1,0,0
"190",4,2,2,1,1,2,1,1,4,1,0
"191",1,3,1,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0,0,3,0,0
"193",0,0,1,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,1,1,0,1
"195",0,0,0,0,0,0,0,0,2,0,0
"196",0,0,1,1,0,0,0,0,35,0,0
"197",1,0,0,0,0,0,0,0,0,0,0
"198",0,0,1,0,0,0,0,0,2,0,0
"199",9,1,0,0,0,0,0,0,0,0,0
"200",2,0,1,0,1,0,1,1,8,0,0
"201",2,1,0,0,1,0,0,1,2,1,0
"202",15,4,2,0,0,2,1,1,22,1,0
"203",1,0,0,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,1,0,0
"205",1,1,1,0,0,0,0,0,0,1,0
"206",0,0,0,0,0,0,0,0,2,0,0
"207",2,0,0,0,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,1,0,0
"209",0,0,0,0,0,0,0,0,2,0,0
"210",1,1,0,0,0,0,0,0,1,0,0
"211",3,0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,0,0,0,1,0,0
"213",1,0,0,0,0,0,0,0,1,0,0
"214",0,0,0,0,0,0,0,0,1,0,0
"215",0,0,0,0,0,0,0,0,4,0,0
"216",0,0,0,0,1,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,1,0,0
"218",0,0,0,0,0,0,0,0,1,0,0
"219",0,0,0,0,0,0,0,0,1,0,0
"220",0,0,0,0,1,0,0,0,0,0,0
"221",3,0,0,0,0,0,0,0,1,0,0
"222",0,0,0,0,0,0,1,1,1,0,0
"223",2,2,0,0,0,0,0,0,28,0,0
"224",19,2,2,0,0,1,0,0,4,0,0
"225",0,0,0,0,0,0,0,0,2,0,0
"226",2,0,0,0,0,0,0,0,0,1,0
"227",0,0,1,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,1,0,0
"229",2,1,0,0,0,1,0,0,0,0,0
"230",1,0,0,0,0,0,0,0,0,0,0
"231",1,0,0,0,0,0,0,0,0,0,0
"232",1,0,0,0,0,0,0,0,0,0,0
"233",1,0,0,0,0,0,1,0,0,0,0
"234",4,1,0,0,0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0,0,5,0,0
"236",1,0,0,0,0,0,0,0,0,0,0
"237",0,0,0,0,0,0,0,0,1,0,0
"238",0,0,0,0,0,0,0,0,1,0,0
"239",6,2,0,0,0,0,1,0,1,0,0
"240",1,0,0,0,0,0,0,0,3,0,0
"241",0,0,0,0,0,0,0,0,1,0,0
"242",1,1,0,0,0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0,0,1,0,0
"244",0,0,0,0,0,0,0,0,4,0,0
"245",7,0,0,0,0,0,0,0,1,0,0
"246",0,1,0,0,0,0,0,0,0,0,0
"247",3,0,0,0,0,0,0,0,3,0,0
"248",0,0,0,0,0,0,0,0,1,0,0
"249",0,0,0,0,0,0,1,0,0,0,0
"250",0,0,0,0,0,0,0,0,1,0,0
"251",0,0,0,0,0,0,0,0,1,0,0
"252",7,0,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,1,0,0
"254",0,0,0,0,0,0,0,0,0,0,1
"255",0,0,0,0,0,0,0,0,5,0,0
"256",0,0,0,0,0,0,1,1,0,0,0
"257",5,0,0,0,0,0,0,0,0,0,0
"258",1,0,0,0,0,0,0,0,0,0,0
"259",0,0,0,0,0,0,1,0,8,0,0
"260",0,0,0,0,0,0,0,0,1,0,0
"261",0,0,0,0,0,0,0,1,0,0,0
"262",1,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,1,0,0
"264",9,6,1,1,1,2,0,1,4,1,1
"265",1,0,0,0,0,0,0,0,0,0,0
"266",0,0,0,0,0,0,0,0,2,0,0
"267",2,0,0,0,0,0,0,1,23,1,0
"268",0,1,0,0,0,0,0,0,0,0,0
"269",0,0,0,0,0,1,0,0,0,0,0
"270",0,0,0,0,0,0,0,0,2,0,0
"271",1,0,0,0,0,0,0,0,0,0,0
"272",1,1,0,0,0,0,0,0,0,0,0
"273",1,0,0,0,0,0,0,0,0,0,0
"274",1,0,0,0,0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0,0,2,0,0
"276",0,0,0,0,0,0,1,0,0,0,0
"277",0,0,0,0,0,0,0,0,1,0,0
"278",1,0,0,0,0,0,0,0,0,0,0
"279",0,1,0,0,0,0,0,0,2,0,0
"280",1,0,0,0,0,0,1,1,8,0,0
"281",0,0,0,0,0,0,0,0,1,0,0
"282",2,3,0,0,0,0,0,0,2,0,0
"283",2,0,0,0,0,0,0,0,0,0,0
"284",0,0,0,0,0,0,0,0,4,0,0
"285",8,1,0,0,0,0,1,1,3,0,0
"286",1,0,0,0,0,0,0,0,0,0,0
"287",1,0,0,0,0,0,0,0,0,0,0
"288",1,0,0,0,0,0,0,1,2,0,0
"289",5,1,0,0,0,0,0,0,0,0,0
"290",1,1,0,0,0,0,0,0,1,0,0
"291",10,1,1,0,1,0,0,1,12,1,0
"292",10,1,3,0,0,1,2,1,9,0,0
"293",1,0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,2,0,0
"295",2,0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,1,0,2,0,0
"297",0,0,0,0,0,0,0,0,1,0,0
"298",0,1,0,0,0,0,0,0,0,0,0
"299",1,0,0,0,0,0,0,0,0,0,0
"300",1,0,0,0,0,0,0,0,0,0,0
"301",2,1,0,0,0,0,0,0,0,0,0
"302",1,0,0,0,0,0,0,1,0,0,0
"303",2,1,0,0,1,0,0,0,0,0,0
"304",0,0,2,1,0,0,0,0,0,0,0
"305",0,0,0,0,0,0,0,0,1,0,0
"306",0,0,0,0,0,0,0,0,1,0,0
"307",1,0,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,1,0,0
"309",0,0,0,0,0,0,0,0,1,0,0
"310",2,0,0,0,0,0,0,0,0,0,0
"311",1,0,0,0,0,0,0,0,0,0,0
"312",1,0,0,0,0,0,0,0,0,0,0
"313",1,0,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,0,1,0,0
"315",0,0,0,0,0,0,0,1,2,0,0
"316",1,0,0,0,0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0,0,1,0,0
"318",0,2,0,0,0,0,0,0,0,0,0
"319",6,0,0,0,0,0,0,0,2,1,0
"320",5,2,0,0,0,0,1,1,4,1,0
"321",0,0,0,0,0,0,0,0,1,0,0
"322",0,0,0,0,0,0,0,0,1,0,0
"323",1,0,0,0,0,0,0,0,0,0,0
"324",1,0,0,0,0,0,0,0,1,0,0
"325",0,0,0,0,0,0,0,0,1,0,0
"326",1,0,0,0,0,0,0,0,0,0,0
"327",1,0,0,0,0,0,0,0,0,0,0
"328",0,1,0,0,0,0,0,0,0,0,0
"329",0,0,0,0,0,0,0,0,26,0,0
"330",1,1,0,0,0,0,0,0,0,0,0
"331",1,0,0,0,0,0,0,0,0,0,0
"332",0,1,0,0,0,0,1,0,3,0,0
"333",0,0,0,0,0,0,0,0,1,0,0
"334",0,0,0,0,0,0,1,0,0,0,0
"335",0,0,0,0,0,0,0,0,3,0,0
"336",1,0,0,0,0,0,0,0,0,0,0
"337",0,0,1,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,0,1,0,1,0,0
"339",0,1,1,0,0,0,1,1,24,0,0
"340",0,1,0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,0,0,1,0,0
"342",0,0,0,0,0,0,0,0,2,0,0
"343",0,1,0,0,0,0,0,0,2,0,0
"344",2,1,0,0,0,0,0,0,1,0,0
"345",0,0,0,0,0,0,0,0,5,0,0
"346",0,1,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,1,0,12,0,0
"348",1,0,0,0,0,0,0,0,0,0,0
"349",1,0,0,0,0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0,0,2,0,0
"351",0,0,0,0,0,0,0,0,1,0,0
"352",0,0,0,0,0,0,0,0,1,0,0
"353",1,0,0,0,0,0,0,0,0,0,0
"354",1,0,0,0,0,0,0,0,1,0,0
"355",0,0,0,0,0,0,0,0,2,0,0
"356",0,0,0,0,0,0,1,0,0,0,0
"357",3,0,0,0,0,0,0,0,0,0,0
"358",0,0,0,0,1,0,0,0,0,0,0
"359",1,0,1,0,0,1,0,0,0,0,0
"360",0,0,1,0,0,0,0,0,1,0,1
"361",1,0,0,0,0,0,0,0,0,0,0
"362",0,0,0,0,0,0,0,0,5,0,0
"363",0,0,0,0,0,0,0,0,1,0,0
"364",0,0,0,0,0,0,0,0,6,0,0
"365",1,0,0,0,0,0,0,0,3,0,0
"366",0,0,0,0,0,0,0,0,1,0,0
"367",1,0,0,0,0,0,0,0,0,0,0
"368",1,0,0,0,0,0,0,0,2,0,0
"369",0,1,0,0,0,0,0,0,3,0,0
"370",2,0,0,0,0,1,0,1,1,0,0
"371",1,1,0,0,0,0,0,0,2,0,1
"372",3,0,0,0,0,0,0,0,3,0,0
"373",2,0,0,0,0,0,0,0,0,0,0
"374",2,0,0,0,0,0,0,0,0,0,0
"375",1,1,0,0,0,0,0,0,0,0,0
"376",1,0,0,0,0,0,0,0,0,0,0
"377",1,0,0,0,0,0,0,0,0,0,0
"378",1,0,0,0,0,0,0,0,0,0,0
"379",0,0,0,0,0,0,0,0,1,0,0
"380",3,0,0,0,0,0,0,0,1,1,0
"381",0,1,0,0,1,0,1,1,1,0,0
"382",0,0,0,0,0,0,0,0,3,0,0
"383",1,0,0,0,0,0,0,0,1,0,0
"384",7,0,0,0,0,0,0,0,0,0,0
"385",1,1,0,0,0,0,0,0,1,0,0
"386",1,0,0,0,0,0,0,0,0,0,0
"387",3,0,0,0,0,0,0,1,2,0,0
"388",0,0,1,0,0,0,0,0,0,0,0
"389",0,0,0,0,0,1,0,0,0,0,0
"390",1,0,0,0,0,0,0,0,0,0,0
"391",3,0,0,0,1,0,0,0,2,0,0
"392",0,0,0,0,0,0,0,0,4,0,0
"393",2,0,0,0,0,0,0,0,0,0,0
"394",0,0,0,0,0,0,0,0,1,0,0
"395",1,0,0,0,0,0,0,0,0,0,0
"396",1,0,0,0,0,0,0,0,0,0,0
"397",0,0,0,0,0,0,1,0,2,0,0
"398",0,0,0,0,0,0,1,0,0,0,0
"399",3,1,0,0,0,0,0,0,0,0,0
"400",1,1,0,0,0,0,0,0,2,0,0
"401",0,0,0,0,0,0,0,1,0,0,0
"402",0,0,0,0,0,0,0,0,2,0,0
"403",11,0,0,0,0,0,0,1,0,0,0
"404",0,0,0,0,0,0,0,0,1,0,0
"405",0,1,0,0,0,0,0,0,0,0,0
"406",0,0,0,0,0,0,0,0,1,0,0
"407",1,0,0,0,0,1,0,0,4,1,1
"408",0,0,0,0,0,0,0,0,2,0,0
"409",0,1,0,0,0,0,0,0,0,0,0
"410",0,0,0,0,0,0,0,0,1,0,0
"411",1,0,0,0,0,0,0,0,0,0,0
"412",1,0,0,0,0,0,0,0,0,0,0
"413",0,0,1,0,0,1,0,0,0,0,0
"414",0,0,0,0,0,0,0,0,14,0,0
"415",0,0,0,0,0,0,0,0,1,0,0
"416",1,0,0,0,0,0,0,0,0,0,0
"417",0,0,0,0,0,0,0,0,1,0,0
"418",2,1,0,0,0,0,0,0,5,0,0
"419",2,0,0,0,0,0,0,1,3,0,0
"420",0,0,1,0,1,0,0,0,1,0,0
"421",1,0,0,0,0,0,0,0,0,0,0
"422",1,0,0,0,0,0,0,0,0,0,0
"423",0,0,0,0,0,0,0,0,1,0,0
"424",0,0,0,0,0,0,0,0,1,0,0
"425",11,2,2,1,1,2,1,0,12,1,1
"426",1,0,0,0,0,0,0,0,0,0,0
"427",1,0,0,0,0,0,0,0,0,0,0
"428",1,0,0,0,0,0,0,0,0,0,0
"429",1,0,0,0,0,0,0,0,0,0,0
"430",0,1,0,0,0,0,0,0,0,0,0
"431",0,0,0,0,0,0,1,0,0,0,0
"432",5,3,0,0,0,0,0,1,3,0,0
"433",0,0,0,0,0,1,0,0,0,0,0
"434",0,0,0,0,0,0,0,0,1,0,0
"435",2,0,0,0,0,0,1,0,2,0,0
"436",0,0,0,0,0,0,0,1,0,0,0
"437",0,0,0,0,0,0,0,0,3,0,0
"438",8,1,0,0,0,0,0,0,0,0,0
"439",6,1,1,0,0,1,0,1,6,1,0
"440",1,0,0,0,0,0,0,0,0,0,0
"441",1,0,0,0,0,0,0,0,0,0,0
"442",1,0,0,0,0,0,0,0,0,0,0
"443",2,0,0,0,0,0,0,0,0,0,0
"444",0,0,0,0,0,0,1,0,3,0,0
"445",5,0,0,0,0,0,0,0,0,0,0
"446",0,1,0,0,0,0,0,0,0,0,0
"447",1,0,0,0,0,0,0,0,0,0,0
"448",0,1,0,0,0,0,0,0,0,0,0
"449",0,0,0,0,0,0,0,0,1,0,0
"450",6,0,0,0,0,0,0,0,0,0,0
"451",0,0,0,0,0,0,0,0,2,0,0
"452",8,3,0,0,0,0,1,0,1,0,0
"453",0,0,0,0,0,0,0,0,1,0,0
"454",1,0,0,0,0,0,0,0,1,0,0
"455",0,0,0,0,0,1,0,0,0,0,0
"456",0,2,0,0,0,0,0,0,3,0,0
"457",1,0,0,0,0,0,0,0,1,0,0
"458",5,0,0,0,0,0,0,1,0,0,0
"459",1,0,0,0,0,0,0,0,0,0,0
"460",2,0,0,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,1,0,0
