"","metric","value","network","clustering"
"1","Alatalo interaction evenness",0.512444865340096,"Beth_cr",910
"2","Alatalo interaction evenness",0.640546406703269,"hernani_dryforestdry",910
"3","Alatalo interaction evenness",0.509923658101689,"hernani_dryforestwet",910
"4","Alatalo interaction evenness",0.829659607664276,"hernani_rainforestdry",910
"5","Alatalo interaction evenness",0.554226311410519,"Jamaica",910
"6","Alatalo interaction evenness",0.754745155215584,"SAFE",910
"7","Alatalo interaction evenness",0.65382377554827,"Texas",910
"8","Alatalo interaction evenness",0.501782106556323,"Beth_cr",912
"9","Alatalo interaction evenness",0.654899407422397,"hernani_dryforestdry",912
"10","Alatalo interaction evenness",0.513713271447741,"hernani_dryforestwet",912
"11","Alatalo interaction evenness",0.827862897505731,"hernani_rainforestdry",912
"12","Alatalo interaction evenness",0.560322071694468,"Jamaica",912
"13","Alatalo interaction evenness",0.778084431462045,"SAFE",912
"14","Alatalo interaction evenness",0.643283679892557,"Texas",912
"15","Alatalo interaction evenness",0.507810993287238,"Beth_cr",914
"16","Alatalo interaction evenness",0.661079989719873,"hernani_dryforestdry",914
"17","Alatalo interaction evenness",0.522802452480772,"hernani_dryforestwet",914
"18","Alatalo interaction evenness",0.828278918639745,"hernani_rainforestdry",914
"19","Alatalo interaction evenness",0.560836563991811,"Jamaica",914
"20","Alatalo interaction evenness",0.773285207949016,"SAFE",914
"21","Alatalo interaction evenness",0.636842947687872,"Texas",914
"22","Alatalo interaction evenness",0.508677410846354,"Beth_cr",916
"23","Alatalo interaction evenness",0.661058407065925,"hernani_dryforestdry",916
"24","Alatalo interaction evenness",0.522943841481324,"hernani_dryforestwet",916
"25","Alatalo interaction evenness",0.827858132411506,"hernani_rainforestdry",916
"26","Alatalo interaction evenness",0.567843967148337,"Jamaica",916
"27","Alatalo interaction evenness",0.774481876155321,"SAFE",916
"28","Alatalo interaction evenness",0.638374102754405,"Texas",916
"29","Alatalo interaction evenness",0.512761765528938,"Beth_cr",918
"30","Alatalo interaction evenness",0.667335189497927,"hernani_dryforestdry",918
"31","Alatalo interaction evenness",0.541932830796217,"hernani_dryforestwet",918
"32","Alatalo interaction evenness",0.861992865353271,"hernani_rainforestdry",918
"33","Alatalo interaction evenness",0.560608490875485,"Jamaica",918
"34","Alatalo interaction evenness",0.782319667282928,"SAFE",918
"35","Alatalo interaction evenness",0.647809966307136,"Texas",918
"36","Alatalo interaction evenness",0.51059559088077,"Beth_cr",920
"37","Alatalo interaction evenness",0.66565568977157,"hernani_dryforestdry",920
"38","Alatalo interaction evenness",0.53710132932924,"hernani_dryforestwet",920
"39","Alatalo interaction evenness",0.857905031914397,"hernani_rainforestdry",920
"40","Alatalo interaction evenness",0.565331517198449,"Jamaica",920
"41","Alatalo interaction evenness",0.78102986441174,"SAFE",920
"42","Alatalo interaction evenness",0.641383949259511,"Texas",920
"43","Alatalo interaction evenness",0.509649268667796,"Beth_cr",922
"44","Alatalo interaction evenness",0.663613175387338,"hernani_dryforestdry",922
"45","Alatalo interaction evenness",0.54044915210859,"hernani_dryforestwet",922
"46","Alatalo interaction evenness",0.85596862083991,"hernani_rainforestdry",922
"47","Alatalo interaction evenness",0.564920136762734,"Jamaica",922
"48","Alatalo interaction evenness",0.781591711978082,"SAFE",922
"49","Alatalo interaction evenness",0.64130425124222,"Texas",922
"50","Alatalo interaction evenness",0.504796538111656,"Beth_cr",924
"51","Alatalo interaction evenness",0.676258200953675,"hernani_dryforestdry",924
"52","Alatalo interaction evenness",0.558150882550135,"hernani_dryforestwet",924
"53","Alatalo interaction evenness",0.870052966922215,"hernani_rainforestdry",924
"54","Alatalo interaction evenness",0.578042747671815,"Jamaica",924
"55","Alatalo interaction evenness",0.784729166845909,"SAFE",924
"56","Alatalo interaction evenness",0.65562445430255,"Texas",924
"57","Alatalo interaction evenness",0.510924805907848,"Beth_cr",926
"58","Alatalo interaction evenness",0.673309003505457,"hernani_dryforestdry",926
"59","Alatalo interaction evenness",0.548268383072391,"hernani_dryforestwet",926
"60","Alatalo interaction evenness",0.868454808838632,"hernani_rainforestdry",926
"61","Alatalo interaction evenness",0.563019539947823,"Jamaica",926
"62","Alatalo interaction evenness",0.787278826462422,"SAFE",926
"63","Alatalo interaction evenness",0.651844881039688,"Texas",926
"64","Alatalo interaction evenness",0.511074649090263,"Beth_cr",928
"65","Alatalo interaction evenness",0.678422433159391,"hernani_dryforestdry",928
"66","Alatalo interaction evenness",0.547946225146673,"hernani_dryforestwet",928
"67","Alatalo interaction evenness",0.855758420797818,"hernani_rainforestdry",928
"68","Alatalo interaction evenness",0.559714902979043,"Jamaica",928
"69","Alatalo interaction evenness",0.792062527185815,"SAFE",928
"70","Alatalo interaction evenness",0.652754071095527,"Texas",928
"71","Alatalo interaction evenness",0.508288402758497,"Beth_cr",930
"72","Alatalo interaction evenness",0.681655831851061,"hernani_dryforestdry",930
"73","Alatalo interaction evenness",0.563991872732843,"hernani_dryforestwet",930
"74","Alatalo interaction evenness",0.886844943350307,"hernani_rainforestdry",930
"75","Alatalo interaction evenness",0.593218717940841,"Jamaica",930
"76","Alatalo interaction evenness",0.815238095300792,"SAFE",930
"77","Alatalo interaction evenness",0.659858314473508,"Texas",930
"78","Alatalo interaction evenness",0.516116168290464,"Beth_cr",932
"79","Alatalo interaction evenness",0.683192083078983,"hernani_dryforestdry",932
"80","Alatalo interaction evenness",0.567710950251797,"hernani_dryforestwet",932
"81","Alatalo interaction evenness",0.882810249350982,"hernani_rainforestdry",932
"82","Alatalo interaction evenness",0.590351370187658,"Jamaica",932
"83","Alatalo interaction evenness",0.814472923263055,"SAFE",932
"84","Alatalo interaction evenness",0.663160578133405,"Texas",932
"85","Alatalo interaction evenness",0.510216617180533,"Beth_cr",934
"86","Alatalo interaction evenness",0.685109293931842,"hernani_dryforestdry",934
"87","Alatalo interaction evenness",0.56738050993981,"hernani_dryforestwet",934
"88","Alatalo interaction evenness",0.886279008336477,"hernani_rainforestdry",934
"89","Alatalo interaction evenness",0.606329280399135,"Jamaica",934
"90","Alatalo interaction evenness",0.817772529648133,"SAFE",934
"91","Alatalo interaction evenness",0.660076891836975,"Texas",934
"92","Alatalo interaction evenness",0.509621409685535,"Beth_cr",936
"93","Alatalo interaction evenness",0.685824552195794,"hernani_dryforestdry",936
"94","Alatalo interaction evenness",0.559530334923676,"hernani_dryforestwet",936
"95","Alatalo interaction evenness",0.895373235721917,"hernani_rainforestdry",936
"96","Alatalo interaction evenness",0.603647739779588,"Jamaica",936
"97","Alatalo interaction evenness",0.824779412525834,"SAFE",936
"98","Alatalo interaction evenness",0.65962315572432,"Texas",936
"99","Alatalo interaction evenness",0.51324939026285,"Beth_cr",938
"100","Alatalo interaction evenness",0.695191695116706,"hernani_dryforestdry",938
"101","Alatalo interaction evenness",0.576622089927096,"hernani_dryforestwet",938
"102","Alatalo interaction evenness",0.904874015710625,"hernani_rainforestdry",938
"103","Alatalo interaction evenness",0.607758904338826,"Jamaica",938
"104","Alatalo interaction evenness",0.831329306343118,"SAFE",938
"105","Alatalo interaction evenness",0.665507883490745,"Texas",938
"106","Alatalo interaction evenness",0.51710577031562,"Beth_cr",940
"107","Alatalo interaction evenness",0.683339491871895,"hernani_dryforestdry",940
"108","Alatalo interaction evenness",0.56002923439724,"hernani_dryforestwet",940
"109","Alatalo interaction evenness",0.900512694426767,"hernani_rainforestdry",940
"110","Alatalo interaction evenness",0.608442852330373,"Jamaica",940
"111","Alatalo interaction evenness",0.831341348030945,"SAFE",940
"112","Alatalo interaction evenness",0.668375279485394,"Texas",940
"113","Alatalo interaction evenness",0.517351223633669,"Beth_cr",942
"114","Alatalo interaction evenness",0.683059197133384,"hernani_dryforestdry",942
"115","Alatalo interaction evenness",0.558907746927677,"hernani_dryforestwet",942
"116","Alatalo interaction evenness",0.903955997219713,"hernani_rainforestdry",942
"117","Alatalo interaction evenness",0.612620083841798,"Jamaica",942
"118","Alatalo interaction evenness",0.829161013403353,"SAFE",942
"119","Alatalo interaction evenness",0.667664722139442,"Texas",942
"120","Alatalo interaction evenness",0.511775455662988,"Beth_cr",944
"121","Alatalo interaction evenness",0.692601985211546,"hernani_dryforestdry",944
"122","Alatalo interaction evenness",0.582627789103322,"hernani_dryforestwet",944
"123","Alatalo interaction evenness",0.91173272760367,"hernani_rainforestdry",944
"124","Alatalo interaction evenness",0.641244189137397,"Jamaica",944
"125","Alatalo interaction evenness",0.841674801477517,"SAFE",944
"126","Alatalo interaction evenness",0.677420525730979,"Texas",944
"127","Alatalo interaction evenness",0.512189465379448,"Beth_cr",946
"128","Alatalo interaction evenness",0.696733385636058,"hernani_dryforestdry",946
"129","Alatalo interaction evenness",0.581236133853085,"hernani_dryforestwet",946
"130","Alatalo interaction evenness",0.909845816889025,"hernani_rainforestdry",946
"131","Alatalo interaction evenness",0.641237323428141,"Jamaica",946
"132","Alatalo interaction evenness",0.845147300803349,"SAFE",946
"133","Alatalo interaction evenness",0.66284668823822,"Texas",946
"134","Alatalo interaction evenness",0.511968792793672,"Beth_cr",948
"135","Alatalo interaction evenness",0.696733385636058,"hernani_dryforestdry",948
"136","Alatalo interaction evenness",0.581852384209678,"hernani_dryforestwet",948
"137","Alatalo interaction evenness",0.909977333130338,"hernani_rainforestdry",948
"138","Alatalo interaction evenness",0.642229188726344,"Jamaica",948
"139","Alatalo interaction evenness",0.844864622312606,"SAFE",948
"140","Alatalo interaction evenness",0.662879290331672,"Texas",948
"141","Alatalo interaction evenness",0.512408100199267,"Beth_cr",950
"142","Alatalo interaction evenness",0.70641064164,"hernani_dryforestdry",950
"143","Alatalo interaction evenness",0.605001457488057,"hernani_dryforestwet",950
"144","Alatalo interaction evenness",0.916198653278093,"hernani_rainforestdry",950
"145","Alatalo interaction evenness",0.664819679607179,"Jamaica",950
"146","Alatalo interaction evenness",0.850428771148834,"SAFE",950
"147","Alatalo interaction evenness",0.690409027386874,"Texas",950
"148","Alatalo interaction evenness",0.51002585296864,"Beth_cr",952
"149","Alatalo interaction evenness",0.701352231424001,"hernani_dryforestdry",952
"150","Alatalo interaction evenness",0.608393526065506,"hernani_dryforestwet",952
"151","Alatalo interaction evenness",0.912223801981624,"hernani_rainforestdry",952
"152","Alatalo interaction evenness",0.665332934594561,"Jamaica",952
"153","Alatalo interaction evenness",0.84943639778235,"SAFE",952
"154","Alatalo interaction evenness",0.668618703067079,"Texas",952
"155","Alatalo interaction evenness",0.509760066341378,"Beth_cr",954
"156","Alatalo interaction evenness",0.70186073751346,"hernani_dryforestdry",954
"157","Alatalo interaction evenness",0.608715021342746,"hernani_dryforestwet",954
"158","Alatalo interaction evenness",0.911993875497942,"hernani_rainforestdry",954
"159","Alatalo interaction evenness",0.665653122641766,"Jamaica",954
"160","Alatalo interaction evenness",0.851219079533381,"SAFE",954
"161","Alatalo interaction evenness",0.667993992117405,"Texas",954
"162","Alatalo interaction evenness",0.519012242808351,"Beth_cr",956
"163","Alatalo interaction evenness",0.71363926344003,"hernani_dryforestdry",956
"164","Alatalo interaction evenness",0.617029375115858,"hernani_dryforestwet",956
"165","Alatalo interaction evenness",0.920484366790877,"hernani_rainforestdry",956
"166","Alatalo interaction evenness",0.684667740332594,"Jamaica",956
"167","Alatalo interaction evenness",0.864631834057242,"SAFE",956
"168","Alatalo interaction evenness",0.689594313722604,"Texas",956
"169","Alatalo interaction evenness",0.521368811737463,"Beth_cr",958
"170","Alatalo interaction evenness",0.717444736251556,"hernani_dryforestdry",958
"171","Alatalo interaction evenness",0.614926311624255,"hernani_dryforestwet",958
"172","Alatalo interaction evenness",0.917993297063024,"hernani_rainforestdry",958
"173","Alatalo interaction evenness",0.681721848462504,"Jamaica",958
"174","Alatalo interaction evenness",0.86540854180693,"SAFE",958
"175","Alatalo interaction evenness",0.691012194931738,"Texas",958
"176","Alatalo interaction evenness",0.519366685602555,"Beth_cr",960
"177","Alatalo interaction evenness",0.714687560413662,"hernani_dryforestdry",960
"178","Alatalo interaction evenness",0.612862373713478,"hernani_dryforestwet",960
"179","Alatalo interaction evenness",0.916108870496367,"hernani_rainforestdry",960
"180","Alatalo interaction evenness",0.683112888241594,"Jamaica",960
"181","Alatalo interaction evenness",0.866075482684353,"SAFE",960
"182","Alatalo interaction evenness",0.692865836637857,"Texas",960
"183","Alatalo interaction evenness",0.527276396541681,"Beth_cr",962
"184","Alatalo interaction evenness",0.722995336853659,"hernani_dryforestdry",962
"185","Alatalo interaction evenness",0.625171985346158,"hernani_dryforestwet",962
"186","Alatalo interaction evenness",0.923284527534114,"hernani_rainforestdry",962
"187","Alatalo interaction evenness",0.705722630774076,"Jamaica",962
"188","Alatalo interaction evenness",0.877241308867649,"SAFE",962
"189","Alatalo interaction evenness",0.707085285536288,"Texas",962
"190","Alatalo interaction evenness",0.52685188319039,"Beth_cr",964
"191","Alatalo interaction evenness",0.72452310511356,"hernani_dryforestdry",964
"192","Alatalo interaction evenness",0.626273918228693,"hernani_dryforestwet",964
"193","Alatalo interaction evenness",0.924293434494916,"hernani_rainforestdry",964
"194","Alatalo interaction evenness",0.706617491506469,"Jamaica",964
"195","Alatalo interaction evenness",0.877062550734683,"SAFE",964
