"","metric","value","network","clustering"
"1","C.score.HL",0.392636360285901,"Beth_cr",910
"2","C.score.HL",0.764403591380008,"hernani_dryforestdry",910
"3","C.score.HL",0.376552206686852,"hernani_dryforestwet",910
"4","C.score.HL",0.757587961762929,"hernani_rainforestdry",910
"5","C.score.HL",0.483280337269027,"Jamaica",910
"6","C.score.HL",0.728827389609111,"SAFE",910
"7","C.score.HL",0.509011668125377,"Texas",910
"8","C.score.HL",0.43293543870641,"Beth_cr",912
"9","C.score.HL",0.785537468775118,"hernani_dryforestdry",912
"10","C.score.HL",0.396618271189192,"hernani_dryforestwet",912
"11","C.score.HL",0.814272379949269,"hernani_rainforestdry",912
"12","C.score.HL",0.494444992877389,"Jamaica",912
"13","C.score.HL",0.74834963042324,"SAFE",912
"14","C.score.HL",0.589387211465049,"Texas",912
"15","C.score.HL",0.45040058721589,"Beth_cr",914
"16","C.score.HL",0.782723574681073,"hernani_dryforestdry",914
"17","C.score.HL",0.418900587404482,"hernani_dryforestwet",914
"18","C.score.HL",0.825785959819017,"hernani_rainforestdry",914
"19","C.score.HL",0.478849858666201,"Jamaica",914
"20","C.score.HL",0.744240239989258,"SAFE",914
"21","C.score.HL",0.578093687914392,"Texas",914
"22","C.score.HL",0.456660567955599,"Beth_cr",916
"23","C.score.HL",0.781621453621599,"hernani_dryforestdry",916
"24","C.score.HL",0.415142727589829,"hernani_dryforestwet",916
"25","C.score.HL",0.830798495394371,"hernani_rainforestdry",916
"26","C.score.HL",0.479596040538684,"Jamaica",916
"27","C.score.HL",0.749529824060076,"SAFE",916
"28","C.score.HL",0.580071931650082,"Texas",916
"29","C.score.HL",0.470720280752415,"Beth_cr",918
"30","C.score.HL",0.792558177233654,"hernani_dryforestdry",918
"31","C.score.HL",0.458433849443237,"hernani_dryforestwet",918
"32","C.score.HL",0.865969613351677,"hernani_rainforestdry",918
"33","C.score.HL",0.514989067164055,"Jamaica",918
"34","C.score.HL",0.762492564064517,"SAFE",918
"35","C.score.HL",0.609530658433567,"Texas",918
"36","C.score.HL",0.490008676539265,"Beth_cr",920
"37","C.score.HL",0.788731585409473,"hernani_dryforestdry",920
"38","C.score.HL",0.484644517591489,"hernani_dryforestwet",920
"39","C.score.HL",0.860189100620943,"hernani_rainforestdry",920
"40","C.score.HL",0.545222757203758,"Jamaica",920
"41","C.score.HL",0.764379308341116,"SAFE",920
"42","C.score.HL",0.610361091299297,"Texas",920
"43","C.score.HL",0.490091420644203,"Beth_cr",922
"44","C.score.HL",0.789015251577356,"hernani_dryforestdry",922
"45","C.score.HL",0.490884694941111,"hernani_dryforestwet",922
"46","C.score.HL",0.860189100620943,"hernani_rainforestdry",922
"47","C.score.HL",0.552638109409198,"Jamaica",922
"48","C.score.HL",0.766098160721683,"SAFE",922
"49","C.score.HL",0.609784107945984,"Texas",922
"50","C.score.HL",0.562424689449387,"Beth_cr",924
"51","C.score.HL",0.805665990106621,"hernani_dryforestdry",924
"52","C.score.HL",0.522417427691853,"hernani_dryforestwet",924
"53","C.score.HL",0.868096861715716,"hernani_rainforestdry",924
"54","C.score.HL",0.595253842363942,"Jamaica",924
"55","C.score.HL",0.779729154386068,"SAFE",924
"56","C.score.HL",0.654665452392464,"Texas",924
"57","C.score.HL",0.543226749411134,"Beth_cr",926
"58","C.score.HL",0.81468377921419,"hernani_dryforestdry",926
"59","C.score.HL",0.530824816277072,"hernani_dryforestwet",926
"60","C.score.HL",0.872823583256318,"hernani_rainforestdry",926
"61","C.score.HL",0.594363506655455,"Jamaica",926
"62","C.score.HL",0.78744304809197,"SAFE",926
"63","C.score.HL",0.655640325367017,"Texas",926
"64","C.score.HL",0.546302914844809,"Beth_cr",928
"65","C.score.HL",0.814085160007495,"hernani_dryforestdry",928
"66","C.score.HL",0.535353029707466,"hernani_dryforestwet",928
"67","C.score.HL",0.8744591161203,"hernani_rainforestdry",928
"68","C.score.HL",0.596550987395862,"Jamaica",928
"69","C.score.HL",0.785390245295113,"SAFE",928
"70","C.score.HL",0.654623339555611,"Texas",928
"71","C.score.HL",0.627676117951638,"Beth_cr",930
"72","C.score.HL",0.825241650183034,"hernani_dryforestdry",930
"73","C.score.HL",0.538426461896718,"hernani_dryforestwet",930
"74","C.score.HL",0.877985915951408,"hernani_rainforestdry",930
"75","C.score.HL",0.633030433426774,"Jamaica",930
"76","C.score.HL",0.811220567097642,"SAFE",930
"77","C.score.HL",0.685922851957436,"Texas",930
"78","C.score.HL",0.629118976301735,"Beth_cr",932
"79","C.score.HL",0.829040723650405,"hernani_dryforestdry",932
"80","C.score.HL",0.526848120074525,"hernani_dryforestwet",932
"81","C.score.HL",0.874506563092334,"hernani_rainforestdry",932
"82","C.score.HL",0.630623026359651,"Jamaica",932
"83","C.score.HL",0.811759882280779,"SAFE",932
"84","C.score.HL",0.68646016453083,"Texas",932
"85","C.score.HL",0.639013223406734,"Beth_cr",934
"86","C.score.HL",0.827450143804403,"hernani_dryforestdry",934
"87","C.score.HL",0.516232346345097,"hernani_dryforestwet",934
"88","C.score.HL",0.883318000303033,"hernani_rainforestdry",934
"89","C.score.HL",0.628771983361031,"Jamaica",934
"90","C.score.HL",0.812814440329541,"SAFE",934
"91","C.score.HL",0.689910004849361,"Texas",934
"92","C.score.HL",0.651642539219167,"Beth_cr",936
"93","C.score.HL",0.829831082631751,"hernani_dryforestdry",936
"94","C.score.HL",0.519207568888666,"hernani_dryforestwet",936
"95","C.score.HL",0.871960885342733,"hernani_rainforestdry",936
"96","C.score.HL",0.633682762427277,"Jamaica",936
"97","C.score.HL",0.824300367984458,"SAFE",936
"98","C.score.HL",0.700549849211392,"Texas",936
"99","C.score.HL",0.686826281357552,"Beth_cr",938
"100","C.score.HL",0.834298128546134,"hernani_dryforestdry",938
"101","C.score.HL",0.551522344177506,"hernani_dryforestwet",938
"102","C.score.HL",0.878578693435709,"hernani_rainforestdry",938
"103","C.score.HL",0.661528764476048,"Jamaica",938
"104","C.score.HL",0.830423275971911,"SAFE",938
"105","C.score.HL",0.719345097348044,"Texas",938
"106","C.score.HL",0.677875873700604,"Beth_cr",940
"107","C.score.HL",0.838707220479161,"hernani_dryforestdry",940
"108","C.score.HL",0.553574755153926,"hernani_dryforestwet",940
"109","C.score.HL",0.875775532561569,"hernani_rainforestdry",940
"110","C.score.HL",0.667104791179997,"Jamaica",940
"111","C.score.HL",0.835008576749057,"SAFE",940
"112","C.score.HL",0.716703973771521,"Texas",940
"113","C.score.HL",0.669919882780829,"Beth_cr",942
"114","C.score.HL",0.838818776813047,"hernani_dryforestdry",942
"115","C.score.HL",0.555715667341458,"hernani_dryforestwet",942
"116","C.score.HL",0.882177087044923,"hernani_rainforestdry",942
"117","C.score.HL",0.665924124687593,"Jamaica",942
"118","C.score.HL",0.836067403547547,"SAFE",942
"119","C.score.HL",0.719058428738298,"Texas",942
"120","C.score.HL",0.741648627916259,"Beth_cr",944
"121","C.score.HL",0.845332639654979,"hernani_dryforestdry",944
"122","C.score.HL",0.574467992385781,"hernani_dryforestwet",944
"123","C.score.HL",0.898064982997283,"hernani_rainforestdry",944
"124","C.score.HL",0.711989287918362,"Jamaica",944
"125","C.score.HL",0.857685457422978,"SAFE",944
"126","C.score.HL",0.746621714834029,"Texas",944
"127","C.score.HL",0.741671021512521,"Beth_cr",946
"128","C.score.HL",0.846034845888041,"hernani_dryforestdry",946
"129","C.score.HL",0.584771622921676,"hernani_dryforestwet",946
"130","C.score.HL",0.899883980679459,"hernani_rainforestdry",946
"131","C.score.HL",0.721223241830299,"Jamaica",946
"132","C.score.HL",0.854469032629443,"SAFE",946
"133","C.score.HL",0.750887951110487,"Texas",946
"134","C.score.HL",0.742896419097808,"Beth_cr",948
"135","C.score.HL",0.846034845888041,"hernani_dryforestdry",948
"136","C.score.HL",0.584965264367639,"hernani_dryforestwet",948
"137","C.score.HL",0.89996120567684,"hernani_rainforestdry",948
"138","C.score.HL",0.719963868823469,"Jamaica",948
"139","C.score.HL",0.854661156484847,"SAFE",948
"140","C.score.HL",0.751623956959008,"Texas",948
"141","C.score.HL",0.792428828810694,"Beth_cr",950
"142","C.score.HL",0.852769869036498,"hernani_dryforestdry",950
"143","C.score.HL",0.644826041444918,"hernani_dryforestwet",950
"144","C.score.HL",0.906822025802124,"hernani_rainforestdry",950
"145","C.score.HL",0.756544008097297,"Jamaica",950
"146","C.score.HL",0.867287742883964,"SAFE",950
"147","C.score.HL",0.778340352171671,"Texas",950
"148","C.score.HL",0.792693836125884,"Beth_cr",952
"149","C.score.HL",0.848766431702491,"hernani_dryforestdry",952
"150","C.score.HL",0.653388207545692,"hernani_dryforestwet",952
"151","C.score.HL",0.902005497146172,"hernani_rainforestdry",952
"152","C.score.HL",0.749457071651485,"Jamaica",952
"153","C.score.HL",0.867338682014433,"SAFE",952
"154","C.score.HL",0.774929981404457,"Texas",952
"155","C.score.HL",0.789195810597958,"Beth_cr",954
"156","C.score.HL",0.849456073430008,"hernani_dryforestdry",954
"157","C.score.HL",0.653710412576239,"hernani_dryforestwet",954
"158","C.score.HL",0.901977752515886,"hernani_rainforestdry",954
"159","C.score.HL",0.749116159622368,"Jamaica",954
"160","C.score.HL",0.866950996203399,"SAFE",954
"161","C.score.HL",0.777240537474152,"Texas",954
"162","C.score.HL",0.828578680522512,"Beth_cr",956
"163","C.score.HL",0.859868799176196,"hernani_dryforestdry",956
"164","C.score.HL",0.663454101631838,"hernani_dryforestwet",956
"165","C.score.HL",0.916689867244343,"hernani_rainforestdry",956
"166","C.score.HL",0.784611145554664,"Jamaica",956
"167","C.score.HL",0.882314562065109,"SAFE",956
"168","C.score.HL",0.811414906208346,"Texas",956
"169","C.score.HL",0.818783516769492,"Beth_cr",958
"170","C.score.HL",0.859895302169262,"hernani_dryforestdry",958
"171","C.score.HL",0.656392493890489,"hernani_dryforestwet",958
"172","C.score.HL",0.912368160643785,"hernani_rainforestdry",958
"173","C.score.HL",0.78292173475314,"Jamaica",958
"174","C.score.HL",0.881120813318011,"SAFE",958
"175","C.score.HL",0.811395271991403,"Texas",958
"176","C.score.HL",0.825792071112762,"Beth_cr",960
"177","C.score.HL",0.860878842068101,"hernani_dryforestdry",960
"178","C.score.HL",0.65806457410932,"hernani_dryforestwet",960
"179","C.score.HL",0.910536580342921,"hernani_rainforestdry",960
"180","C.score.HL",0.78562202707479,"Jamaica",960
"181","C.score.HL",0.881795935801743,"SAFE",960
"182","C.score.HL",0.811675677900956,"Texas",960
"183","C.score.HL",0.8559246153286,"Beth_cr",962
"184","C.score.HL",0.872285364163733,"hernani_dryforestdry",962
"185","C.score.HL",0.684170118542372,"hernani_dryforestwet",962
"186","C.score.HL",0.916210792970031,"hernani_rainforestdry",962
"187","C.score.HL",0.806019267777028,"Jamaica",962
"188","C.score.HL",0.891644914628129,"SAFE",962
"189","C.score.HL",0.833056931579693,"Texas",962
"190","C.score.HL",0.853075714394252,"Beth_cr",964
"191","C.score.HL",0.872366777032935,"hernani_dryforestdry",964
"192","C.score.HL",0.685980952313006,"hernani_dryforestwet",964
"193","C.score.HL",0.916115610587491,"hernani_rainforestdry",964
"194","C.score.HL",0.80599451007037,"Jamaica",964
"195","C.score.HL",0.891332392885444,"SAFE",964
"196","C.score.HL",0.835934402355616,"Texas",964
"197","C.score.HL",0.859384771124178,"Beth_cr",966
"198","C.score.HL",0.871146994130606,"hernani_dryforestdry",966
"199","C.score.HL",0.679965999394794,"hernani_dryforestwet",966
"200","C.score.HL",0.912181852317917,"hernani_rainforestdry",966
"201","C.score.HL",0.80379239105026,"Jamaica",966
"202","C.score.HL",0.89220416974182,"SAFE",966
"203","C.score.HL",0.836566923659894,"Texas",966
"204","C.score.HL",0.864504803328849,"Beth_cr",968
"205","C.score.HL",0.879453480444868,"hernani_dryforestdry",968
"206","C.score.HL",0.690355107708933,"hernani_dryforestwet",968
"207","C.score.HL",0.912845722144511,"hernani_rainforestdry",968
"208","C.score.HL",0.813205561343123,"Jamaica",968
"209","C.score.HL",0.894519270016464,"SAFE",968
"210","C.score.HL",0.841854706910667,"Texas",968
"211","C.score.HL",0.89211136986793,"Beth_cr",970
"212","C.score.HL",0.881525191560169,"hernani_dryforestdry",970
"213","C.score.HL",0.735346067954765,"hernani_dryforestwet",970
"214","C.score.HL",0.92494495566276,"hernani_rainforestdry",970
"215","C.score.HL",0.828758035750737,"Jamaica",970
"216","C.score.HL",0.902302559461224,"SAFE",970
"217","C.score.HL",0.8541707120378,"Texas",970
"218","C.score.HL",0.89669914040722,"Beth_cr",972
"219","C.score.HL",0.877864206980261,"hernani_dryforestdry",972
"220","C.score.HL",0.731928794126365,"hernani_dryforestwet",972
"221","C.score.HL",0.925256512632721,"hernani_rainforestdry",972
"222","C.score.HL",0.829174291196672,"Jamaica",972
"223","C.score.HL",0.903833153729255,"SAFE",972
"224","C.score.HL",0.855345517424459,"Texas",972
"225","C.score.HL",0.896812548022567,"Beth_cr",974
"226","C.score.HL",0.878731337523494,"hernani_dryforestdry",974
"227","C.score.HL",0.731920497088242,"hernani_dryforestwet",974
"228","C.score.HL",0.925271075623067,"hernani_rainforestdry",974
"229","C.score.HL",0.829819465214098,"Jamaica",974
"230","C.score.HL",0.904692563360947,"SAFE",974
"231","C.score.HL",0.856160172411607,"Texas",974
"232","C.score.HL",0.915565446117351,"Beth_cr",976
"233","C.score.HL",0.886980134929002,"hernani_dryforestdry",976
"234","C.score.HL",0.75937374637619,"hernani_dryforestwet",976
"235","C.score.HL",0.926918686173583,"hernani_rainforestdry",976
"236","C.score.HL",0.855008976810982,"Jamaica",976
"237","C.score.HL",0.919738332496323,"SAFE",976
"238","C.score.HL",0.878470672189187,"Texas",976
"239","C.score.HL",0.910902625804271,"Beth_cr",978
"240","C.score.HL",0.888110692099099,"hernani_dryforestdry",978
"241","C.score.HL",0.765609389842943,"hernani_dryforestwet",978
"242","C.score.HL",0.929808437803421,"hernani_rainforestdry",978
"243","C.score.HL",0.857759470418004,"Jamaica",978
"244","C.score.HL",0.918754520966442,"SAFE",978
"245","C.score.HL",0.878230584686034,"Texas",978
"246","C.score.HL",0.911537479884931,"Beth_cr",980
"247","C.score.HL",0.886528436586364,"hernani_dryforestdry",980
"248","C.score.HL",0.763915580229505,"hernani_dryforestwet",980
"249","C.score.HL",0.929584431423699,"hernani_rainforestdry",980
"250","C.score.HL",0.85986930391396,"Jamaica",980
"251","C.score.HL",0.917646365565534,"SAFE",980
"252","C.score.HL",0.877045466562764,"Texas",980
