"","metric","value","network","clustering"
"1","Fisher alpha",627.352271131239,"Beth_cr",910
"2","Fisher alpha",359.340661304565,"hernani_dryforestdry",910
"3","Fisher alpha",529.840534467231,"hernani_dryforestwet",910
"4","Fisher alpha",662.95011205626,"hernani_rainforestdry",910
"5","Fisher alpha",1091.31351440796,"Jamaica",910
"6","Fisher alpha",3106.63404005752,"SAFE",910
"7","Fisher alpha",1284.73537272642,"Texas",910
"8","Fisher alpha",737.037744398333,"Beth_cr",912
"9","Fisher alpha",415.25723417995,"hernani_dryforestdry",912
"10","Fisher alpha",587.494372051259,"hernani_dryforestwet",912
"11","Fisher alpha",686.433662887292,"hernani_rainforestdry",912
"12","Fisher alpha",1238.31607738871,"Jamaica",912
"13","Fisher alpha",3514.55715044402,"SAFE",912
"14","Fisher alpha",1430.23655232542,"Texas",912
"15","Fisher alpha",730.047594015398,"Beth_cr",914
"16","Fisher alpha",428.246474967475,"hernani_dryforestdry",914
"17","Fisher alpha",599.890067381329,"hernani_dryforestwet",914
"18","Fisher alpha",707.040309286592,"hernani_rainforestdry",914
"19","Fisher alpha",1249.74780579683,"Jamaica",914
"20","Fisher alpha",3374.79354578516,"SAFE",914
"21","Fisher alpha",1463.08926099082,"Texas",914
"22","Fisher alpha",727.436562287183,"Beth_cr",916
"23","Fisher alpha",430.090131876462,"hernani_dryforestdry",916
"24","Fisher alpha",603.002980891272,"hernani_dryforestwet",916
"25","Fisher alpha",721.08648091572,"hernani_rainforestdry",916
"26","Fisher alpha",1243.16982257575,"Jamaica",916
"27","Fisher alpha",3391.92145526659,"SAFE",916
"28","Fisher alpha",1463.08926099082,"Texas",916
"29","Fisher alpha",839.208701957395,"Beth_cr",918
"30","Fisher alpha",494.000560217621,"hernani_dryforestdry",918
"31","Fisher alpha",649.008637542268,"hernani_dryforestwet",918
"32","Fisher alpha",843.563246084057,"hernani_rainforestdry",918
"33","Fisher alpha",1406.85848688811,"Jamaica",918
"34","Fisher alpha",3935.92095830826,"SAFE",918
"35","Fisher alpha",1605.96314836429,"Texas",918
"36","Fisher alpha",850.693825204187,"Beth_cr",920
"37","Fisher alpha",495.653180632381,"hernani_dryforestdry",920
"38","Fisher alpha",649.858703466067,"hernani_dryforestwet",920
"39","Fisher alpha",883.74755009206,"hernani_rainforestdry",920
"40","Fisher alpha",1366.30966355828,"Jamaica",920
"41","Fisher alpha",3943.93778511208,"SAFE",920
"42","Fisher alpha",1574.86165827433,"Texas",920
"43","Fisher alpha",850.395876706568,"Beth_cr",922
"44","Fisher alpha",496.970229178893,"hernani_dryforestdry",922
"45","Fisher alpha",645.184298893541,"hernani_dryforestwet",922
"46","Fisher alpha",883.74755009206,"hernani_rainforestdry",922
"47","Fisher alpha",1368.26810979961,"Jamaica",922
"48","Fisher alpha",4019.3524625832,"SAFE",922
"49","Fisher alpha",1574.80266788227,"Texas",922
"50","Fisher alpha",991.428490317359,"Beth_cr",924
"51","Fisher alpha",600.976349645335,"hernani_dryforestdry",924
"52","Fisher alpha",699.359260133785,"hernani_dryforestwet",924
"53","Fisher alpha",1006.04356216982,"hernani_rainforestdry",924
"54","Fisher alpha",1557.00937488833,"Jamaica",924
"55","Fisher alpha",4491.6404303557,"SAFE",924
"56","Fisher alpha",1765.19616404074,"Texas",924
"57","Fisher alpha",967.439109190493,"Beth_cr",926
"58","Fisher alpha",594.311201640661,"hernani_dryforestdry",926
"59","Fisher alpha",685.555628591228,"hernani_dryforestwet",926
"60","Fisher alpha",1054.70444876913,"hernani_rainforestdry",926
"61","Fisher alpha",1581.9563608332,"Jamaica",926
"62","Fisher alpha",4463.75556333817,"SAFE",926
"63","Fisher alpha",1771.54333568568,"Texas",926
"64","Fisher alpha",950.154446229642,"Beth_cr",928
