"","metric","value","network","clustering"
"1","interaction strength asymmetry",-0.213420087831439,"Beth_cr",910
"2","interaction strength asymmetry",-0.389071253911211,"hernani_dryforestdry",910
"3","interaction strength asymmetry",-0.218928056480402,"hernani_dryforestwet",910
"4","interaction strength asymmetry",-0.267508737720288,"hernani_rainforestdry",910
"5","interaction strength asymmetry",-0.204128477325732,"Jamaica",910
"6","interaction strength asymmetry",-0.110898511099556,"SAFE",910
"7","interaction strength asymmetry",-0.111851702802861,"Texas",910
"8","interaction strength asymmetry",-0.220586376533243,"Beth_cr",912
"9","interaction strength asymmetry",-0.405596631411649,"hernani_dryforestdry",912
"10","interaction strength asymmetry",-0.232981756746314,"hernani_dryforestwet",912
"11","interaction strength asymmetry",-0.2987700168563,"hernani_rainforestdry",912
"12","interaction strength asymmetry",-0.20336834965039,"Jamaica",912
"13","interaction strength asymmetry",-0.116248792698709,"SAFE",912
"14","interaction strength asymmetry",-0.121322197320461,"Texas",912
"15","interaction strength asymmetry",-0.232786976962373,"Beth_cr",914
"16","interaction strength asymmetry",-0.396926414943728,"hernani_dryforestdry",914
"17","interaction strength asymmetry",-0.229946276877859,"hernani_dryforestwet",914
"18","interaction strength asymmetry",-0.320455487908318,"hernani_rainforestdry",914
"19","interaction strength asymmetry",-0.202221045467393,"Jamaica",914
"20","interaction strength asymmetry",-0.122226623320628,"SAFE",914
"21","interaction strength asymmetry",-0.112683048148772,"Texas",914
"22","interaction strength asymmetry",-0.236737264209988,"Beth_cr",916
"23","interaction strength asymmetry",-0.395018277698374,"hernani_dryforestdry",916
"24","interaction strength asymmetry",-0.225965351070655,"hernani_dryforestwet",916
"25","interaction strength asymmetry",-0.320146982005512,"hernani_rainforestdry",916
"26","interaction strength asymmetry",-0.203805827147762,"Jamaica",916
"27","interaction strength asymmetry",-0.122271391429321,"SAFE",916
"28","interaction strength asymmetry",-0.113194572049684,"Texas",916
"29","interaction strength asymmetry",-0.246921634211195,"Beth_cr",918
"30","interaction strength asymmetry",-0.414512419827648,"hernani_dryforestdry",918
"31","interaction strength asymmetry",-0.246213735474152,"hernani_dryforestwet",918
"32","interaction strength asymmetry",-0.32773724751884,"hernani_rainforestdry",918
"33","interaction strength asymmetry",-0.210106406086058,"Jamaica",918
"34","interaction strength asymmetry",-0.119510695100787,"SAFE",918
"35","interaction strength asymmetry",-0.122457101124594,"Texas",918
"36","interaction strength asymmetry",-0.248876497944325,"Beth_cr",920
"37","interaction strength asymmetry",-0.414414694585624,"hernani_dryforestdry",920
"38","interaction strength asymmetry",-0.249678595972131,"hernani_dryforestwet",920
"39","interaction strength asymmetry",-0.309722526869928,"hernani_rainforestdry",920
"40","interaction strength asymmetry",-0.2139407887075,"Jamaica",920
"41","interaction strength asymmetry",-0.11722053933842,"SAFE",920
"42","interaction strength asymmetry",-0.126234622836309,"Texas",920
"43","interaction strength asymmetry",-0.249204820627671,"Beth_cr",922
"44","interaction strength asymmetry",-0.413103712857644,"hernani_dryforestdry",922
"45","interaction strength asymmetry",-0.254623011639799,"hernani_dryforestwet",922
"46","interaction strength asymmetry",-0.304208669354839,"hernani_rainforestdry",922
"47","interaction strength asymmetry",-0.218068323801031,"Jamaica",922
"48","interaction strength asymmetry",-0.115221442761936,"SAFE",922
"49","interaction strength asymmetry",-0.126379504126399,"Texas",922
"50","interaction strength asymmetry",-0.252256043618238,"Beth_cr",924
"51","interaction strength asymmetry",-0.410729399757142,"hernani_dryforestdry",924
"52","interaction strength asymmetry",-0.28526646997444,"hernani_dryforestwet",924
"53","interaction strength asymmetry",-0.301426012387846,"hernani_rainforestdry",924
"54","interaction strength asymmetry",-0.228455931371611,"Jamaica",924
"55","interaction strength asymmetry",-0.115677498023416,"SAFE",924
"56","interaction strength asymmetry",-0.126382926779384,"Texas",924
"57","interaction strength asymmetry",-0.26661321920136,"Beth_cr",926
"58","interaction strength asymmetry",-0.427817798711226,"hernani_dryforestdry",926
"59","interaction strength asymmetry",-0.288593113913202,"hernani_dryforestwet",926
"60","interaction strength asymmetry",-0.300201086956522,"hernani_rainforestdry",926
"61","interaction strength asymmetry",-0.222949187307509,"Jamaica",926
"62","interaction strength asymmetry",-0.120730775050752,"SAFE",926
"63","interaction strength asymmetry",-0.127099697292981,"Texas",926
"64","interaction strength asymmetry",-0.272875646712366,"Beth_cr",928
"65","interaction strength asymmetry",-0.44214517563257,"hernani_dryforestdry",928
"66","interaction strength asymmetry",-0.286903243888762,"hernani_dryforestwet",928
"67","interaction strength asymmetry",-0.31660791589363,"hernani_rainforestdry",928
"68","interaction strength asymmetry",-0.223502404701455,"Jamaica",928
"69","interaction strength asymmetry",-0.120510773326165,"SAFE",928
"70","interaction strength asymmetry",-0.128613973633598,"Texas",928
"71","interaction strength asymmetry",-0.282959329751269,"Beth_cr",930
"72","interaction strength asymmetry",-0.424503302083009,"hernani_dryforestdry",930
"73","interaction strength asymmetry",-0.279132357097914,"hernani_dryforestwet",930
"74","interaction strength asymmetry",-0.333016781083143,"hernani_rainforestdry",930
"75","interaction strength asymmetry",-0.241256736512441,"Jamaica",930
"76","interaction strength asymmetry",-0.123750954826958,"SAFE",930
"77","interaction strength asymmetry",-0.138549238472492,"Texas",930
"78","interaction strength asymmetry",-0.295473942813154,"Beth_cr",932
"79","interaction strength asymmetry",-0.431245536914245,"hernani_dryforestdry",932
"80","interaction strength asymmetry",-0.282648092570388,"hernani_dryforestwet",932
"81","interaction strength asymmetry",-0.337287414965986,"hernani_rainforestdry",932
"82","interaction strength asymmetry",-0.239652638420625,"Jamaica",932
"83","interaction strength asymmetry",-0.125418180914839,"SAFE",932
"84","interaction strength asymmetry",-0.135911077706626,"Texas",932
"85","interaction strength asymmetry",-0.294438676990881,"Beth_cr",934
"86","interaction strength asymmetry",-0.428994659915356,"hernani_dryforestdry",934
"87","interaction strength asymmetry",-0.277893471250505,"hernani_dryforestwet",934
"88","interaction strength asymmetry",-0.355179978482186,"hernani_rainforestdry",934
"89","interaction strength asymmetry",-0.243951193409506,"Jamaica",934
"90","interaction strength asymmetry",-0.12806899256367,"SAFE",934
"91","interaction strength asymmetry",-0.138374216477195,"Texas",934
"92","interaction strength asymmetry",-0.295993709079208,"Beth_cr",936
"93","interaction strength asymmetry",-0.437624900050504,"hernani_dryforestdry",936
"94","interaction strength asymmetry",-0.281327749237475,"hernani_dryforestwet",936
"95","interaction strength asymmetry",-0.298844041162564,"hernani_rainforestdry",936
"96","interaction strength asymmetry",-0.242174919591508,"Jamaica",936
"97","interaction strength asymmetry",-0.130752164855253,"SAFE",936
"98","interaction strength asymmetry",-0.142027542196611,"Texas",936
"99","interaction strength asymmetry",-0.331371936393665,"Beth_cr",938
