"","metric","value","network","clustering"
"1","Shannon diversity",6.3350729609787,"Beth_cr",910
"2","Shannon diversity",5.77072791314036,"hernani_dryforestdry",910
"3","Shannon diversity",6.00275707423074,"hernani_dryforestwet",910
"4","Shannon diversity",5.53030078644699,"hernani_rainforestdry",910
"5","Shannon diversity",6.96340691162632,"Jamaica",910
"6","Shannon diversity",7.41178519335222,"SAFE",910
"7","Shannon diversity",7.07556885420236,"Texas",910
"8","Shannon diversity",6.43902330905582,"Beth_cr",912
"9","Shannon diversity",5.8821833584952,"hernani_dryforestdry",912
"10","Shannon diversity",6.06347358261144,"hernani_dryforestwet",912
"11","Shannon diversity",5.56750636106464,"hernani_rainforestdry",912
"12","Shannon diversity",7.05520257972902,"Jamaica",912
"13","Shannon diversity",7.46620712541316,"SAFE",912
"14","Shannon diversity",7.11462426311983,"Texas",912
"15","Shannon diversity",6.43959130782876,"Beth_cr",914
"16","Shannon diversity",5.89868176528681,"hernani_dryforestdry",914
"17","Shannon diversity",6.0627886765681,"hernani_dryforestwet",914
"18","Shannon diversity",5.54946613758868,"hernani_rainforestdry",914
"19","Shannon diversity",7.05177667673358,"Jamaica",914
"20","Shannon diversity",7.45628377126207,"SAFE",914
"21","Shannon diversity",7.11132141721156,"Texas",914
"22","Shannon diversity",6.43995923477725,"Beth_cr",916
"23","Shannon diversity",5.90036659350108,"hernani_dryforestdry",916
"24","Shannon diversity",6.06516827064126,"hernani_dryforestwet",916
"25","Shannon diversity",5.55338222335455,"hernani_rainforestdry",916
"26","Shannon diversity",7.05746459607074,"Jamaica",916
"27","Shannon diversity",7.45835305879318,"SAFE",916
"28","Shannon diversity",7.1126082285198,"Texas",916
"29","Shannon diversity",6.56310588584486,"Beth_cr",918
"30","Shannon diversity",6.01082647681245,"hernani_dryforestdry",918
"31","Shannon diversity",6.13570551486677,"hernani_dryforestwet",918
"32","Shannon diversity",5.60251336902401,"hernani_rainforestdry",918
"33","Shannon diversity",7.14059751488115,"Jamaica",918
"34","Shannon diversity",7.50674005110087,"SAFE",918
"35","Shannon diversity",7.17609602279952,"Texas",918
"36","Shannon diversity",6.57056464728823,"Beth_cr",920
"37","Shannon diversity",6.01014623782942,"hernani_dryforestdry",920
"38","Shannon diversity",6.13117655590921,"hernani_dryforestwet",920
"39","Shannon diversity",5.60332097705665,"hernani_rainforestdry",920
"40","Shannon diversity",7.13053218290563,"Jamaica",920
"41","Shannon diversity",7.51001197213102,"SAFE",920
"42","Shannon diversity",7.15467289490808,"Texas",920
"43","Shannon diversity",6.56848561100634,"Beth_cr",922
"44","Shannon diversity",6.00687728557026,"hernani_dryforestdry",922
"45","Shannon diversity",6.12925488000683,"hernani_dryforestwet",922
"46","Shannon diversity",5.60183868769754,"hernani_rainforestdry",922
"47","Shannon diversity",7.12953421050443,"Jamaica",922
"48","Shannon diversity",7.51401115088917,"SAFE",922
"49","Shannon diversity",7.15457144598135,"Texas",922
"50","Shannon diversity",6.6686119360158,"Beth_cr",924
"51","Shannon diversity",6.12533401107845,"hernani_dryforestdry",924
"52","Shannon diversity",6.19680532815901,"hernani_dryforestwet",924
"53","Shannon diversity",5.6772834149207,"hernani_rainforestdry",924
"54","Shannon diversity",7.22045470010328,"Jamaica",924
"55","Shannon diversity",7.56455605624749,"SAFE",924
"56","Shannon diversity",7.21249750534375,"Texas",924
"57","Shannon diversity",6.66154240651755,"Beth_cr",926
"58","Shannon diversity",6.11526326976499,"hernani_dryforestdry",926
"59","Shannon diversity",6.18422845903706,"hernani_dryforestwet",926
"60","Shannon diversity",5.70343921457062,"hernani_rainforestdry",926
"61","Shannon diversity",7.22176849494479,"Jamaica",926
"62","Shannon diversity",7.56137802541689,"SAFE",926
"63","Shannon diversity",7.220999516016,"Texas",926
"64","Shannon diversity",6.63848681930362,"Beth_cr",928
"65","Shannon diversity",6.11627694298402,"hernani_dryforestdry",928
"66","Shannon diversity",6.18760064742129,"hernani_dryforestwet",928
"67","Shannon diversity",5.68651491326512,"hernani_rainforestdry",928
"68","Shannon diversity",7.21995612843032,"Jamaica",928
"69","Shannon diversity",7.56445003783933,"SAFE",928
"70","Shannon diversity",7.22349184152955,"Texas",928
"71","Shannon diversity",6.77053590103997,"Beth_cr",930
"72","Shannon diversity",6.23024638306471,"hernani_dryforestdry",930
"73","Shannon diversity",6.30474599305576,"hernani_dryforestwet",930
"74","Shannon diversity",5.75488737357484,"hernani_rainforestdry",930
"75","Shannon diversity",7.32943485189701,"Jamaica",930
"76","Shannon diversity",7.64912921356506,"SAFE",930
"77","Shannon diversity",7.29754826145425,"Texas",930
"78","Shannon diversity",6.81265477539781,"Beth_cr",932
"79","Shannon diversity",6.23156939446416,"hernani_dryforestdry",932
"80","Shannon diversity",6.31167174566464,"hernani_dryforestwet",932
"81","Shannon diversity",5.75500728288877,"hernani_rainforestdry",932
"82","Shannon diversity",7.33425668645606,"Jamaica",932
"83","Shannon diversity",7.64578376068711,"SAFE",932
"84","Shannon diversity",7.30795914908975,"Texas",932
"85","Shannon diversity",6.81946906659613,"Beth_cr",934
"86","Shannon diversity",6.23646422521128,"hernani_dryforestdry",934
"87","Shannon diversity",6.29515973483679,"hernani_dryforestwet",934
"88","Shannon diversity",5.75224960345096,"hernani_rainforestdry",934
"89","Shannon diversity",7.33133995470756,"Jamaica",934
"90","Shannon diversity",7.64899858434007,"SAFE",934
"91","Shannon diversity",7.30956460031494,"Texas",934
"92","Shannon diversity",6.8261275165219,"Beth_cr",936
"93","Shannon diversity",6.25976132325498,"hernani_dryforestdry",936
"94","Shannon diversity",6.29721110633427,"hernani_dryforestwet",936
"95","Shannon diversity",5.79729701189406,"hernani_rainforestdry",936
"96","Shannon diversity",7.36730162412288,"Jamaica",936
"97","Shannon diversity",7.67529362106983,"SAFE",936
"98","Shannon diversity",7.32970183579947,"Texas",936
"99","Shannon diversity",6.92520495336225,"Beth_cr",938
"100","Shannon diversity",6.34329065138537,"hernani_dryforestdry",938
"101","Shannon diversity",6.42400253311372,"hernani_dryforestwet",938
"102","Shannon diversity",5.8511094249318,"hernani_rainforestdry",938
"103","Shannon diversity",7.47907734831291,"Jamaica",938
"104","Shannon diversity",7.73527974910574,"SAFE",938
"105","Shannon diversity",7.4257030985951,"Texas",938
"106","Shannon diversity",6.94495887351241,"Beth_cr",940
"107","Shannon diversity",6.33768377202232,"hernani_dryforestdry",940
"108","Shannon diversity",6.40332043752964,"hernani_dryforestwet",940
"109","Shannon diversity",5.85428255727429,"hernani_rainforestdry",940
"110","Shannon diversity",7.4837997865538,"Jamaica",940
"111","Shannon diversity",7.74448310122179,"SAFE",940
"112","Shannon diversity",7.45379932281129,"Texas",940
"113","Shannon diversity",6.96452083221885,"Beth_cr",942
"114","Shannon diversity",6.35287714431058,"hernani_dryforestdry",942
"115","Shannon diversity",6.41143415063695,"hernani_dryforestwet",942
"116","Shannon diversity",5.88373977039897,"hernani_rainforestdry",942
"117","Shannon diversity",7.49014666055692,"Jamaica",942
"118","Shannon diversity",7.75791701165432,"SAFE",942
"119","Shannon diversity",7.46154069834735,"Texas",942
"120","Shannon diversity",7.08471058833202,"Beth_cr",944
"121","Shannon diversity",6.484193743566,"hernani_dryforestdry",944
"122","Shannon diversity",6.5345895360633,"hernani_dryforestwet",944
"123","Shannon diversity",5.94489815502027,"hernani_rainforestdry",944
"124","Shannon diversity",7.6486541301024,"Jamaica",944
"125","Shannon diversity",7.8505803433221,"SAFE",944
"126","Shannon diversity",7.58168578409107,"Texas",944
"127","Shannon diversity",7.05224594023012,"Beth_cr",946
"128","Shannon diversity",6.4901188869848,"hernani_dryforestdry",946
"129","Shannon diversity",6.53827427554345,"hernani_dryforestwet",946
"130","Shannon diversity",5.94423305657834,"hernani_rainforestdry",946
"131","Shannon diversity",7.64337137979931,"Jamaica",946
"132","Shannon diversity",7.85038665199457,"SAFE",946
"133","Shannon diversity",7.55552987981624,"Texas",946
"134","Shannon diversity",7.05633598272371,"Beth_cr",948
"135","Shannon diversity",6.4901188869848,"hernani_dryforestdry",948
"136","Shannon diversity",6.53997275103491,"hernani_dryforestwet",948
"137","Shannon diversity",5.94682030695202,"hernani_rainforestdry",948
"138","Shannon diversity",7.6476518956673,"Jamaica",948
"139","Shannon diversity",7.85031906639368,"SAFE",948
"140","Shannon diversity",7.55539094956984,"Texas",948
"141","Shannon diversity",7.27408313141589,"Beth_cr",950
"142","Shannon diversity",6.6350699253804,"hernani_dryforestdry",950
"143","Shannon diversity",6.67085610615088,"hernani_dryforestwet",950
"144","Shannon diversity",6.08295913274271,"hernani_rainforestdry",950
"145","Shannon diversity",7.81082529443139,"Jamaica",950
"146","Shannon diversity",7.95706214299208,"SAFE",950
"147","Shannon diversity",7.71923353640106,"Texas",950
"148","Shannon diversity",7.29143561142851,"Beth_cr",952
"149","Shannon diversity",6.6356571405557,"hernani_dryforestdry",952
"150","Shannon diversity",6.6869308305688,"hernani_dryforestwet",952
"151","Shannon diversity",6.08756788720459,"hernani_rainforestdry",952
"152","Shannon diversity",7.84170356331438,"Jamaica",952
"153","Shannon diversity",7.97165801576763,"SAFE",952
"154","Shannon diversity",7.74200271368893,"Texas",952
"155","Shannon diversity",7.29742184875944,"Beth_cr",954
"156","Shannon diversity",6.63445032246047,"hernani_dryforestdry",954
"157","Shannon diversity",6.69059911364967,"hernani_dryforestwet",954
"158","Shannon diversity",6.08306394942748,"hernani_rainforestdry",954
"159","Shannon diversity",7.85378320966559,"Jamaica",954
"160","Shannon diversity",7.97312270689701,"SAFE",954
"161","Shannon diversity",7.74261869169003,"Texas",954
"162","Shannon diversity",7.49475701339399,"Beth_cr",956
"163","Shannon diversity",6.78764306253701,"hernani_dryforestdry",956
"164","Shannon diversity",6.87046810124951,"hernani_dryforestwet",956
"165","Shannon diversity",6.2107878359904,"hernani_rainforestdry",956
"166","Shannon diversity",8.02695403643034,"Jamaica",956
"167","Shannon diversity",8.10450834452308,"SAFE",956
"168","Shannon diversity",7.88895288774583,"Texas",956
"169","Shannon diversity",7.49560196026426,"Beth_cr",958
"170","Shannon diversity",6.79329877195115,"hernani_dryforestdry",958
"171","Shannon diversity",6.86596125059991,"hernani_dryforestwet",958
"172","Shannon diversity",6.21214415567395,"hernani_rainforestdry",958
"173","Shannon diversity",8.03147846946042,"Jamaica",958
"174","Shannon diversity",8.12174947505972,"SAFE",958
"175","Shannon diversity",7.90629152608469,"Texas",958
"176","Shannon diversity",7.50000689366905,"Beth_cr",960
"177","Shannon diversity",6.79065517523353,"hernani_dryforestdry",960
"178","Shannon diversity",6.85722491980642,"hernani_dryforestwet",960
"179","Shannon diversity",6.21353994475387,"hernani_rainforestdry",960
"180","Shannon diversity",8.01922871844153,"Jamaica",960
"181","Shannon diversity",8.12139757799768,"SAFE",960
"182","Shannon diversity",7.9029397552556,"Texas",960
"183","Shannon diversity",7.68172542174563,"Beth_cr",962
"184","Shannon diversity",6.93923621414634,"hernani_dryforestdry",962
"185","Shannon diversity",7.02591212041648,"hernani_dryforestwet",962
"186","Shannon diversity",6.32123474700087,"hernani_rainforestdry",962
"187","Shannon diversity",8.20467433367781,"Jamaica",962
"188","Shannon diversity",8.28630316393919,"SAFE",962
"189","Shannon diversity",8.07470968126177,"Texas",962
"190","Shannon diversity",7.73519292701313,"Beth_cr",964
"191","Shannon diversity",6.9500849795752,"hernani_dryforestdry",964
"192","Shannon diversity",7.03614906791549,"hernani_dryforestwet",964
"193","Shannon diversity",6.3520544743016,"hernani_rainforestdry",964
"194","Shannon diversity",8.21400179919356,"Jamaica",964
"195","Shannon diversity",8.30197874396371,"SAFE",964
"196","Shannon diversity",8.10454704792763,"Texas",964
"197","Shannon diversity",7.7344084018897,"Beth_cr",966
"198","Shannon diversity",6.95307973833382,"hernani_dryforestdry",966
"199","Shannon diversity",7.03179315741686,"hernani_dryforestwet",966
"200","Shannon diversity",6.3555068515538,"hernani_rainforestdry",966
"201","Shannon diversity",8.22634545706336,"Jamaica",966
"202","Shannon diversity",8.3159530928806,"SAFE",966
"203","Shannon diversity",8.10907679177215,"Texas",966
"204","Shannon diversity",7.79516056527224,"Beth_cr",968
"205","Shannon diversity",7.0175184271696,"hernani_dryforestdry",968
"206","Shannon diversity",7.09402063684873,"hernani_dryforestwet",968
"207","Shannon diversity",6.41820875661902,"hernani_rainforestdry",968
"208","Shannon diversity",8.31608123440276,"Jamaica",968
"209","Shannon diversity",8.38785172717044,"SAFE",968
"210","Shannon diversity",8.17533794803179,"Texas",968
"211","Shannon diversity",8.0072293049147,"Beth_cr",970
"212","Shannon diversity",7.17302271192755,"hernani_dryforestdry",970
"213","Shannon diversity",7.27457207348628,"hernani_dryforestwet",970
"214","Shannon diversity",6.52066780567726,"hernani_rainforestdry",970
"215","Shannon diversity",8.4468248061743,"Jamaica",970
"216","Shannon diversity",8.49523214647298,"SAFE",970
"217","Shannon diversity",8.34346677267037,"Texas",970
"218","Shannon diversity",7.9943790797198,"Beth_cr",972
"219","Shannon diversity",7.17351094712054,"hernani_dryforestdry",972
"220","Shannon diversity",7.27346760984513,"hernani_dryforestwet",972
"221","Shannon diversity",6.51730714019577,"hernani_rainforestdry",972
"222","Shannon diversity",8.44283253865571,"Jamaica",972
"223","Shannon diversity",8.48313625987115,"SAFE",972
"224","Shannon diversity",8.3315964031335,"Texas",972
"225","Shannon diversity",7.9968480578635,"Beth_cr",974
"226","Shannon diversity",7.17335515263092,"hernani_dryforestdry",974
"227","Shannon diversity",7.27499579249376,"hernani_dryforestwet",974
"228","Shannon diversity",6.52023853983873,"hernani_rainforestdry",974
"229","Shannon diversity",8.44916913588158,"Jamaica",974
"230","Shannon diversity",8.48718557094195,"SAFE",974
"231","Shannon diversity",8.33550982812907,"Texas",974
"232","Shannon diversity",8.3081145582451,"Beth_cr",976
"233","Shannon diversity",7.43786312032376,"hernani_dryforestdry",976
"234","Shannon diversity",7.548715581464,"hernani_dryforestwet",976
"235","Shannon diversity",6.7243552716692,"hernani_rainforestdry",976
"236","Shannon diversity",8.74396612922867,"Jamaica",976
"237","Shannon diversity",8.74076566673024,"SAFE",976
"238","Shannon diversity",8.63691873499381,"Texas",976
"239","Shannon diversity",8.3599131727373,"Beth_cr",978
"240","Shannon diversity",7.43766928872171,"hernani_dryforestdry",978
"241","Shannon diversity",7.56656958779627,"hernani_dryforestwet",978
"242","Shannon diversity",6.74679605909888,"hernani_rainforestdry",978
"243","Shannon diversity",8.77259766116796,"Jamaica",978
"244","Shannon diversity",8.7514851779817,"SAFE",978
"245","Shannon diversity",8.67316205941449,"Texas",978
"246","Shannon diversity",8.35969982735817,"Beth_cr",980
"247","Shannon diversity",7.43787563381953,"hernani_dryforestdry",980
"248","Shannon diversity",7.56651160317731,"hernani_dryforestwet",980
"249","Shannon diversity",6.74650573070307,"hernani_rainforestdry",980
"250","Shannon diversity",8.77683472740686,"Jamaica",980
"251","Shannon diversity",8.75166671790515,"SAFE",980
"252","Shannon diversity",8.67601646946457,"Texas",980
