"","metric","value","network","clustering"
"1","V.ratio.HL",141.167089249493,"Beth_cr",910
"2","V.ratio.HL",90.312346688471,"hernani_dryforestdry",910
"3","V.ratio.HL",89.6631366616238,"hernani_dryforestwet",910
"4","V.ratio.HL",53.7434903047091,"hernani_rainforestdry",910
"5","V.ratio.HL",206.808107103012,"Jamaica",910
"6","V.ratio.HL",146.885314995563,"SAFE",910
"7","V.ratio.HL",67.3403174603175,"Texas",910
"8","V.ratio.HL",158.096088627628,"Beth_cr",912
"9","V.ratio.HL",101.465733235077,"hernani_dryforestdry",912
"10","V.ratio.HL",107.882352941176,"hernani_dryforestwet",912
"11","V.ratio.HL",58.4620187304891,"hernani_rainforestdry",912
"12","V.ratio.HL",228.832821562607,"Jamaica",912
"13","V.ratio.HL",161.004307967112,"SAFE",912
"14","V.ratio.HL",67.7511432364656,"Texas",912
"15","V.ratio.HL",154.11327594019,"Beth_cr",914
"16","V.ratio.HL",100.628214548126,"hernani_dryforestdry",914
"17","V.ratio.HL",108.928604759683,"hernani_dryforestwet",914
"18","V.ratio.HL",56.9915209326974,"hernani_rainforestdry",914
"19","V.ratio.HL",228.36105708729,"Jamaica",914
"20","V.ratio.HL",162.4020330033,"SAFE",914
"21","V.ratio.HL",68.0308296514482,"Texas",914
"22","V.ratio.HL",161.619369369369,"Beth_cr",916
"23","V.ratio.HL",100.652685798381,"hernani_dryforestdry",916
"24","V.ratio.HL",107.484636871508,"hernani_dryforestwet",916
"25","V.ratio.HL",56.5316455696203,"hernani_rainforestdry",916
"26","V.ratio.HL",230.988110209215,"Jamaica",916
"27","V.ratio.HL",162.777649193867,"SAFE",916
"28","V.ratio.HL",67.373590824429,"Texas",916
"29","V.ratio.HL",180.877608915907,"Beth_cr",918
"30","V.ratio.HL",117.782894736842,"hernani_dryforestdry",918
"31","V.ratio.HL",127.673969072165,"hernani_dryforestwet",918
"32","V.ratio.HL",59.7879093198992,"hernani_rainforestdry",918
"33","V.ratio.HL",259.538250501213,"Jamaica",918
"34","V.ratio.HL",171.64353758686,"SAFE",918
"35","V.ratio.HL",73.0954226651901,"Texas",918
