"","metric","value","network","clustering"
"1","cluster coefficient",0.116104868913858,"Beth_cr",910
"2","cluster.coefficient.HL",0.456530240813441,"Beth_cr",910
"3","cluster.coefficient.LL",0.410235985263368,"Beth_cr",910
"4","cluster coefficient",0.0714285714285714,"hernani_dryforestdry",910
"5","cluster.coefficient.HL",0.445898778359511,"hernani_dryforestdry",910
"6","cluster.coefficient.LL",0.296035901271503,"hernani_dryforestdry",910
"7","cluster coefficient",0.129380053908356,"hernani_dryforestwet",910
"8","cluster.coefficient.HL",0.461437803440573,"hernani_dryforestwet",910
"9","cluster.coefficient.LL",0.420744138634047,"hernani_dryforestwet",910
"10","cluster coefficient",0.0767543859649123,"hernani_rainforestdry",910
"11","cluster.coefficient.HL",0.379578549773868,"hernani_rainforestdry",910
"12","cluster.coefficient.LL",0.219192634560907,"hernani_rainforestdry",910
"13","cluster coefficient",0.110696517412935,"Jamaica",910
"14","cluster.coefficient.HL",0.429681356878826,"Jamaica",910
"15","cluster.coefficient.LL",0.357686626519714,"Jamaica",910
"16","cluster coefficient",0.0400579150579151,"SAFE",910
"17","cluster.coefficient.HL",0.222514100476186,"SAFE",910
"18","cluster.coefficient.LL",0.207934245848938,"SAFE",910
"19","cluster coefficient",0.142037302725968,"Texas",910
"20","cluster.coefficient.HL",0.21720416692658,"Texas",910
"21","cluster.coefficient.LL",0.417002591419522,"Texas",910
"22","cluster coefficient",0.102141680395387,"Beth_cr",912
"23","cluster.coefficient.HL",0.441283218448517,"Beth_cr",912
"24","cluster.coefficient.LL",0.380969741159315,"Beth_cr",912
"25","cluster coefficient",0.0661375661375661,"hernani_dryforestdry",912
"26","cluster.coefficient.HL",0.439735131000191,"hernani_dryforestdry",912
"27","cluster.coefficient.LL",0.281554790590935,"hernani_dryforestdry",912
"28","cluster coefficient",0.105134474327628,"hernani_dryforestwet",912
"29","cluster.coefficient.HL",0.468868741259407,"hernani_dryforestwet",912
"30","cluster.coefficient.LL",0.385300475572849,"hernani_dryforestwet",912
"31","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",912
"32","cluster.coefficient.HL",0.380615025301674,"hernani_rainforestdry",912
"33","cluster.coefficient.LL",0.192438692098093,"hernani_rainforestdry",912
"34","cluster coefficient",0.105555555555556,"Jamaica",912
"35","cluster.coefficient.HL",0.414989280162942,"Jamaica",912
"36","cluster.coefficient.LL",0.348862666518238,"Jamaica",912
"37","cluster coefficient",0.0363153232949513,"SAFE",912
"38","cluster.coefficient.HL",0.219139677282705,"SAFE",912
"39","cluster.coefficient.LL",0.18614953886693,"SAFE",912
"40","cluster coefficient",0.125,"Texas",912
"41","cluster.coefficient.HL",0.199055724569372,"Texas",912
"42","cluster.coefficient.LL",0.370088482303539,"Texas",912
"43","cluster coefficient",0.100977198697068,"Beth_cr",914
"44","cluster.coefficient.HL",0.432556171267749,"Beth_cr",914
"45","cluster.coefficient.LL",0.373291904714176,"Beth_cr",914
"46","cluster coefficient",0.0716180371352785,"hernani_dryforestdry",914
"47","cluster.coefficient.HL",0.43976299842574,"hernani_dryforestdry",914
"48","cluster.coefficient.LL",0.279907084785134,"hernani_dryforestdry",914
"49","cluster coefficient",0.0982800982800983,"hernani_dryforestwet",914
"50","cluster.coefficient.HL",0.471877658770863,"hernani_dryforestwet",914
"51","cluster.coefficient.LL",0.359313196691837,"hernani_dryforestwet",914
"52","cluster coefficient",0.0699588477366255,"hernani_rainforestdry",914
"53","cluster.coefficient.HL",0.374299597777313,"hernani_rainforestdry",914
"54","cluster.coefficient.LL",0.1875,"hernani_rainforestdry",914
"55","cluster coefficient",0.110122358175751,"Jamaica",914
"56","cluster.coefficient.HL",0.417572813330004,"Jamaica",914
"57","cluster.coefficient.LL",0.352078193914929,"Jamaica",914
"58","cluster coefficient",0.036,"SAFE",914
"59","cluster.coefficient.HL",0.220749580637431,"SAFE",914
"60","cluster.coefficient.LL",0.187716489118358,"SAFE",914
"61","cluster coefficient",0.123086734693878,"Texas",914
"62","cluster.coefficient.HL",0.199741903983983,"Texas",914
"63","cluster.coefficient.LL",0.380303942220885,"Texas",914
"64","cluster coefficient",0.100323624595469,"Beth_cr",916
"65","cluster.coefficient.HL",0.43939858870656,"Beth_cr",916
"66","cluster.coefficient.LL",0.369149042798436,"Beth_cr",916
"67","cluster coefficient",0.0718085106382979,"hernani_dryforestdry",916
"68","cluster.coefficient.HL",0.440269373414015,"hernani_dryforestdry",916
"69","cluster.coefficient.LL",0.280763069753895,"hernani_dryforestdry",916
"70","cluster coefficient",0.100737100737101,"hernani_dryforestwet",916
"71","cluster.coefficient.HL",0.469471151947036,"hernani_dryforestwet",916
"72","cluster.coefficient.LL",0.362808145766345,"hernani_dryforestwet",916
"73","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",916
"74","cluster.coefficient.HL",0.369964256889196,"hernani_rainforestdry",916
"75","cluster.coefficient.LL",0.184322033898305,"hernani_rainforestdry",916
"76","cluster coefficient",0.108527131782946,"Jamaica",916
"77","cluster.coefficient.HL",0.417006714553781,"Jamaica",916
"78","cluster.coefficient.LL",0.349536821308084,"Jamaica",916
"79","cluster coefficient",0.0358407079646018,"SAFE",916
"80","cluster.coefficient.HL",0.220355573375592,"SAFE",916
"81","cluster.coefficient.LL",0.184989049066719,"SAFE",916
"82","cluster coefficient",0.123409669211196,"Texas",916
"83","cluster.coefficient.HL",0.198946888024632,"Texas",916
"84","cluster.coefficient.LL",0.379024977430033,"Texas",916
"85","cluster coefficient",0.0942857142857143,"Beth_cr",918
"86","cluster.coefficient.HL",0.426006988403302,"Beth_cr",918
"87","cluster.coefficient.LL",0.337372305114241,"Beth_cr",918
"88","cluster coefficient",0.0626450116009281,"hernani_dryforestdry",918
"89","cluster.coefficient.HL",0.432768909955967,"hernani_dryforestdry",918
"90","cluster.coefficient.LL",0.267703643061809,"hernani_dryforestdry",918
"91","cluster coefficient",0.0903083700440529,"hernani_dryforestwet",918
"92","cluster.coefficient.HL",0.47496112982638,"hernani_dryforestwet",918
"93","cluster.coefficient.LL",0.339783281733746,"hernani_dryforestwet",918
"94","cluster coefficient",0.0637065637065637,"hernani_rainforestdry",918
"95","cluster.coefficient.HL",0.366676066114268,"hernani_rainforestdry",918
"96","cluster.coefficient.LL",0.169592696629213,"hernani_rainforestdry",918
"97","cluster coefficient",0.0995024875621891,"Jamaica",918
"98","cluster.coefficient.HL",0.408821574605193,"Jamaica",918
"99","cluster.coefficient.LL",0.328524089656713,"Jamaica",918
"100","cluster coefficient",0.0345679012345679,"SAFE",918
"101","cluster.coefficient.HL",0.21383030664595,"SAFE",918
"102","cluster.coefficient.LL",0.175933514736255,"SAFE",918
"103","cluster coefficient",0.113768961493582,"Texas",918
"104","cluster.coefficient.HL",0.19362571291554,"Texas",918
"105","cluster.coefficient.LL",0.346484610742305,"Texas",918
"106","cluster coefficient",0.0926966292134832,"Beth_cr",920
"107","cluster.coefficient.HL",0.425478268350459,"Beth_cr",920
"108","cluster.coefficient.LL",0.33954933954934,"Beth_cr",920
"109","cluster coefficient",0.0625,"hernani_dryforestdry",920
"110","cluster.coefficient.HL",0.431060685923115,"hernani_dryforestdry",920
"111","cluster.coefficient.LL",0.271889400921659,"hernani_dryforestdry",920
"112","cluster coefficient",0.0905077262693157,"hernani_dryforestwet",920
"113","cluster.coefficient.HL",0.476519148686457,"hernani_dryforestwet",920
"114","cluster.coefficient.LL",0.336634523499262,"hernani_dryforestwet",920
"115","cluster coefficient",0.0658914728682171,"hernani_rainforestdry",920
"116","cluster.coefficient.HL",0.367975492456684,"hernani_rainforestdry",920
