"","metric","value","network","clustering"
"1","cluster coefficient",0.116104868913858,"Beth_cr",910
"2","cluster.coefficient.HL",0.456530240813441,"Beth_cr",910
"3","cluster coefficient",0.0714285714285714,"hernani_dryforestdry",910
"4","cluster.coefficient.HL",0.445898778359511,"hernani_dryforestdry",910
"5","cluster coefficient",0.129380053908356,"hernani_dryforestwet",910
"6","cluster.coefficient.HL",0.461437803440573,"hernani_dryforestwet",910
"7","cluster coefficient",0.0767543859649123,"hernani_rainforestdry",910
"8","cluster.coefficient.HL",0.379578549773868,"hernani_rainforestdry",910
"9","cluster coefficient",0.110696517412935,"Jamaica",910
"10","cluster.coefficient.HL",0.429681356878826,"Jamaica",910
"11","cluster coefficient",0.0400579150579151,"SAFE",910
"12","cluster.coefficient.HL",0.222514100476186,"SAFE",910
"13","cluster coefficient",0.142037302725968,"Texas",910
"14","cluster.coefficient.HL",0.21720416692658,"Texas",910
"15","cluster coefficient",0.102141680395387,"Beth_cr",912
"16","cluster.coefficient.HL",0.441283218448517,"Beth_cr",912
"17","cluster coefficient",0.0661375661375661,"hernani_dryforestdry",912
"18","cluster.coefficient.HL",0.439735131000191,"hernani_dryforestdry",912
"19","cluster coefficient",0.105134474327628,"hernani_dryforestwet",912
"20","cluster.coefficient.HL",0.468868741259407,"hernani_dryforestwet",912
"21","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",912
"22","cluster.coefficient.HL",0.380615025301674,"hernani_rainforestdry",912
"23","cluster coefficient",0.105555555555556,"Jamaica",912
"24","cluster.coefficient.HL",0.414989280162942,"Jamaica",912
"25","cluster coefficient",0.0363153232949513,"SAFE",912
"26","cluster.coefficient.HL",0.219139677282705,"SAFE",912
"27","cluster coefficient",0.125,"Texas",912
"28","cluster.coefficient.HL",0.199055724569372,"Texas",912
"29","cluster coefficient",0.100977198697068,"Beth_cr",914
"30","cluster.coefficient.HL",0.432556171267749,"Beth_cr",914
"31","cluster coefficient",0.0716180371352785,"hernani_dryforestdry",914
"32","cluster.coefficient.HL",0.43976299842574,"hernani_dryforestdry",914
"33","cluster coefficient",0.0982800982800983,"hernani_dryforestwet",914
"34","cluster.coefficient.HL",0.471877658770863,"hernani_dryforestwet",914
"35","cluster coefficient",0.0699588477366255,"hernani_rainforestdry",914
"36","cluster.coefficient.HL",0.374299597777313,"hernani_rainforestdry",914
"37","cluster coefficient",0.110122358175751,"Jamaica",914
"38","cluster.coefficient.HL",0.417572813330004,"Jamaica",914
"39","cluster coefficient",0.036,"SAFE",914
"40","cluster.coefficient.HL",0.220749580637431,"SAFE",914
"41","cluster coefficient",0.123086734693878,"Texas",914
"42","cluster.coefficient.HL",0.199741903983983,"Texas",914
"43","cluster coefficient",0.100323624595469,"Beth_cr",916
"44","cluster.coefficient.HL",0.43939858870656,"Beth_cr",916
"45","cluster coefficient",0.0718085106382979,"hernani_dryforestdry",916
"46","cluster.coefficient.HL",0.440269373414015,"hernani_dryforestdry",916
"47","cluster coefficient",0.100737100737101,"hernani_dryforestwet",916
"48","cluster.coefficient.HL",0.469471151947036,"hernani_dryforestwet",916
"49","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",916
"50","cluster.coefficient.HL",0.369964256889196,"hernani_rainforestdry",916
"51","cluster coefficient",0.108527131782946,"Jamaica",916
"52","cluster.coefficient.HL",0.417006714553781,"Jamaica",916
"53","cluster coefficient",0.0358407079646018,"SAFE",916
"54","cluster.coefficient.HL",0.220355573375592,"SAFE",916
"55","cluster coefficient",0.123409669211196,"Texas",916
"56","cluster.coefficient.HL",0.198946888024632,"Texas",916
"57","cluster coefficient",0.0942857142857143,"Beth_cr",918
"58","cluster.coefficient.HL",0.426006988403302,"Beth_cr",918
"59","cluster coefficient",0.0626450116009281,"hernani_dryforestdry",918
"60","cluster.coefficient.HL",0.432768909955967,"hernani_dryforestdry",918
"61","cluster coefficient",0.0903083700440529,"hernani_dryforestwet",918
"62","cluster.coefficient.HL",0.47496112982638,"hernani_dryforestwet",918
"63","cluster coefficient",0.0637065637065637,"hernani_rainforestdry",918
"64","cluster.coefficient.HL",0.366676066114268,"hernani_rainforestdry",918
"65","cluster coefficient",0.0995024875621891,"Jamaica",918
"66","cluster.coefficient.HL",0.408821574605193,"Jamaica",918
"67","cluster coefficient",0.0345679012345679,"SAFE",918
"68","cluster.coefficient.HL",0.21383030664595,"SAFE",918
"69","cluster coefficient",0.113768961493582,"Texas",918
"70","cluster.coefficient.HL",0.19362571291554,"Texas",918
"71","cluster coefficient",0.0926966292134832,"Beth_cr",920
"72","cluster.coefficient.HL",0.425478268350459,"Beth_cr",920
"73","cluster coefficient",0.0625,"hernani_dryforestdry",920
"74","cluster.coefficient.HL",0.431060685923115,"hernani_dryforestdry",920
"75","cluster coefficient",0.0905077262693157,"hernani_dryforestwet",920
"76","cluster.coefficient.HL",0.476519148686457,"hernani_dryforestwet",920
"77","cluster coefficient",0.0658914728682171,"hernani_rainforestdry",920
"78","cluster.coefficient.HL",0.367975492456684,"hernani_rainforestdry",920
"79","cluster coefficient",0.087215064420218,"Jamaica",920
"80","cluster.coefficient.HL",0.418376053550215,"Jamaica",920
"81","cluster coefficient",0.0337726523887974,"SAFE",920
"82","cluster.coefficient.HL",0.215241393792942,"SAFE",920
"83","cluster coefficient",0.113953488372093,"Texas",920
"84","cluster.coefficient.HL",0.190914988655701,"Texas",920
"85","cluster coefficient",0.0928270042194093,"Beth_cr",922
"86","cluster.coefficient.HL",0.42408836010455,"Beth_cr",922
"87","cluster coefficient",0.0625,"hernani_dryforestdry",922
"88","cluster.coefficient.HL",0.429955336652191,"hernani_dryforestdry",922
"89","cluster coefficient",0.0857142857142857,"hernani_dryforestwet",922
"90","cluster.coefficient.HL",0.475684660167419,"hernani_dryforestwet",922
"91","cluster coefficient",0.0658914728682171,"hernani_rainforestdry",922
"92","cluster.coefficient.HL",0.367975492456684,"hernani_rainforestdry",922
"93","cluster coefficient",0.0883218842001963,"Jamaica",922
"94","cluster.coefficient.HL",0.417088952788357,"Jamaica",922
"95","cluster coefficient",0.0331695331695332,"SAFE",922
"96","cluster.coefficient.HL",0.215801118319104,"SAFE",922
"97","cluster coefficient",0.111175785797439,"Texas",922
"98","cluster.coefficient.HL",0.191603169229359,"Texas",922
"99","cluster coefficient",0.0754950495049505,"Beth_cr",924
"100","cluster.coefficient.HL",0.419154701662487,"Beth_cr",924
"101","cluster coefficient",0.0556701030927835,"hernani_dryforestdry",924
"102","cluster.coefficient.HL",0.430444047687612,"hernani_dryforestdry",924
"103","cluster coefficient",0.0824949698189135,"hernani_dryforestwet",924
"104","cluster.coefficient.HL",0.457776252530761,"hernani_dryforestwet",924
"105","cluster coefficient",0.0627240143369176,"hernani_rainforestdry",924
"106","cluster.coefficient.HL",0.371341498476223,"hernani_rainforestdry",924
"107","cluster coefficient",0.0833333333333333,"Jamaica",924
"108","cluster.coefficient.HL",0.406947394645058,"Jamaica",924
"109","cluster coefficient",0.0307116104868914,"SAFE",924
"110","cluster.coefficient.HL",0.203307686757578,"SAFE",924
"111","cluster coefficient",0.108485499462943,"Texas",924
"112","cluster.coefficient.HL",0.18443878801541,"Texas",924
"113","cluster coefficient",0.0705596107055961,"Beth_cr",926
"114","cluster.coefficient.HL",0.411968006656471,"Beth_cr",926
"115","cluster coefficient",0.054989816700611,"hernani_dryforestdry",926
"116","cluster.coefficient.HL",0.424201990977787,"hernani_dryforestdry",926
"117","cluster coefficient",0.0824949698189135,"hernani_dryforestwet",926
"118","cluster.coefficient.HL",0.46313036274703,"hernani_dryforestwet",926
"119","cluster coefficient",0.0611888111888112,"hernani_rainforestdry",926
