"","metric","value","network","clustering"
"1","cluster coefficient",0.116104868913858,"Beth_cr",910
"2","cluster.coefficient.LL",0.410235985263368,"Beth_cr",910
"3","cluster coefficient",0.0714285714285714,"hernani_dryforestdry",910
"4","cluster.coefficient.LL",0.296035901271503,"hernani_dryforestdry",910
"5","cluster coefficient",0.129380053908356,"hernani_dryforestwet",910
"6","cluster.coefficient.LL",0.420744138634047,"hernani_dryforestwet",910
"7","cluster coefficient",0.0767543859649123,"hernani_rainforestdry",910
"8","cluster.coefficient.LL",0.219192634560907,"hernani_rainforestdry",910
"9","cluster coefficient",0.110696517412935,"Jamaica",910
"10","cluster.coefficient.LL",0.357686626519714,"Jamaica",910
"11","cluster coefficient",0.0400579150579151,"SAFE",910
"12","cluster.coefficient.LL",0.207934245848938,"SAFE",910
"13","cluster coefficient",0.142037302725968,"Texas",910
"14","cluster.coefficient.LL",0.417002591419522,"Texas",910
"15","cluster coefficient",0.102141680395387,"Beth_cr",912
"16","cluster.coefficient.LL",0.380969741159315,"Beth_cr",912
"17","cluster coefficient",0.0661375661375661,"hernani_dryforestdry",912
"18","cluster.coefficient.LL",0.281554790590935,"hernani_dryforestdry",912
"19","cluster coefficient",0.105134474327628,"hernani_dryforestwet",912
"20","cluster.coefficient.LL",0.385300475572849,"hernani_dryforestwet",912
"21","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",912
"22","cluster.coefficient.LL",0.192438692098093,"hernani_rainforestdry",912
"23","cluster coefficient",0.105555555555556,"Jamaica",912
"24","cluster.coefficient.LL",0.348862666518238,"Jamaica",912
"25","cluster coefficient",0.0363153232949513,"SAFE",912
"26","cluster.coefficient.LL",0.18614953886693,"SAFE",912
"27","cluster coefficient",0.125,"Texas",912
"28","cluster.coefficient.LL",0.370088482303539,"Texas",912
"29","cluster coefficient",0.100977198697068,"Beth_cr",914
"30","cluster.coefficient.LL",0.373291904714176,"Beth_cr",914
"31","cluster coefficient",0.0716180371352785,"hernani_dryforestdry",914
"32","cluster.coefficient.LL",0.279907084785134,"hernani_dryforestdry",914
"33","cluster coefficient",0.0982800982800983,"hernani_dryforestwet",914
"34","cluster.coefficient.LL",0.359313196691837,"hernani_dryforestwet",914
"35","cluster coefficient",0.0699588477366255,"hernani_rainforestdry",914
"36","cluster.coefficient.LL",0.1875,"hernani_rainforestdry",914
"37","cluster coefficient",0.110122358175751,"Jamaica",914
"38","cluster.coefficient.LL",0.352078193914929,"Jamaica",914
"39","cluster coefficient",0.036,"SAFE",914
"40","cluster.coefficient.LL",0.187716489118358,"SAFE",914
"41","cluster coefficient",0.123086734693878,"Texas",914
"42","cluster.coefficient.LL",0.380303942220885,"Texas",914
"43","cluster coefficient",0.100323624595469,"Beth_cr",916
"44","cluster.coefficient.LL",0.369149042798436,"Beth_cr",916
"45","cluster coefficient",0.0718085106382979,"hernani_dryforestdry",916
"46","cluster.coefficient.LL",0.280763069753895,"hernani_dryforestdry",916
"47","cluster coefficient",0.100737100737101,"hernani_dryforestwet",916
"48","cluster.coefficient.LL",0.362808145766345,"hernani_dryforestwet",916
"49","cluster coefficient",0.0693877551020408,"hernani_rainforestdry",916
"50","cluster.coefficient.LL",0.184322033898305,"hernani_rainforestdry",916
"51","cluster coefficient",0.108527131782946,"Jamaica",916
"52","cluster.coefficient.LL",0.349536821308084,"Jamaica",916
"53","cluster coefficient",0.0358407079646018,"SAFE",916
"54","cluster.coefficient.LL",0.184989049066719,"SAFE",916
"55","cluster coefficient",0.123409669211196,"Texas",916
"56","cluster.coefficient.LL",0.379024977430033,"Texas",916
"57","cluster coefficient",0.0942857142857143,"Beth_cr",918
"58","cluster.coefficient.LL",0.337372305114241,"Beth_cr",918
"59","cluster coefficient",0.0626450116009281,"hernani_dryforestdry",918
"60","cluster.coefficient.LL",0.267703643061809,"hernani_dryforestdry",918
"61","cluster coefficient",0.0903083700440529,"hernani_dryforestwet",918
"62","cluster.coefficient.LL",0.339783281733746,"hernani_dryforestwet",918
"63","cluster coefficient",0.0637065637065637,"hernani_rainforestdry",918
"64","cluster.coefficient.LL",0.169592696629213,"hernani_rainforestdry",918
"65","cluster coefficient",0.0995024875621891,"Jamaica",918
"66","cluster.coefficient.LL",0.328524089656713,"Jamaica",918
"67","cluster coefficient",0.0345679012345679,"SAFE",918
"68","cluster.coefficient.LL",0.175933514736255,"SAFE",918
"69","cluster coefficient",0.113768961493582,"Texas",918
"70","cluster.coefficient.LL",0.346484610742305,"Texas",918
"71","cluster coefficient",0.0926966292134832,"Beth_cr",920
"72","cluster.coefficient.LL",0.33954933954934,"Beth_cr",920
"73","cluster coefficient",0.0625,"hernani_dryforestdry",920
"74","cluster.coefficient.LL",0.271889400921659,"hernani_dryforestdry",920
"75","cluster coefficient",0.0905077262693157,"hernani_dryforestwet",920
"76","cluster.coefficient.LL",0.336634523499262,"hernani_dryforestwet",920
"77","cluster coefficient",0.0658914728682171,"hernani_rainforestdry",920
"78","cluster.coefficient.LL",0.169971671388102,"hernani_rainforestdry",920
"79","cluster coefficient",0.087215064420218,"Jamaica",920
"80","cluster.coefficient.LL",0.319772942289499,"Jamaica",920
"81","cluster coefficient",0.0337726523887974,"SAFE",920
"82","cluster.coefficient.LL",0.175763016157989,"SAFE",920
"83","cluster coefficient",0.113953488372093,"Texas",920
"84","cluster.coefficient.LL",0.355735518292683,"Texas",920
"85","cluster coefficient",0.0928270042194093,"Beth_cr",922
"86","cluster.coefficient.LL",0.339348419820523,"Beth_cr",922
"87","cluster coefficient",0.0625,"hernani_dryforestdry",922
"88","cluster.coefficient.LL",0.271823505379273,"hernani_dryforestdry",922
"89","cluster coefficient",0.0857142857142857,"hernani_dryforestwet",922
