"","metric","value","network","clustering"
"1","compartment diversity",NA,"Beth_cr",910
"2","compartment diversity",1.03646039412925,"hernani_dryforestdry",910
"3","compartment diversity",NA,"hernani_dryforestwet",910
"4","compartment diversity",NA,"hernani_rainforestdry",910
"5","compartment diversity",NA,"Jamaica",910
"6","compartment diversity",1.01383786079668,"SAFE",910
"7","compartment diversity",NA,"Texas",910
"8","compartment diversity",NA,"Beth_cr",912
"9","compartment diversity",1.03304057027669,"hernani_dryforestdry",912
"10","compartment diversity",NA,"hernani_dryforestwet",912
"11","compartment diversity",NA,"hernani_rainforestdry",912
"12","compartment diversity",NA,"Jamaica",912
"13","compartment diversity",1.01286109787052,"SAFE",912
"14","compartment diversity",NA,"Texas",912
"15","compartment diversity",NA,"Beth_cr",914
"16","compartment diversity",1.03311399227611,"hernani_dryforestdry",914
"17","compartment diversity",NA,"hernani_dryforestwet",914
"18","compartment diversity",NA,"hernani_rainforestdry",914
"19","compartment diversity",NA,"Jamaica",914
"20","compartment diversity",1.01290008338414,"SAFE",914
"21","compartment diversity",NA,"Texas",914
"22","compartment diversity",NA,"Beth_cr",916
"23","compartment diversity",1.03318776615908,"hernani_dryforestdry",916
"24","compartment diversity",NA,"hernani_dryforestwet",916
"25","compartment diversity",NA,"hernani_rainforestdry",916
"26","compartment diversity",NA,"Jamaica",916
"27","compartment diversity",1.01285139069749,"SAFE",916
"28","compartment diversity",NA,"Texas",916
"29","compartment diversity",NA,"Beth_cr",918
"30","compartment diversity",1.02959281874436,"hernani_dryforestdry",918
"31","compartment diversity",NA,"hernani_dryforestwet",918
"32","compartment diversity",NA,"hernani_rainforestdry",918
"33","compartment diversity",NA,"Jamaica",918
"34","compartment diversity",1.01207963332765,"SAFE",918
"35","compartment diversity",NA,"Texas",918
"36","compartment diversity",NA,"Beth_cr",920
"37","compartment diversity",1.02953514448396,"hernani_dryforestdry",920
"38","compartment diversity",NA,"hernani_dryforestwet",920
"39","compartment diversity",NA,"hernani_rainforestdry",920
"40","compartment diversity",NA,"Jamaica",920
"41","compartment diversity",1.01208813980965,"SAFE",920
"42","compartment diversity",NA,"Texas",920
"43","compartment diversity",NA,"Beth_cr",922
"44","compartment diversity",1.02953514448396,"hernani_dryforestdry",922
"45","compartment diversity",NA,"hernani_dryforestwet",922
"46","compartment diversity",NA,"hernani_rainforestdry",922
"47","compartment diversity",NA,"Jamaica",922
"48","compartment diversity",1.01202886102504,"SAFE",922
"49","compartment diversity",NA,"Texas",922
"50","compartment diversity",NA,"Beth_cr",924
"51","compartment diversity",1.02678869871843,"hernani_dryforestdry",924
"52","compartment diversity",NA,"hernani_dryforestwet",924
"53","compartment diversity",NA,"hernani_rainforestdry",924
"54","compartment diversity",NA,"Jamaica",924
"55","compartment diversity",1.0111436480199,"SAFE",924
"56","compartment diversity",NA,"Texas",924
"57","compartment diversity",NA,"Beth_cr",926
"58","compartment diversity",1.02651178115064,"hernani_dryforestdry",926
"59","compartment diversity",NA,"hernani_dryforestwet",926
"60","compartment diversity",NA,"hernani_rainforestdry",926
"61","compartment diversity",NA,"Jamaica",926
"62","compartment diversity",1.01107961515328,"SAFE",926
"63","compartment diversity",NA,"Texas",926
"64","compartment diversity",NA,"Beth_cr",928
"65","compartment diversity",1.02651178115064,"hernani_dryforestdry",928
"66","compartment diversity",NA,"hernani_dryforestwet",928
"67","compartment diversity",NA,"hernani_rainforestdry",928
"68","compartment diversity",NA,"Jamaica",928
"69","compartment diversity",1.01106549183482,"SAFE",928
"70","compartment diversity",NA,"Texas",928
"71","compartment diversity",NA,"Beth_cr",930
"72","compartment diversity",1.02427022967482,"hernani_dryforestdry",930
"73","compartment diversity",NA,"hernani_dryforestwet",930
"74","compartment diversity",NA,"hernani_rainforestdry",930
"75","compartment diversity",NA,"Jamaica",930
"76","compartment diversity",1.01015779409123,"SAFE",930
"77","compartment diversity",NA,"Texas",930
"78","compartment diversity",NA,"Beth_cr",932
"79","compartment diversity",1.02415750820862,"hernani_dryforestdry",932
"80","compartment diversity",NA,"hernani_dryforestwet",932
"81","compartment diversity",NA,"hernani_rainforestdry",932
"82","compartment diversity",NA,"Jamaica",932
"83","compartment diversity",1.01012849565612,"SAFE",932
"84","compartment diversity",NA,"Texas",932
"85","compartment diversity",NA,"Beth_cr",934
"86","compartment diversity",1.02427022967482,"hernani_dryforestdry",934
"87","compartment diversity",NA,"hernani_dryforestwet",934
"88","compartment diversity",NA,"hernani_rainforestdry",934
"89","compartment diversity",NA,"Jamaica",934
"90","compartment diversity",1.01008199019107,"SAFE",934
"91","compartment diversity",NA,"Texas",934
"92","compartment diversity",NA,"Beth_cr",936
"93","compartment diversity",1.02371762111919,"hernani_dryforestdry",936
"94","compartment diversity",NA,"hernani_dryforestwet",936
"95","compartment diversity",NA,"hernani_rainforestdry",936
"96","compartment diversity",NA,"Jamaica",936
"97","compartment diversity",1.00968831201012,"SAFE",936
"98","compartment diversity",NA,"Texas",936
"99","compartment diversity",NA,"Beth_cr",938
"100","compartment diversity",1.02221020909791,"hernani_dryforestdry",938
"101","compartment diversity",NA,"hernani_dryforestwet",938
"102","compartment diversity",NA,"hernani_rainforestdry",938
"103","compartment diversity",NA,"Jamaica",938
"104","compartment diversity",1.00915298515795,"SAFE",938
"105","compartment diversity",NA,"Texas",938
"106","compartment diversity",NA,"Beth_cr",940
"107","compartment diversity",1.02217903215351,"hernani_dryforestdry",940
"108","compartment diversity",NA,"hernani_dryforestwet",940
"109","compartment diversity",NA,"hernani_rainforestdry",940
"110","compartment diversity",NA,"Jamaica",940
"111","compartment diversity",1.00908291159589,"SAFE",940
"112","compartment diversity",NA,"Texas",940
"113","compartment diversity",NA,"Beth_cr",942
"114","compartment diversity",1.02190260089452,"hernani_dryforestdry",942
"115","compartment diversity",NA,"hernani_dryforestwet",942
"116","compartment diversity",NA,"hernani_rainforestdry",942
"117","compartment diversity",NA,"Jamaica",942
"118","compartment diversity",1.00891483945116,"SAFE",942
"119","compartment diversity",NA,"Texas",942
"120","compartment diversity",NA,"Beth_cr",944
"121","compartment diversity",1.01963807359857,"hernani_dryforestdry",944
"122","compartment diversity",NA,"hernani_dryforestwet",944
"123","compartment diversity",NA,"hernani_rainforestdry",944
"124","compartment diversity",NA,"Jamaica",944
"125","compartment diversity",1.0115270643278,"SAFE",944
"126","compartment diversity",NA,"Texas",944
"127","compartment diversity",NA,"Beth_cr",946
"128","compartment diversity",1.01956638417783,"hernani_dryforestdry",946
"129","compartment diversity",NA,"hernani_dryforestwet",946
"130","compartment diversity",NA,"hernani_rainforestdry",946
"131","compartment diversity",NA,"Jamaica",946
"132","compartment diversity",1.01154247267697,"SAFE",946
"133","compartment diversity",NA,"Texas",946
"134","compartment diversity",NA,"Beth_cr",948
"135","compartment diversity",1.01956638417783,"hernani_dryforestdry",948
"136","compartment diversity",NA,"hernani_dryforestwet",948
"137","compartment diversity",NA,"hernani_rainforestdry",948
"138","compartment diversity",NA,"Jamaica",948
"139","compartment diversity",1.01152193794076,"SAFE",948
"140","compartment diversity",NA,"Texas",948
"141","compartment diversity",NA,"Beth_cr",950
"142","compartment diversity",1.01725680918653,"hernani_dryforestdry",950
"143","compartment diversity",NA,"hernani_dryforestwet",950
"144","compartment diversity",NA,"hernani_rainforestdry",950
"145","compartment diversity",NA,"Jamaica",950
"146","compartment diversity",1.01025077518465,"SAFE",950
"147","compartment diversity",NA,"Texas",950
"148","compartment diversity",NA,"Beth_cr",952
"149","compartment diversity",1.01725680918653,"hernani_dryforestdry",952
"150","compartment diversity",NA,"hernani_dryforestwet",952
"151","compartment diversity",NA,"hernani_rainforestdry",952
"152","compartment diversity",NA,"Jamaica",952
"153","compartment diversity",1.01015975373311,"SAFE",952
"154","compartment diversity",NA,"Texas",952
"155","compartment diversity",NA,"Beth_cr",954
"156","compartment diversity",1.01723863367385,"hernani_dryforestdry",954
"157","compartment diversity",NA,"hernani_dryforestwet",954
"158","compartment diversity",NA,"hernani_rainforestdry",954
