"","metric","value","network","clustering"
"1","connectance",0.179434797412326,"Beth_cr",910
"2","connectance",0.19812925170068,"hernani_dryforestdry",910
"3","connectance",0.197364480383348,"hernani_dryforestwet",910
"4","connectance",0.15515350877193,"hernani_rainforestdry",910
"5","connectance",0.162074244163796,"Jamaica",910
"6","connectance",0.0862583362583363,"SAFE",910
"7","connectance",0.150824964131994,"Texas",910
"8","connectance",0.171334431630972,"Beth_cr",912
"9","connectance",0.191987906273621,"hernani_dryforestdry",912
"10","connectance",0.185004074979625,"hernani_dryforestwet",912
"11","connectance",0.15,"hernani_rainforestdry",912
"12","connectance",0.155555555555556,"Jamaica",912
"13","connectance",0.0820114340929221,"SAFE",912
"14","connectance",0.137197066326531,"Texas",912
"15","connectance",0.167900503405389,"Beth_cr",914
"16","connectance",0.193633952254642,"hernani_dryforestdry",914
"17","connectance",0.183183183183183,"hernani_dryforestwet",914
"18","connectance",0.147633744855967,"hernani_rainforestdry",914
"19","connectance",0.155814152477111,"Jamaica",914
"20","connectance",0.081979797979798,"SAFE",914
"21","connectance",0.138233418367347,"Texas",914
"22","connectance",0.166519564577817,"Beth_cr",916
"23","connectance",0.194148936170213,"hernani_dryforestdry",916
"24","connectance",0.184275184275184,"hernani_dryforestwet",916
"25","connectance",0.146938775510204,"hernani_rainforestdry",916
"26","connectance",0.154953573558225,"Jamaica",916
"27","connectance",0.0816975060337892,"SAFE",916
"28","connectance",0.137881679389313,"Texas",916
"29","connectance",0.160519480519481,"Beth_cr",918
"30","connectance",0.186277759363606,"hernani_dryforestdry",918
"31","connectance",0.174008810572687,"hernani_dryforestwet",918
"32","connectance",0.143339768339768,"hernani_rainforestdry",918
"33","connectance",0.147569843092231,"Jamaica",918
"34","connectance",0.078526000748223,"SAFE",918
"35","connectance",0.131126021003501,"Texas",918
"36","connectance",0.158452502553626,"Beth_cr",920
"37","connectance",0.186838624338624,"hernani_dryforestdry",920
"38","connectance",0.173411822418445,"hernani_dryforestwet",920
"39","connectance",0.143895348837209,"hernani_rainforestdry",920
"40","connectance",0.146832354959213,"Jamaica",920
"41","connectance",0.0788902201587539,"SAFE",920
"42","connectance",0.128851744186047,"Texas",920
"43","connectance",0.158291778544943,"Beth_cr",922
"44","connectance",0.186507936507937,"hernani_dryforestdry",922
"45","connectance",0.171916971916972,"hernani_dryforestwet",922
"46","connectance",0.143895348837209,"hernani_rainforestdry",922
"47","connectance",0.144561032686646,"Jamaica",922
"48","connectance",0.0786613059340332,"SAFE",922
"49","connectance",0.128928987194412,"Texas",922
"50","connectance",0.150765076507651,"Beth_cr",924
"51","connectance",0.181443298969072,"hernani_dryforestdry",924
"52","connectance",0.162977867203219,"hernani_dryforestwet",924
"53","connectance",0.14247311827957,"hernani_rainforestdry",924
"54","connectance",0.13661858974359,"Jamaica",924
"55","connectance",0.0752468505277494,"SAFE",924
"56","connectance",0.123053168635875,"Texas",924
"57","connectance",0.146980756469808,"Beth_cr",926
"58","connectance",0.178062263601978,"hernani_dryforestdry",926
"59","connectance",0.162754303599374,"hernani_dryforestwet",926
"60","connectance",0.142482517482517,"hernani_rainforestdry",926
"61","connectance",0.137334217506631,"Jamaica",926
"62","connectance",0.0744385822510823,"SAFE",926
"63","connectance",0.122947563559322,"Texas",926
"64","connectance",0.144678492239468,"Beth_cr",928
"65","connectance",0.17748036077975,"hernani_dryforestdry",928
"66","connectance",0.162186379928315,"hernani_dryforestwet",928
"67","connectance",0.142165492957746,"hernani_rainforestdry",928
"68","connectance",0.13527397260274,"Jamaica",928
"69","connectance",0.0742942050520059,"SAFE",928
"70","connectance",0.122236842105263,"Texas",928
"71","connectance",0.138473341004987,"Beth_cr",930
"72","connectance",0.176408912188729,"hernani_dryforestdry",930
"73","connectance",0.159672262190248,"hernani_dryforestwet",930
"74","connectance",0.14026402640264,"hernani_rainforestdry",930
"75","connectance",0.129066353493834,"Jamaica",930
"76","connectance",0.071926392370239,"SAFE",930
"77","connectance",0.116383380547687,"Texas",930
"78","connectance",0.13705865999444,"Beth_cr",932
"79","connectance",0.17570385818561,"hernani_dryforestdry",932
"80","connectance",0.160383004189108,"hernani_dryforestwet",932
"81","connectance",0.140676567656766,"hernani_rainforestdry",932
"82","connectance",0.129551574757054,"Jamaica",932
"83","connectance",0.0715025591030953,"SAFE",932
"84","connectance",0.115805400372439,"Texas",932
"85","connectance",0.137247603982507,"Beth_cr",934
"86","connectance",0.176933158584535,"hernani_dryforestdry",934
"87","connectance",0.160136628491059,"hernani_dryforestwet",934
"88","connectance",0.139391447368421,"hernani_rainforestdry",934
"89","connectance",0.128361356845744,"Jamaica",934
"90","connectance",0.0712727272727273,"SAFE",934
"91","connectance",0.114794741697417,"Texas",934
"92","connectance",0.135226135226135,"Beth_cr",936
"93","connectance",0.175510204081633,"hernani_dryforestdry",936
"94","connectance",0.15811209439528,"hernani_dryforestwet",936
"95","connectance",0.140575079872204,"hernani_rainforestdry",936
"96","connectance",0.126686909581646,"Jamaica",936
"97","connectance",0.0694693594120711,"SAFE",936
"98","connectance",0.111807387862797,"Texas",936
"99","connectance",0.128243910205381,"Beth_cr",938
"100","connectance",0.174498229043684,"hernani_dryforestdry",938
"101","connectance",0.153832630098453,"hernani_dryforestwet",938
"102","connectance",0.139772727272727,"hernani_rainforestdry",938
"103","connectance",0.12320645675568,"Jamaica",938
"104","connectance",0.0686694116372305,"SAFE",938
"105","connectance",0.107723179326547,"Texas",938
"106","connectance",0.128859904140803,"Beth_cr",940
"107","connectance",0.173738802451674,"hernani_dryforestdry",940
"108","connectance",0.152491635851382,"hernani_dryforestwet",940
"109","connectance",0.140060240963855,"hernani_rainforestdry",940
"110","connectance",0.120699652106687,"Jamaica",940
"111","connectance",0.0688127584170112,"SAFE",940
"112","connectance",0.107919847328244,"Texas",940
"113","connectance",0.12916214960508,"Beth_cr",942
"114","connectance",0.173519163763066,"hernani_dryforestdry",942
"115","connectance",0.151326053042122,"hernani_dryforestwet",942
"116","connectance",0.139619883040936,"hernani_rainforestdry",942
"117","connectance",0.11970586830922,"Jamaica",942
"118","connectance",0.068260641093011,"SAFE",942
"119","connectance",0.107243782969103,"Texas",942
"120","connectance",0.119825849632855,"Beth_cr",944
"121","connectance",0.170038830983037,"hernani_dryforestdry",944
"122","connectance",0.147018030513176,"hernani_dryforestwet",944
"123","connectance",0.137636612021858,"hernani_rainforestdry",944
"124","connectance",0.115240872315085,"Jamaica",944
"125","connectance",0.0661861382419234,"SAFE",944
"126","connectance",0.102254231770833,"Texas",944
"127","connectance",0.118012016718913,"Beth_cr",946
"128","connectance",0.16992266992267,"hernani_dryforestdry",946
"129","connectance",0.147483118477594,"hernani_dryforestwet",946
"130","connectance",0.137261580381471,"hernani_rainforestdry",946
"131","connectance",0.115675361355707,"Jamaica",946
"132","connectance",0.066147768424023,"SAFE",946
"133","connectance",0.1015625,"Texas",946
"134","connectance",0.118129721281584,"Beth_cr",948
"135","connectance",0.16992266992267,"hernani_dryforestdry",948
"136","connectance",0.147229874502602,"hernani_dryforestwet",948
"137","connectance",0.137228260869565,"hernani_rainforestdry",948
"138","connectance",0.115840517241379,"Jamaica",948
"139","connectance",0.0660111700380157,"SAFE",948
"140","connectance",0.101445133899412,"Texas",948
"141","connectance",0.113176828948059,"Beth_cr",950
"142","connectance",0.166403092602355,"hernani_dryforestdry",950
"143","connectance",0.139384330823094,"hernani_dryforestwet",950
"144","connectance",0.134953161592506,"hernani_rainforestdry",950
"145","connectance",0.109074118411602,"Jamaica",950
"146","connectance",0.0637552258381835,"SAFE",950
"147","connectance",0.096677559912854,"Texas",950
"148","connectance",0.1132764294529,"Beth_cr",952
"149","connectance",0.167105956773853,"hernani_dryforestdry",952
"150","connectance",0.139607843137255,"hernani_dryforestwet",952
"151","connectance",0.135198135198135,"hernani_rainforestdry",952
"152","connectance",0.110100976215237,"Jamaica",952
"153","connectance",0.0640339134315038,"SAFE",952
"154","connectance",0.0968584656084656,"Texas",952
"155","connectance",0.113265462730854,"Beth_cr",954
"156","connectance",0.166725166725167,"hernani_dryforestdry",954
"157","connectance",0.139671361502347,"hernani_dryforestwet",954
"158","connectance",0.135245901639344,"hernani_rainforestdry",954
"159","connectance",0.109885377327238,"Jamaica",954
"160","connectance",0.0640744797371303,"SAFE",954
"161","connectance",0.0965519514767933,"Texas",954
"162","connectance",0.108203590354517,"Beth_cr",956
"163","connectance",0.163781424055397,"hernani_dryforestdry",956
"164","connectance",0.134605022092898,"hernani_dryforestwet",956
"165","connectance",0.133983572895277,"hernani_rainforestdry",956
"166","connectance",0.104075592603655,"Jamaica",956
"167","connectance",0.0617587053494243,"SAFE",956
"168","connectance",0.0911916813380282,"Texas",956
"169","connectance",0.108655465636939,"Beth_cr",958
"170","connectance",0.163649962602842,"hernani_dryforestdry",958
"171","connectance",0.134912907064806,"hernani_dryforestwet",958
"172","connectance",0.13422131147541,"hernani_rainforestdry",958
"173","connectance",0.10505773296471,"Jamaica",958
"174","connectance",0.0624505928853755,"SAFE",958
"175","connectance",0.0909926470588235,"Texas",958
"176","connectance",0.10837116100274,"Beth_cr",960
"177","connectance",0.163179916317992,"hernani_dryforestdry",960
"178","connectance",0.134749455337691,"hernani_dryforestwet",960
