"","metric","value","network","clustering"
"1","discrepancy.HL",386,"Beth_cr",910
"2","discrepancy.HL",189,"hernani_dryforestdry",910
"3","discrepancy.HL",244,"hernani_dryforestwet",910
"4","discrepancy.HL",119,"hernani_rainforestdry",910
"5","discrepancy.HL",652,"Jamaica",910
"6","discrepancy.HL",1074,"SAFE",910
"7","discrepancy.HL",850,"Texas",910
"8","discrepancy.HL",445,"Beth_cr",912
"9","discrepancy.HL",213,"hernani_dryforestdry",912
"10","discrepancy.HL",247,"hernani_dryforestwet",912
"11","discrepancy.HL",125,"hernani_rainforestdry",912
"12","discrepancy.HL",705,"Jamaica",912
"13","discrepancy.HL",1153,"SAFE",912
"14","discrepancy.HL",933,"Texas",912
"15","discrepancy.HL",440,"Beth_cr",914
"16","discrepancy.HL",215,"hernani_dryforestdry",914
"17","discrepancy.HL",253,"hernani_dryforestwet",914
"18","discrepancy.HL",124,"hernani_rainforestdry",914
"19","discrepancy.HL",705,"Jamaica",914
"20","discrepancy.HL",1149,"SAFE",914
"21","discrepancy.HL",942,"Texas",914
"22","discrepancy.HL",436,"Beth_cr",916
"23","discrepancy.HL",214,"hernani_dryforestdry",916
"24","discrepancy.HL",255,"hernani_dryforestwet",916
"25","discrepancy.HL",125,"hernani_rainforestdry",916
"26","discrepancy.HL",702,"Jamaica",916
"27","discrepancy.HL",1153,"SAFE",916
"28","discrepancy.HL",946,"Texas",916
"29","discrepancy.HL",485,"Beth_cr",918
"30","discrepancy.HL",242,"hernani_dryforestdry",918
"31","discrepancy.HL",263,"hernani_dryforestwet",918
"32","discrepancy.HL",135,"hernani_rainforestdry",918
"33","discrepancy.HL",764,"Jamaica",918
"34","discrepancy.HL",1200,"SAFE",918
"35","discrepancy.HL",997,"Texas",918
"36","discrepancy.HL",501,"Beth_cr",920
"37","discrepancy.HL",249,"hernani_dryforestdry",920
"38","discrepancy.HL",263,"hernani_dryforestwet",920
"39","discrepancy.HL",135,"hernani_rainforestdry",920
"40","discrepancy.HL",755,"Jamaica",920
"41","discrepancy.HL",1203,"SAFE",920
"42","discrepancy.HL",981,"Texas",920
"43","discrepancy.HL",502,"Beth_cr",922
"44","discrepancy.HL",249,"hernani_dryforestdry",922
"45","discrepancy.HL",260,"hernani_dryforestwet",922
"46","discrepancy.HL",135,"hernani_rainforestdry",922
"47","discrepancy.HL",748,"Jamaica",922
"48","discrepancy.HL",1203,"SAFE",922
"49","discrepancy.HL",976,"Texas",922
"50","discrepancy.HL",585,"Beth_cr",924
"51","discrepancy.HL",266,"hernani_dryforestdry",924
"52","discrepancy.HL",280,"hernani_dryforestwet",924
"53","discrepancy.HL",143,"hernani_rainforestdry",924
"54","discrepancy.HL",813,"Jamaica",924
"55","discrepancy.HL",1316,"SAFE",924
"56","discrepancy.HL",1033,"Texas",924
"57","discrepancy.HL",561,"Beth_cr",926
"58","discrepancy.HL",271,"hernani_dryforestdry",926
"59","discrepancy.HL",280,"hernani_dryforestwet",926
"60","discrepancy.HL",146,"hernani_rainforestdry",926
"61","discrepancy.HL",843,"Jamaica",926
"62","discrepancy.HL",1311,"SAFE",926
"63","discrepancy.HL",1066,"Texas",926
"64","discrepancy.HL",557,"Beth_cr",928
"65","discrepancy.HL",272,"hernani_dryforestdry",928
"66","discrepancy.HL",280,"hernani_dryforestwet",928
"67","discrepancy.HL",145,"hernani_rainforestdry",928
"68","discrepancy.HL",846,"Jamaica",928
"69","discrepancy.HL",1307,"SAFE",928
"70","discrepancy.HL",1072,"Texas",928
"71","discrepancy.HL",640,"Beth_cr",930
"72","discrepancy.HL",300,"hernani_dryforestdry",930
"73","discrepancy.HL",293,"hernani_dryforestwet",930
"74","discrepancy.HL",157,"hernani_rainforestdry",930
"75","discrepancy.HL",920,"Jamaica",930
"76","discrepancy.HL",1417,"SAFE",930
"77","discrepancy.HL",1186,"Texas",930
"78","discrepancy.HL",658,"Beth_cr",932
"79","discrepancy.HL",302,"hernani_dryforestdry",932
"80","discrepancy.HL",296,"hernani_dryforestwet",932
"81","discrepancy.HL",157,"hernani_rainforestdry",932
"82","discrepancy.HL",915,"Jamaica",932
"83","discrepancy.HL",1422,"SAFE",932
"84","discrepancy.HL",1198,"Texas",932
"85","discrepancy.HL",652,"Beth_cr",934
"86","discrepancy.HL",303,"hernani_dryforestdry",934
"87","discrepancy.HL",291,"hernani_dryforestwet",934
"88","discrepancy.HL",158,"hernani_rainforestdry",934
"89","discrepancy.HL",905,"Jamaica",934
"90","discrepancy.HL",1428,"SAFE",934
"91","discrepancy.HL",1206,"Texas",934
"92","discrepancy.HL",668,"Beth_cr",936
"93","discrepancy.HL",310,"hernani_dryforestdry",936
"94","discrepancy.HL",298,"hernani_dryforestwet",936
"95","discrepancy.HL",164,"hernani_rainforestdry",936
"96","discrepancy.HL",947,"Jamaica",936
"97","discrepancy.HL",1478,"SAFE",936
"98","discrepancy.HL",1237,"Texas",936
"99","discrepancy.HL",766,"Beth_cr",938
"100","discrepancy.HL",325,"hernani_dryforestdry",938
"101","discrepancy.HL",312,"hernani_dryforestwet",938
"102","discrepancy.HL",175,"hernani_rainforestdry",938
"103","discrepancy.HL",1031,"Jamaica",938
"104","discrepancy.HL",1564,"SAFE",938
"105","discrepancy.HL",1368,"Texas",938
"106","discrepancy.HL",767,"Beth_cr",940
"107","discrepancy.HL",323,"hernani_dryforestdry",940
"108","discrepancy.HL",312,"hernani_dryforestwet",940
"109","discrepancy.HL",176,"hernani_rainforestdry",940
"110","discrepancy.HL",1064,"Jamaica",940
"111","discrepancy.HL",1578,"SAFE",940
"112","discrepancy.HL",1406,"Texas",940
"113","discrepancy.HL",777,"Beth_cr",942
"114","discrepancy.HL",327,"hernani_dryforestdry",942
"115","discrepancy.HL",316,"hernani_dryforestwet",942
"116","discrepancy.HL",183,"hernani_rainforestdry",942
"117","discrepancy.HL",1062,"Jamaica",942
"118","discrepancy.HL",1610,"SAFE",942
"119","discrepancy.HL",1418,"Texas",942
"120","discrepancy.HL",906,"Beth_cr",944
"121","discrepancy.HL",356,"hernani_dryforestdry",944
"122","discrepancy.HL",340,"hernani_dryforestwet",944
"123","discrepancy.HL",196,"hernani_rainforestdry",944
"124","discrepancy.HL",1204,"Jamaica",944
"125","discrepancy.HL",1773,"SAFE",944
"126","discrepancy.HL",1635,"Texas",944
"127","discrepancy.HL",905,"Beth_cr",946
"128","discrepancy.HL",357,"hernani_dryforestdry",946
"129","discrepancy.HL",335,"hernani_dryforestwet",946
"130","discrepancy.HL",196,"hernani_rainforestdry",946
"131","discrepancy.HL",1206,"Jamaica",946
"132","discrepancy.HL",1778,"SAFE",946
"133","discrepancy.HL",1619,"Texas",946
"134","discrepancy.HL",905,"Beth_cr",948
"135","discrepancy.HL",357,"hernani_dryforestdry",948
"136","discrepancy.HL",336,"hernani_dryforestwet",948
"137","discrepancy.HL",197,"hernani_rainforestdry",948
"138","discrepancy.HL",1209,"Jamaica",948
"139","discrepancy.HL",1781,"SAFE",948
"140","discrepancy.HL",1620,"Texas",948
"141","discrepancy.HL",1110,"Beth_cr",950
"142","discrepancy.HL",420,"hernani_dryforestdry",950
"143","discrepancy.HL",381,"hernani_dryforestwet",950
"144","discrepancy.HL",232,"hernani_rainforestdry",950
"145","discrepancy.HL",1410,"Jamaica",950
"146","discrepancy.HL",2015,"SAFE",950
"147","discrepancy.HL",1913,"Texas",950
"148","discrepancy.HL",1137,"Beth_cr",952
"149","discrepancy.HL",417,"hernani_dryforestdry",952
"150","discrepancy.HL",383,"hernani_dryforestwet",952
"151","discrepancy.HL",233,"hernani_rainforestdry",952
"152","discrepancy.HL",1464,"Jamaica",952
"153","discrepancy.HL",2049,"SAFE",952
"154","discrepancy.HL",1991,"Texas",952
"155","discrepancy.HL",1139,"Beth_cr",954
"156","discrepancy.HL",417,"hernani_dryforestdry",954
"157","discrepancy.HL",384,"hernani_dryforestwet",954
"158","discrepancy.HL",233,"hernani_rainforestdry",954
"159","discrepancy.HL",1483,"Jamaica",954
"160","discrepancy.HL",2047,"SAFE",954
"161","discrepancy.HL",1992,"Texas",954
"162","discrepancy.HL",1390,"Beth_cr",956
"163","discrepancy.HL",472,"hernani_dryforestdry",956
"164","discrepancy.HL",445,"hernani_dryforestwet",956
"165","discrepancy.HL",263,"hernani_rainforestdry",956
"166","discrepancy.HL",1728,"Jamaica",956
"167","discrepancy.HL",2357,"SAFE",956
"168","discrepancy.HL",2317,"Texas",956
"169","discrepancy.HL",1392,"Beth_cr",958
"170","discrepancy.HL",474,"hernani_dryforestdry",958
"171","discrepancy.HL",442,"hernani_dryforestwet",958
"172","discrepancy.HL",266,"hernani_rainforestdry",958
"173","discrepancy.HL",1727,"Jamaica",958
"174","discrepancy.HL",2376,"SAFE",958
"175","discrepancy.HL",2356,"Texas",958
"176","discrepancy.HL",1398,"Beth_cr",960
"177","discrepancy.HL",479,"hernani_dryforestdry",960
"178","discrepancy.HL",439,"hernani_dryforestwet",960
"179","discrepancy.HL",267,"hernani_rainforestdry",960
"180","discrepancy.HL",1720,"Jamaica",960
"181","discrepancy.HL",2370,"SAFE",960
"182","discrepancy.HL",2337,"Texas",960
"183","discrepancy.HL",1676,"Beth_cr",962
"184","discrepancy.HL",559,"hernani_dryforestdry",962
"185","discrepancy.HL",496,"hernani_dryforestwet",962
"186","discrepancy.HL",298,"hernani_rainforestdry",962
"187","discrepancy.HL",2060,"Jamaica",962
"188","discrepancy.HL",2822,"SAFE",962
