"","metric","value","network","clustering"
"1","discrepancy.LL",404,"Beth_cr",910
"2","discrepancy.LL",210,"hernani_dryforestdry",910
"3","discrepancy.LL",261,"hernani_dryforestwet",910
"4","discrepancy.LL",146,"hernani_rainforestdry",910
"5","discrepancy.LL",708,"Jamaica",910
"6","discrepancy.LL",1044,"SAFE",910
"7","discrepancy.LL",773,"Texas",910
"8","discrepancy.LL",452,"Beth_cr",912
"9","discrepancy.LL",242,"hernani_dryforestdry",912
"10","discrepancy.LL",281,"hernani_dryforestwet",912
"11","discrepancy.LL",161,"hernani_rainforestdry",912
"12","discrepancy.LL",774,"Jamaica",912
"13","discrepancy.LL",1127,"SAFE",912
"14","discrepancy.LL",868,"Texas",912
"15","discrepancy.LL",464,"Beth_cr",914
"16","discrepancy.LL",246,"hernani_dryforestdry",914
"17","discrepancy.LL",284,"hernani_dryforestwet",914
"18","discrepancy.LL",156,"hernani_rainforestdry",914
"19","discrepancy.LL",759,"Jamaica",914
"20","discrepancy.LL",1114,"SAFE",914
"21","discrepancy.LL",882,"Texas",914
"22","discrepancy.LL",453,"Beth_cr",916
"23","discrepancy.LL",245,"hernani_dryforestdry",916
"24","discrepancy.LL",284,"hernani_dryforestwet",916
"25","discrepancy.LL",158,"hernani_rainforestdry",916
"26","discrepancy.LL",755,"Jamaica",916
"27","discrepancy.LL",1113,"SAFE",916
"28","discrepancy.LL",889,"Texas",916
"29","discrepancy.LL",514,"Beth_cr",918
"30","discrepancy.LL",276,"hernani_dryforestdry",918
"31","discrepancy.LL",298,"hernani_dryforestwet",918
"32","discrepancy.LL",171,"hernani_rainforestdry",918
"33","discrepancy.LL",834,"Jamaica",918
"34","discrepancy.LL",1190,"SAFE",918
"35","discrepancy.LL",937,"Texas",918
"36","discrepancy.LL",528,"Beth_cr",920
"37","discrepancy.LL",278,"hernani_dryforestdry",920
"38","discrepancy.LL",303,"hernani_dryforestwet",920
"39","discrepancy.LL",169,"hernani_rainforestdry",920
"40","discrepancy.LL",833,"Jamaica",920
"41","discrepancy.LL",1192,"SAFE",920
"42","discrepancy.LL",932,"Texas",920
"43","discrepancy.LL",530,"Beth_cr",922
"44","discrepancy.LL",279,"hernani_dryforestdry",922
"45","discrepancy.LL",303,"hernani_dryforestwet",922
"46","discrepancy.LL",169,"hernani_rainforestdry",922
"47","discrepancy.LL",837,"Jamaica",922
"48","discrepancy.LL",1194,"SAFE",922
"49","discrepancy.LL",929,"Texas",922
"50","discrepancy.LL",594,"Beth_cr",924
"51","discrepancy.LL",300,"hernani_dryforestdry",924
"52","discrepancy.LL",332,"hernani_dryforestwet",924
"53","discrepancy.LL",186,"hernani_rainforestdry",924
"54","discrepancy.LL",917,"Jamaica",924
"55","discrepancy.LL",1304,"SAFE",924
"56","discrepancy.LL",1002,"Texas",924
"57","discrepancy.LL",589,"Beth_cr",926
"58","discrepancy.LL",301,"hernani_dryforestdry",926
"59","discrepancy.LL",325,"hernani_dryforestwet",926
"60","discrepancy.LL",187,"hernani_rainforestdry",926
"61","discrepancy.LL",941,"Jamaica",926
"62","discrepancy.LL",1304,"SAFE",926
"63","discrepancy.LL",1004,"Texas",926
"64","discrepancy.LL",579,"Beth_cr",928
