"","metric","value","network","clustering"
"1","extinction.slope.LL",1.43246917786871,"Beth_cr",910
"2","extinction.slope.LL",1.26312752002305,"hernani_dryforestdry",910
"3","extinction.slope.LL",1.46658496512985,"hernani_dryforestwet",910
"4","extinction.slope.LL",1.04510075486511,"hernani_rainforestdry",910
"5","extinction.slope.LL",1.65397555247976,"Jamaica",910
"6","extinction.slope.LL",1.44422220160586,"SAFE",910
"7","extinction.slope.LL",1.71079819037224,"Texas",910
"8","extinction.slope.LL",1.44718203516568,"Beth_cr",912
"9","extinction.slope.LL",1.20871006204586,"hernani_dryforestdry",912
"10","extinction.slope.LL",1.51455916818723,"hernani_dryforestwet",912
"11","extinction.slope.LL",1.16030004103486,"hernani_rainforestdry",912
"12","extinction.slope.LL",1.63527519525657,"Jamaica",912
"13","extinction.slope.LL",1.33504617623544,"SAFE",912
"14","extinction.slope.LL",1.60054956545841,"Texas",912
"15","extinction.slope.LL",1.39982531562603,"Beth_cr",914
"16","extinction.slope.LL",1.24299301718825,"hernani_dryforestdry",914
"17","extinction.slope.LL",1.46690328285217,"hernani_dryforestwet",914
"18","extinction.slope.LL",1.07124005150594,"hernani_rainforestdry",914
"19","extinction.slope.LL",1.6009271723968,"Jamaica",914
"20","extinction.slope.LL",1.30718837205258,"SAFE",914
"21","extinction.slope.LL",1.59250266619417,"Texas",914
"22","extinction.slope.LL",1.48464132162515,"Beth_cr",916
"23","extinction.slope.LL",1.30081692854877,"hernani_dryforestdry",916
"24","extinction.slope.LL",1.35206432782656,"hernani_dryforestwet",916
"25","extinction.slope.LL",1.1475490434293,"hernani_rainforestdry",916
"26","extinction.slope.LL",1.4180964925247,"Jamaica",916
"27","extinction.slope.LL",1.37900135787929,"SAFE",916
"28","extinction.slope.LL",1.65536904978591,"Texas",916
"29","extinction.slope.LL",1.36644514821649,"Beth_cr",918
"30","extinction.slope.LL",1.33865826824106,"hernani_dryforestdry",918
"31","extinction.slope.LL",1.36952334010919,"hernani_dryforestwet",918
"32","extinction.slope.LL",1.20492472586796,"hernani_rainforestdry",918
"33","extinction.slope.LL",1.50453819263004,"Jamaica",918
"34","extinction.slope.LL",1.36750633813069,"SAFE",918
"35","extinction.slope.LL",1.51795427279454,"Texas",918
"36","extinction.slope.LL",1.46928490113562,"Beth_cr",920
"37","extinction.slope.LL",1.2613425905245,"hernani_dryforestdry",920
"38","extinction.slope.LL",1.21681914565681,"hernani_dryforestwet",920
"39","extinction.slope.LL",1.05266482404416,"hernani_rainforestdry",920
"40","extinction.slope.LL",1.48800038254353,"Jamaica",920
"41","extinction.slope.LL",1.43896774802436,"SAFE",920
"42","extinction.slope.LL",1.54864695039433,"Texas",920
"43","extinction.slope.LL",1.37519034462621,"Beth_cr",922
"44","extinction.slope.LL",1.28663718318643,"hernani_dryforestdry",922
"45","extinction.slope.LL",1.2587692077771,"hernani_dryforestwet",922
"46","extinction.slope.LL",1.07432467984517,"hernani_rainforestdry",922
"47","extinction.slope.LL",1.56533272778466,"Jamaica",922
"48","extinction.slope.LL",1.2918668652451,"SAFE",922
"49","extinction.slope.LL",1.46300699484489,"Texas",922
