"","metric","value","network","clustering"
"1","functional.complementarity.LL",570.600028495365,"Beth_cr",910
"2","functional.complementarity.LL",205.025892533064,"hernani_dryforestdry",910
"3","functional.complementarity.LL",289.917500146151,"hernani_dryforestwet",910
"4","functional.complementarity.LL",62.005936141105,"hernani_rainforestdry",910
"5","functional.complementarity.LL",835.809843710974,"Jamaica",910
"6","functional.complementarity.LL",599.886019238425,"SAFE",910
"7","functional.complementarity.LL",949.859875642569,"Texas",910
"8","functional.complementarity.LL",564.251536790263,"Beth_cr",912
"9","functional.complementarity.LL",206.472859428799,"hernani_dryforestdry",912
"10","functional.complementarity.LL",288.85850765779,"hernani_dryforestwet",912
"11","functional.complementarity.LL",62.113713010763,"hernani_rainforestdry",912
"12","functional.complementarity.LL",829.614734863715,"Jamaica",912
"13","functional.complementarity.LL",585.928176717194,"SAFE",912
"14","functional.complementarity.LL",912.759680197293,"Texas",912
"15","functional.complementarity.LL",554.228108992568,"Beth_cr",914
"16","functional.complementarity.LL",207.841771882823,"hernani_dryforestdry",914
"17","functional.complementarity.LL",272.187098504769,"hernani_dryforestwet",914
"18","functional.complementarity.LL",59.5241307949749,"hernani_rainforestdry",914
"19","functional.complementarity.LL",789.862921647553,"Jamaica",914
"20","functional.complementarity.LL",586.85335446334,"SAFE",914
"21","functional.complementarity.LL",906.477471029285,"Texas",914
"22","functional.complementarity.LL",547.951858326808,"Beth_cr",916
"23","functional.complementarity.LL",209.233493491898,"hernani_dryforestdry",916
"24","functional.complementarity.LL",276.532548118547,"hernani_dryforestwet",916
"25","functional.complementarity.LL",59.4198166396478,"hernani_rainforestdry",916
"26","functional.complementarity.LL",815.67911490135,"Jamaica",916
"27","functional.complementarity.LL",592.152394457018,"SAFE",916
"28","functional.complementarity.LL",908.243076506497,"Texas",916
"29","functional.complementarity.LL",578.424274478666,"Beth_cr",918
"30","functional.complementarity.LL",205.449000800625,"hernani_dryforestdry",918
"31","functional.complementarity.LL",251.222115170833,"hernani_dryforestwet",918
"32","functional.complementarity.LL",46.9246528687468,"hernani_rainforestdry",918
"33","functional.complementarity.LL",776.687537324526,"Jamaica",918
"34","functional.complementarity.LL",560.112006217623,"SAFE",918
"35","functional.complementarity.LL",891.294674413064,"Texas",918
"36","functional.complementarity.LL",561.738163985217,"Beth_cr",920
"37","functional.complementarity.LL",202.352079344322,"hernani_dryforestdry",920
"38","functional.complementarity.LL",246.62647573765,"hernani_dryforestwet",920
"39","functional.complementarity.LL",47.300465767797,"hernani_rainforestdry",920
"40","functional.complementarity.LL",832.845925662819,"Jamaica",920
"41","functional.complementarity.LL",574.824156661181,"SAFE",920
"42","functional.complementarity.LL",877.744313134145,"Texas",920
"43","functional.complementarity.LL",560.245384370199,"Beth_cr",922
"44","functional.complementarity.LL",201.849379884722,"hernani_dryforestdry",922
"45","functional.complementarity.LL",241.975285046632,"hernani_dryforestwet",922
"46","functional.complementarity.LL",48.1673763768112,"hernani_rainforestdry",922
"47","functional.complementarity.LL",811.976019050526,"Jamaica",922
"48","functional.complementarity.LL",567.708779141295,"SAFE",922
"49","functional.complementarity.LL",869.662319936915,"Texas",922
"50","functional.complementarity.LL",548.396788389642,"Beth_cr",924
"51","functional.complementarity.LL",180.41702333996,"hernani_dryforestdry",924
"52","functional.complementarity.LL",224.159312580461,"hernani_dryforestwet",924
"53","functional.complementarity.LL",43.8701387925495,"hernani_rainforestdry",924
"54","functional.complementarity.LL",763.073024847203,"Jamaica",924
"55","functional.complementarity.LL",555.379298252388,"SAFE",924
"56","functional.complementarity.LL",864.336836225248,"Texas",924
"57","functional.complementarity.LL",526.603931466416,"Beth_cr",926
"58","functional.complementarity.LL",175.845303899086,"hernani_dryforestdry",926
"59","functional.complementarity.LL",221.031209775038,"hernani_dryforestwet",926
"60","functional.complementarity.LL",46.5844197008429,"hernani_rainforestdry",926
"61","functional.complementarity.LL",764.20074726447,"Jamaica",926
"62","functional.complementarity.LL",537.095715962762,"SAFE",926
"63","functional.complementarity.LL",877.622064610192,"Texas",926
"64","functional.complementarity.LL",506.813358430292,"Beth_cr",928
"65","functional.complementarity.LL",173.908787397977,"hernani_dryforestdry",928
"66","functional.complementarity.LL",223.223642955965,"hernani_dryforestwet",928
"67","functional.complementarity.LL",46.752887020199,"hernani_rainforestdry",928
"68","functional.complementarity.LL",750.911884543031,"Jamaica",928
"69","functional.complementarity.LL",540.981020134659,"SAFE",928
"70","functional.complementarity.LL",885.569939287931,"Texas",928
"71","functional.complementarity.LL",493.427401243198,"Beth_cr",930
"72","functional.complementarity.LL",167.18400692986,"hernani_dryforestdry",930
"73","functional.complementarity.LL",219.448031893813,"hernani_dryforestwet",930
"74","functional.complementarity.LL",40.9685509488647,"hernani_rainforestdry",930
"75","functional.complementarity.LL",755.478960566241,"Jamaica",930
"76","functional.complementarity.LL",532.587321537479,"SAFE",930
"77","functional.complementarity.LL",885.554175081925,"Texas",930
"78","functional.complementarity.LL",491.115328802212,"Beth_cr",932
"79","functional.complementarity.LL",167.179505184066,"hernani_dryforestdry",932
"80","functional.complementarity.LL",221.880772929645,"hernani_dryforestwet",932
"81","functional.complementarity.LL",40.5843074879866,"hernani_rainforestdry",932
"82","functional.complementarity.LL",773.212652483984,"Jamaica",932
"83","functional.complementarity.LL",539.201396730368,"SAFE",932
"84","functional.complementarity.LL",881.194786191842,"Texas",932
"85","functional.complementarity.LL",477.735412718058,"Beth_cr",934
"86","functional.complementarity.LL",166.660064727665,"hernani_dryforestdry",934
"87","functional.complementarity.LL",223.384466935388,"hernani_dryforestwet",934
"88","functional.complementarity.LL",42.344711449528,"hernani_rainforestdry",934
"89","functional.complementarity.LL",758.089406776734,"Jamaica",934
"90","functional.complementarity.LL",527.411292411269,"SAFE",934
"91","functional.complementarity.LL",881.111673195379,"Texas",934
"92","functional.complementarity.LL",465.607543892466,"Beth_cr",936
"93","functional.complementarity.LL",164.515900208252,"hernani_dryforestdry",936
"94","functional.complementarity.LL",214.423562279233,"hernani_dryforestwet",936
"95","functional.complementarity.LL",41.1690936320805,"hernani_rainforestdry",936
"96","functional.complementarity.LL",731.879805106642,"Jamaica",936
"97","functional.complementarity.LL",510.897013851747,"SAFE",936
"98","functional.complementarity.LL",860.776898943571,"Texas",936
"99","functional.complementarity.LL",443.431365763403,"Beth_cr",938
"100","functional.complementarity.LL",183.436548087841,"hernani_dryforestdry",938
"101","functional.complementarity.LL",222.230897926061,"hernani_dryforestwet",938
"102","functional.complementarity.LL",41.0487253063362,"hernani_rainforestdry",938
"103","functional.complementarity.LL",722.952119921799,"Jamaica",938
"104","functional.complementarity.LL",515.464146962597,"SAFE",938
"105","functional.complementarity.LL",856.151023036506,"Texas",938
"106","functional.complementarity.LL",453.087523656728,"Beth_cr",940
"107","functional.complementarity.LL",185.527972911372,"hernani_dryforestdry",940
"108","functional.complementarity.LL",208.511936301752,"hernani_dryforestwet",940
"109","functional.complementarity.LL",40.6906240854486,"hernani_rainforestdry",940
"110","functional.complementarity.LL",712.037720679699,"Jamaica",940
"111","functional.complementarity.LL",536.330788989976,"SAFE",940
"112","functional.complementarity.LL",888.158681187469,"Texas",940
"113","functional.complementarity.LL",456.641667798255,"Beth_cr",942
"114","functional.complementarity.LL",170.389859066988,"hernani_dryforestdry",942
"115","functional.complementarity.LL",207.162245140592,"hernani_dryforestwet",942
"116","functional.complementarity.LL",41.4872675671637,"hernani_rainforestdry",942
"117","functional.complementarity.LL",728.7640157578,"Jamaica",942
"118","functional.complementarity.LL",531.720723927766,"SAFE",942
"119","functional.complementarity.LL",885.978567077383,"Texas",942
"120","functional.complementarity.LL",456.21365607233,"Beth_cr",944
"121","functional.complementarity.LL",179.534977214226,"hernani_dryforestdry",944
"122","functional.complementarity.LL",196.950667177529,"hernani_dryforestwet",944
"123","functional.complementarity.LL",38.612589503377,"hernani_rainforestdry",944
"124","functional.complementarity.LL",701.280026594067,"Jamaica",944
"125","functional.complementarity.LL",542.977643690841,"SAFE",944
"126","functional.complementarity.LL",870.414911354156,"Texas",944
"127","functional.complementarity.LL",437.587089732092,"Beth_cr",946
"128","functional.complementarity.LL",179.098071368577,"hernani_dryforestdry",946
"129","functional.complementarity.LL",210.379187260091,"hernani_dryforestwet",946
"130","functional.complementarity.LL",37.4416652255622,"hernani_rainforestdry",946
"131","functional.complementarity.LL",686.347890244109,"Jamaica",946
"132","functional.complementarity.LL",536.050648549888,"SAFE",946
"133","functional.complementarity.LL",882.892995652939,"Texas",946
"134","functional.complementarity.LL",431.706115792728,"Beth_cr",948
"135","functional.complementarity.LL",179.098071368577,"hernani_dryforestdry",948
"136","functional.complementarity.LL",211.662990403736,"hernani_dryforestwet",948
"137","functional.complementarity.LL",37.4438138770941,"hernani_rainforestdry",948
"138","functional.complementarity.LL",691.727372286984,"Jamaica",948
"139","functional.complementarity.LL",527.529294448076,"SAFE",948
"140","functional.complementarity.LL",879.280404970382,"Texas",948
"141","functional.complementarity.LL",406.832968200085,"Beth_cr",950
"142","functional.complementarity.LL",158.081465559818,"hernani_dryforestdry",950
"143","functional.complementarity.LL",188.07183424929,"hernani_dryforestwet",950
"144","functional.complementarity.LL",37.045472148132,"hernani_rainforestdry",950
"145","functional.complementarity.LL",677.562018119492,"Jamaica",950
"146","functional.complementarity.LL",531.948323307484,"SAFE",950
"147","functional.complementarity.LL",886.991071416181,"Texas",950
"148","functional.complementarity.LL",427.871096761838,"Beth_cr",952
"149","functional.complementarity.LL",164.743248925957,"hernani_dryforestdry",952
"150","functional.complementarity.LL",195.246404367395,"hernani_dryforestwet",952
"151","functional.complementarity.LL",37.21944614024,"hernani_rainforestdry",952
"152","functional.complementarity.LL",691.181682597808,"Jamaica",952
"153","functional.complementarity.LL",542.642723544546,"SAFE",952
"154","functional.complementarity.LL",916.81978091798,"Texas",952
"155","functional.complementarity.LL",429.841605473424,"Beth_cr",954
"156","functional.complementarity.LL",164.836497415714,"hernani_dryforestdry",954
"157","functional.complementarity.LL",196.04841942495,"hernani_dryforestwet",954
"158","functional.complementarity.LL",37.2719780361261,"hernani_rainforestdry",954
"159","functional.complementarity.LL",685.455886437069,"Jamaica",954
"160","functional.complementarity.LL",541.238871613949,"SAFE",954
"161","functional.complementarity.LL",912.607797784284,"Texas",954
"162","functional.complementarity.LL",418.144269325994,"Beth_cr",956
"163","functional.complementarity.LL",156.351537789925,"hernani_dryforestdry",956
"164","functional.complementarity.LL",204.516170045432,"hernani_dryforestwet",956
"165","functional.complementarity.LL",37.7626497157882,"hernani_rainforestdry",956
"166","functional.complementarity.LL",663.49940125606,"Jamaica",956
"167","functional.complementarity.LL",528.893946058162,"SAFE",956
"168","functional.complementarity.LL",896.553068959291,"Texas",956
"169","functional.complementarity.LL",434.797698357172,"Beth_cr",958
"170","functional.complementarity.LL",160.314114870206,"hernani_dryforestdry",958
"171","functional.complementarity.LL",206.979139768116,"hernani_dryforestwet",958
"172","functional.complementarity.LL",37.5774085227852,"hernani_rainforestdry",958
"173","functional.complementarity.LL",664.608403036077,"Jamaica",958
"174","functional.complementarity.LL",539.192224399765,"SAFE",958
"175","functional.complementarity.LL",883.774008106872,"Texas",958
