"","metric","value","network","clustering"
"1","interaction evenness",0.729990833379057,"Beth_cr",910
"2","interaction evenness",0.743361081134268,"hernani_dryforestdry",910
"3","interaction evenness",0.739854729773267,"hernani_dryforestwet",910
"4","interaction evenness",0.736510525704492,"hernani_rainforestdry",910
"5","interaction evenness",0.752430744334866,"Jamaica",910
"6","interaction evenness",0.738654913967843,"SAFE",910
"7","interaction evenness",0.759232192336551,"Texas",910
"8","interaction evenness",0.731173432299494,"Beth_cr",912
"9","interaction evenness",0.746393781806019,"hernani_dryforestdry",912
"10","interaction evenness",0.738462804441528,"hernani_dryforestwet",912
"11","interaction evenness",0.734431720426713,"hernani_rainforestdry",912
"12","interaction evenness",0.753170000883574,"Jamaica",912
"13","interaction evenness",0.737758024106064,"SAFE",912
"14","interaction evenness",0.75390759404453,"Texas",912
"15","interaction evenness",0.730287082406431,"Beth_cr",914
"16","interaction evenness",0.74873895135773,"hernani_dryforestdry",914
"17","interaction evenness",0.738820469979784,"hernani_dryforestwet",914
"18","interaction evenness",0.732844364481124,"hernani_rainforestdry",914
"19","interaction evenness",0.752893626983572,"Jamaica",914
"20","interaction evenness",0.737035955354555,"SAFE",914
"21","interaction evenness",0.753557604990981,"Texas",914
"22","interaction evenness",0.729791386190136,"Beth_cr",916
"23","interaction evenness",0.749205399480026,"hernani_dryforestdry",916
"24","interaction evenness",0.739110450862391,"hernani_dryforestwet",916
"25","interaction evenness",0.732568549720612,"hernani_rainforestdry",916
"26","interaction evenness",0.753143922142621,"Jamaica",916
"27","interaction evenness",0.736917472187387,"SAFE",916
"28","interaction evenness",0.753490538020804,"Texas",916
"29","interaction evenness",0.733391862203063,"Beth_cr",918
"30","interaction evenness",0.750226259774883,"hernani_dryforestdry",918
"31","interaction evenness",0.737879504920082,"hernani_dryforestwet",918
"32","interaction evenness",0.733671499307026,"hernani_rainforestdry",918
"33","interaction evenness",0.753410997192999,"Jamaica",918
"34","interaction evenness",0.73642117643302,"SAFE",918
"35","interaction evenness",0.753314712771848,"Texas",918
"36","interaction evenness",0.732833403836119,"Beth_cr",920
"37","interaction evenness",0.749924439758328,"hernani_dryforestdry",920
"38","interaction evenness",0.737530432338322,"hernani_dryforestwet",920
"39","interaction evenness",0.734149173256528,"hernani_rainforestdry",920
"40","interaction evenness",0.752033809548184,"Jamaica",920
"41","interaction evenness",0.736801671448842,"SAFE",920
