"","metric","value","network","clustering"
"1","linkage density",70.7165555472094,"Beth_cr",910
"2","linkage density",53.3495747262821,"hernani_dryforestdry",910
"3","linkage density",55.1751081523556,"hernani_dryforestwet",910
"4","linkage density",38.3091616955073,"hernani_rainforestdry",910
"5","linkage density",109.748406636585,"Jamaica",910
"6","linkage density",96.5041178027898,"SAFE",910
"7","linkage density",57.8244051628823,"Texas",910
"8","linkage density",77.2176403195607,"Beth_cr",912
"9","linkage density",60.0133116496763,"hernani_dryforestdry",912
"10","linkage density",62.0178649650687,"hernani_dryforestwet",912
"11","linkage density",41.0785829695493,"hernani_rainforestdry",912
"12","linkage density",119.134391401515,"Jamaica",912
"13","linkage density",105.057762074559,"SAFE",912
"14","linkage density",60.2087140023667,"Texas",912
"15","linkage density",77.8350067786343,"Beth_cr",914
"16","linkage density",60.3072115923141,"hernani_dryforestdry",914
"17","linkage density",62.8981965620645,"hernani_dryforestwet",914
"18","linkage density",40.2726241849751,"hernani_rainforestdry",914
"19","linkage density",119.504353307324,"Jamaica",914
"20","linkage density",105.017881447487,"SAFE",914
"21","linkage density",59.7456867004903,"Texas",914
"22","linkage density",79.3416289583333,"Beth_cr",916
"23","linkage density",60.3299890465863,"hernani_dryforestdry",916
"24","linkage density",62.4086112879065,"hernani_dryforestwet",916
"25","linkage density",40.118298152354,"hernani_rainforestdry",916
"26","linkage density",120.545696840064,"Jamaica",916
"27","linkage density",105.406481207175,"SAFE",916
"28","linkage density",59.7315210576797,"Texas",916
"29","linkage density",89.2297732303756,"Beth_cr",918
"30","linkage density",68.4567944062116,"hernani_dryforestdry",918
"31","linkage density",70.736119170985,"hernani_dryforestwet",918
"32","linkage density",42.8940739137511,"hernani_rainforestdry",918
"33","linkage density",132.761475228888,"Jamaica",918
"34","linkage density",111.566814378082,"SAFE",918
"35","linkage density",64.7207841577088,"Texas",918
"36","linkage density",90.6299203466632,"Beth_cr",920
"37","linkage density",68.1595008714674,"hernani_dryforestdry",920
"38","linkage density",70.5570483091352,"hernani_dryforestwet",920
"39","linkage density",42.834058058574,"hernani_rainforestdry",920
"40","linkage density",135.066747111828,"Jamaica",920
"41","linkage density",111.990727500436,"SAFE",920
"42","linkage density",63.8072854362775,"Texas",920
"43","linkage density",90.2395688703437,"Beth_cr",922
"44","linkage density",67.8215032670816,"hernani_dryforestdry",922
"45","linkage density",70.9769900914221,"hernani_dryforestwet",922
"46","linkage density",42.7413937843916,"hernani_rainforestdry",922
"47","linkage density",136.285101364583,"Jamaica",922
"48","linkage density",112.944711213062,"SAFE",922
"49","linkage density",63.9805119634255,"Texas",922
"50","linkage density",102.144693106202,"Beth_cr",924
"51","linkage density",77.836690019223,"hernani_dryforestdry",924
"52","linkage density",76.0802364916818,"hernani_dryforestwet",924
"53","linkage density",47.0025768847063,"hernani_rainforestdry",924
"54","linkage density",153.444509756602,"Jamaica",924
"55","linkage density",116.792036840934,"SAFE",924
"56","linkage density",67.8358714154211,"Texas",924
"57","linkage density",102.124964635011,"Beth_cr",926
"58","linkage density",77.2763741979992,"hernani_dryforestdry",926
"59","linkage density",76.346750569461,"hernani_dryforestwet",926
"60","linkage density",48.3682778121661,"hernani_rainforestdry",926
"61","linkage density",153.848905632535,"Jamaica",926
"62","linkage density",117.711841584796,"SAFE",926
"63","linkage density",68.1802541191359,"Texas",926
"64","linkage density",101.314153918949,"Beth_cr",928
"65","linkage density",77.4544858691041,"hernani_dryforestdry",928
"66","linkage density",76.7822366983425,"hernani_dryforestwet",928
"67","linkage density",47.5486677610873,"hernani_rainforestdry",928
"68","linkage density",152.411881215856,"Jamaica",928
"69","linkage density",118.949562552829,"SAFE",928
"70","linkage density",68.0059410924706,"Texas",928
"71","linkage density",117.63154098672,"Beth_cr",930
"72","linkage density",88.7768305590337,"hernani_dryforestdry",930
"73","linkage density",89.3613655566749,"hernani_dryforestwet",930
"74","linkage density",50.7815878313474,"hernani_rainforestdry",930
"75","linkage density",175.98475536973,"Jamaica",930
"76","linkage density",129.920903054612,"SAFE",930
"77","linkage density",73.1626120728381,"Texas",930
"78","linkage density",123.13825661943,"Beth_cr",932
"79","linkage density",89.166746542096,"hernani_dryforestdry",932
"80","linkage density",90.0648082430153,"hernani_dryforestwet",932
"81","linkage density",50.9144396626402,"hernani_rainforestdry",932
"82","linkage density",176.385898764379,"Jamaica",932
"83","linkage density",129.163651036158,"SAFE",932
"84","linkage density",73.9795474738613,"Texas",932
