"","metric","value","network","clustering"
"1","links per species",1.93394495412844,"Beth_cr",910
"2","links per species",1.35860058309038,"hernani_dryforestdry",910
"3","links per species",1.73421052631579,"hernani_dryforestwet",910
"4","links per species",1.19915254237288,"hernani_rainforestdry",910
"5","links per species",2.0734394124847,"Jamaica",910
"6","links per species",1.85822306238185,"SAFE",910
"7","links per species",2.35904628330996,"Texas",910
"8","links per species",1.85113268608414,"Beth_cr",912
"9","links per species",1.31948051948052,"hernani_dryforestdry",912
"10","links per species",1.62918660287081,"hernani_dryforestwet",912
"11","links per species",1.16205533596838,"hernani_rainforestdry",912
"12","links per species",1.9934282584885,"Jamaica",912
"13","links per species",1.76976542137272,"SAFE",912
"14","links per species",2.15125,"Texas",912
"15","links per species",1.8144,"Beth_cr",914
"16","links per species",1.33072916666667,"hernani_dryforestdry",914
"17","links per species",1.61298076923077,"hernani_dryforestwet",914
"18","links per species",1.14342629482072,"hernani_rainforestdry",914
"19","links per species",1.99671052631579,"Jamaica",914
"20","links per species",1.76896251089799,"SAFE",914
"21","links per species",2.1675,"Texas",914
"22","links per species",1.79968203497615,"Beth_cr",916
"23","links per species",1.33420365535248,"hernani_dryforestdry",916
"24","links per species",1.62259615384615,"hernani_dryforestwet",916
"25","links per species",1.13833992094862,"hernani_rainforestdry",916
"26","links per species",1.98580786026201,"Jamaica",916
"27","links per species",1.76302083333333,"SAFE",916
"28","links per species",2.16209476309227,"Texas",916
"29","links per species",1.73839662447257,"Beth_cr",918
"30","links per species",1.28310502283105,"hernani_dryforestdry",918
"31","links per species",1.53563714902808,"hernani_dryforestwet",918
"32","links per species",1.1123595505618,"hernani_rainforestdry",918
"33","links per species",1.89390962671906,"Jamaica",918
"34","links per species",1.69684721099434,"SAFE",918
"35","links per species",2.05956471935853,"Texas",918
"36","links per species",1.716459197787,"Beth_cr",920
"37","links per species",1.2870159453303,"hernani_dryforestdry",920
"38","links per species",1.53030303030303,"hernani_dryforestwet",920
"39","links per species",1.11654135338346,"hernani_rainforestdry",920
"40","links per species",1.88454011741683,"Jamaica",920
"41","links per species",1.7046925566343,"SAFE",920
"42","links per species",2.02397260273973,"Texas",920
"43","links per species",1.71468144044321,"Beth_cr",922
"44","links per species",1.28473804100228,"hernani_dryforestdry",922
"45","links per species",1.51724137931034,"hernani_dryforestwet",922
"46","links per species",1.11654135338346,"hernani_rainforestdry",922
"47","links per species",1.85562015503876,"Jamaica",922
"48","links per species",1.69991954947707,"SAFE",922
"49","links per species",2.02514285714286,"Texas",922
"50","links per species",1.63614163614164,"Beth_cr",924
"51","links per species",1.2520325203252,"hernani_dryforestdry",924
"52","links per species",1.44071146245059,"hernani_dryforestwet",924
"53","links per species",1.10801393728223,"hernani_rainforestdry",924
"54","links per species",1.75622317596567,"Jamaica",924
"55","links per species",1.62859248341931,"SAFE",924
"56","links per species",1.93558606124604,"Texas",924
"57","links per species",1.59543817527011,"Beth_cr",926
"58","links per species",1.2289156626506,"hernani_dryforestdry",926
"59","links per species",1.43873517786561,"hernani_dryforestwet",926
"60","links per species",1.10884353741497,"hernani_rainforestdry",926
"61","links per species",1.76555839727195,"Jamaica",926
"62","links per species",1.6112737920937,"SAFE",926
"63","links per species",1.934375,"Texas",926
"64","links per species",1.57039711191336,"Beth_cr",928
"65","links per species",1.22489959839357,"hernani_dryforestdry",928
"66","links per species",1.43366336633663,"hernani_dryforestwet",928
"67","links per species",1.10616438356164,"hernani_rainforestdry",928
"68","links per species",1.73920406435224,"Jamaica",928
"69","links per species",1.60818713450292,"SAFE",928
"70","links per species",1.92339544513458,"Texas",928
"71","links per species",1.50573514077164,"Beth_cr",930
"72","links per species",1.21920289855072,"hernani_dryforestdry",930
"73","links per species",1.4141592920354,"hernani_dryforestwet",930
"74","links per species",1.09324758842444,"hernani_rainforestdry",930
"75","links per species",1.66137566137566,"Jamaica",930
"76","links per species",1.55931080185553,"SAFE",930
"77","links per species",1.83441860465116,"Texas",930
"78","links per species",1.49092741935484,"Beth_cr",932
"79","links per species",1.21441441441441,"hernani_dryforestdry",932
"80","links per species",1.42049469964664,"hernani_dryforestwet",932
"81","links per species",1.09646302250804,"hernani_rainforestdry",932
"82","links per species",1.66767143933685,"Jamaica",932
"83","links per species",1.55019815059445,"SAFE",932
"84","links per species",1.8256880733945,"Texas",932
"85","links per species",1.49291497975709,"Beth_cr",934
"86","links per species",1.22282608695652,"hernani_dryforestdry",934
"87","links per species",1.41814946619217,"hernani_dryforestwet",934
"88","links per species",1.08653846153846,"hernani_rainforestdry",934
"89","links per species",1.65233785822021,"Jamaica",934
"90","links per species",1.54533508541393,"SAFE",934
"91","links per species",1.81,"Texas",934
"92","links per species",1.47128712871287,"Beth_cr",936
"93","links per species",1.21340388007055,"hernani_dryforestdry",936
"94","links per species",1.4006968641115,"hernani_dryforestwet",936
"95","links per species",1.09657320872274,"hernani_rainforestdry",936
"96","links per species",1.6314265025344,"Jamaica",936
"97","links per species",1.50721908349027,"SAFE",936
"98","links per species",1.76409366869037,"Texas",936
"99","links per species",1.39722463139636,"Beth_cr",938
"100","links per species",1.20751633986928,"hernani_dryforestdry",938
"101","links per species",1.36505460218409,"hernani_dryforestwet",938
"102","links per species",1.09171597633136,"hernani_rainforestdry",938
"103","links per species",1.58831085420681,"Jamaica",938
"104","links per species",1.49117647058824,"SAFE",938
"105","links per species",1.70224284609435,"Texas",938
"106","links per species",1.4041095890411,"Beth_cr",940
"107","links per species",1.20228384991843,"hernani_dryforestdry",940
"108","links per species",1.353125,"hernani_dryforestwet",940
"109","links per species",1.09411764705882,"hernani_rainforestdry",940
"110","links per species",1.55638629283489,"Jamaica",940
"111","links per species",1.49446064139942,"SAFE",940
"112","links per species",1.70588235294118,"Texas",940
"113","links per species",1.40759493670886,"Beth_cr",942
"114","links per species",1.20096463022508,"hernani_dryforestdry",942
"115","links per species",1.34307692307692,"hernani_dryforestwet",942
