"","metric","value","network","clustering"
"1","mean.number.of.shared.partners.HL",24.1090909090909,"Beth_cr",910
"2","mean.number.of.shared.partners.HL",8.33333333333333,"hernani_dryforestdry",910
"3","mean.number.of.shared.partners.HL",18.1388888888889,"hernani_dryforestwet",910
"4","mean.number.of.shared.partners.HL",3.14285714285714,"hernani_rainforestdry",910
"5","mean.number.of.shared.partners.HL",26.8846153846154,"Jamaica",910
"6","mean.number.of.shared.partners.HL",11.3030303030303,"SAFE",910
"7","mean.number.of.shared.partners.HL",26.375,"Texas",910
"8","mean.number.of.shared.partners.HL",23.5818181818182,"Beth_cr",912
"9","mean.number.of.shared.partners.HL",7.95238095238095,"hernani_dryforestdry",912
"10","mean.number.of.shared.partners.HL",16.1666666666667,"hernani_dryforestwet",912
"11","mean.number.of.shared.partners.HL",2.42857142857143,"hernani_rainforestdry",912
"12","mean.number.of.shared.partners.HL",27.2692307692308,"Jamaica",912
"13","mean.number.of.shared.partners.HL",10.1904761904762,"SAFE",912
"14","mean.number.of.shared.partners.HL",22.825,"Texas",912
"15","mean.number.of.shared.partners.HL",22.8363636363636,"Beth_cr",914
"16","mean.number.of.shared.partners.HL",8.19047619047619,"hernani_dryforestdry",914
"17","mean.number.of.shared.partners.HL",15.0277777777778,"hernani_dryforestwet",914
"18","mean.number.of.shared.partners.HL",2.17857142857143,"hernani_rainforestdry",914
"19","mean.number.of.shared.partners.HL",28.0128205128205,"Jamaica",914
"20","mean.number.of.shared.partners.HL",10.2467532467532,"SAFE",914
"21","mean.number.of.shared.partners.HL",23.5,"Texas",914
"22","mean.number.of.shared.partners.HL",22.1818181818182,"Beth_cr",916
"23","mean.number.of.shared.partners.HL",8.28571428571429,"hernani_dryforestdry",916
"24","mean.number.of.shared.partners.HL",15.3333333333333,"hernani_dryforestwet",916
"25","mean.number.of.shared.partners.HL",2.14285714285714,"hernani_rainforestdry",916
"26","mean.number.of.shared.partners.HL",27.7820512820513,"Jamaica",916
"27","mean.number.of.shared.partners.HL",10.021645021645,"SAFE",916
"28","mean.number.of.shared.partners.HL",23.3666666666667,"Texas",916
"29","mean.number.of.shared.partners.HL",22.6363636363636,"Beth_cr",918
"30","mean.number.of.shared.partners.HL",7.90476190476191,"hernani_dryforestdry",918
"31","mean.number.of.shared.partners.HL",14.3333333333333,"hernani_dryforestwet",918
"32","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",918
"33","mean.number.of.shared.partners.HL",26.8076923076923,"Jamaica",918
"34","mean.number.of.shared.partners.HL",9.74891774891775,"SAFE",918
"35","mean.number.of.shared.partners.HL",22.075,"Texas",918
"36","mean.number.of.shared.partners.HL",22.1636363636364,"Beth_cr",920
"37","mean.number.of.shared.partners.HL",8.04761904761905,"hernani_dryforestdry",920
"38","mean.number.of.shared.partners.HL",13.8333333333333,"hernani_dryforestwet",920
"39","mean.number.of.shared.partners.HL",1.75,"hernani_rainforestdry",920
"40","mean.number.of.shared.partners.HL",25.5512820512821,"Jamaica",920
"41","mean.number.of.shared.partners.HL",9.75324675324675,"SAFE",920
"42","mean.number.of.shared.partners.HL",21.8833333333333,"Texas",920
"43","mean.number.of.shared.partners.HL",22.1090909090909,"Beth_cr",922
"44","mean.number.of.shared.partners.HL",8,"hernani_dryforestdry",922
"45","mean.number.of.shared.partners.HL",13.3611111111111,"hernani_dryforestwet",922
"46","mean.number.of.shared.partners.HL",1.75,"hernani_rainforestdry",922
"47","mean.number.of.shared.partners.HL",24.5897435897436,"Jamaica",922
"48","mean.number.of.shared.partners.HL",9.65367965367965,"SAFE",922
"49","mean.number.of.shared.partners.HL",21.8916666666667,"Texas",922
"50","mean.number.of.shared.partners.HL",20.3090909090909,"Beth_cr",924
"51","mean.number.of.shared.partners.HL",7.90476190476191,"hernani_dryforestdry",924
"52","mean.number.of.shared.partners.HL",12.6666666666667,"hernani_dryforestwet",924
"53","mean.number.of.shared.partners.HL",1.71428571428571,"hernani_rainforestdry",924
"54","mean.number.of.shared.partners.HL",23.1410256410256,"Jamaica",924
"55","mean.number.of.shared.partners.HL",9.31168831168831,"SAFE",924
"56","mean.number.of.shared.partners.HL",20.3166666666667,"Texas",924
"57","mean.number.of.shared.partners.HL",19.6363636363636,"Beth_cr",926
"58","mean.number.of.shared.partners.HL",7.23809523809524,"hernani_dryforestdry",926
"59","mean.number.of.shared.partners.HL",12.4722222222222,"hernani_dryforestwet",926
"60","mean.number.of.shared.partners.HL",1.71428571428571,"hernani_rainforestdry",926
"61","mean.number.of.shared.partners.HL",23.0897435897436,"Jamaica",926
"62","mean.number.of.shared.partners.HL",8.93506493506493,"SAFE",926
"63","mean.number.of.shared.partners.HL",20.4333333333333,"Texas",926
"64","mean.number.of.shared.partners.HL",18.9090909090909,"Beth_cr",928
"65","mean.number.of.shared.partners.HL",7.14285714285714,"hernani_dryforestdry",928
"66","mean.number.of.shared.partners.HL",12.1944444444444,"hernani_dryforestwet",928
"67","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",928
"68","mean.number.of.shared.partners.HL",22.2435897435897,"Jamaica",928
"69","mean.number.of.shared.partners.HL",8.93939393939394,"SAFE",928
"70","mean.number.of.shared.partners.HL",20.4166666666667,"Texas",928
"71","mean.number.of.shared.partners.HL",17.4,"Beth_cr",930
"72","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",930
"73","mean.number.of.shared.partners.HL",12.8888888888889,"hernani_dryforestwet",930
"74","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",930
"75","mean.number.of.shared.partners.HL",21.4358974358974,"Jamaica",930
"76","mean.number.of.shared.partners.HL",8.62770562770563,"SAFE",930
"77","mean.number.of.shared.partners.HL",19.4666666666667,"Texas",930
"78","mean.number.of.shared.partners.HL",17.6363636363636,"Beth_cr",932
"79","mean.number.of.shared.partners.HL",7.19047619047619,"hernani_dryforestdry",932
"80","mean.number.of.shared.partners.HL",13.1944444444444,"hernani_dryforestwet",932
"81","mean.number.of.shared.partners.HL",1.75,"hernani_rainforestdry",932
"82","mean.number.of.shared.partners.HL",21.8333333333333,"Jamaica",932
"83","mean.number.of.shared.partners.HL",8.53679653679654,"SAFE",932
"84","mean.number.of.shared.partners.HL",19.5333333333333,"Texas",932
"85","mean.number.of.shared.partners.HL",17.4545454545455,"Beth_cr",934
"86","mean.number.of.shared.partners.HL",7.52380952380952,"hernani_dryforestdry",934
"87","mean.number.of.shared.partners.HL",13.3055555555556,"hernani_dryforestwet",934
"88","mean.number.of.shared.partners.HL",1.60714285714286,"hernani_rainforestdry",934
"89","mean.number.of.shared.partners.HL",21.3589743589744,"Jamaica",934
"90","mean.number.of.shared.partners.HL",8.42857142857143,"SAFE",934
"91","mean.number.of.shared.partners.HL",19.0333333333333,"Texas",934
"92","mean.number.of.shared.partners.HL",16.5454545454545,"Beth_cr",936
"93","mean.number.of.shared.partners.HL",7.28571428571429,"hernani_dryforestdry",936
"94","mean.number.of.shared.partners.HL",12.9444444444444,"hernani_dryforestwet",936
"95","mean.number.of.shared.partners.HL",1.85714285714286,"hernani_rainforestdry",936
"96","mean.number.of.shared.partners.HL",21.4358974358974,"Jamaica",936
"97","mean.number.of.shared.partners.HL",8.07359307359307,"SAFE",936
"98","mean.number.of.shared.partners.HL",18.575,"Texas",936
"99","mean.number.of.shared.partners.HL",15.4909090909091,"Beth_cr",938
"100","mean.number.of.shared.partners.HL",7.61904761904762,"hernani_dryforestdry",938
"101","mean.number.of.shared.partners.HL",12.7222222222222,"hernani_dryforestwet",938
"102","mean.number.of.shared.partners.HL",1.85714285714286,"hernani_rainforestdry",938
"103","mean.number.of.shared.partners.HL",21.6410256410256,"Jamaica",938
"104","mean.number.of.shared.partners.HL",8.15584415584416,"SAFE",938
"105","mean.number.of.shared.partners.HL",18.6333333333333,"Texas",938
"106","mean.number.of.shared.partners.HL",16.1272727272727,"Beth_cr",940
"107","mean.number.of.shared.partners.HL",7.33333333333333,"hernani_dryforestdry",940
"108","mean.number.of.shared.partners.HL",12.5,"hernani_dryforestwet",940
"109","mean.number.of.shared.partners.HL",1.92857142857143,"hernani_rainforestdry",940
"110","mean.number.of.shared.partners.HL",21.1025641025641,"Jamaica",940
"111","mean.number.of.shared.partners.HL",8.13419913419913,"SAFE",940
"112","mean.number.of.shared.partners.HL",19.275,"Texas",940
"113","mean.number.of.shared.partners.HL",16.7272727272727,"Beth_cr",942
"114","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",942
"115","mean.number.of.shared.partners.HL",12.3888888888889,"hernani_dryforestwet",942
"116","mean.number.of.shared.partners.HL",1.92857142857143,"hernani_rainforestdry",942
"117","mean.number.of.shared.partners.HL",21.0128205128205,"Jamaica",942
"118","mean.number.of.shared.partners.HL",8.21212121212121,"SAFE",942
"119","mean.number.of.shared.partners.HL",19.1833333333333,"Texas",942
"120","mean.number.of.shared.partners.HL",13.4181818181818,"Beth_cr",944
"121","mean.number.of.shared.partners.HL",7.47619047619048,"hernani_dryforestdry",944
"122","mean.number.of.shared.partners.HL",12.3055555555556,"hernani_dryforestwet",944
"123","mean.number.of.shared.partners.HL",1.71428571428571,"hernani_rainforestdry",944
"124","mean.number.of.shared.partners.HL",20.5641025641026,"Jamaica",944
"125","mean.number.of.shared.partners.HL",8.00865800865801,"SAFE",944
"126","mean.number.of.shared.partners.HL",18.8583333333333,"Texas",944
"127","mean.number.of.shared.partners.HL",12.5818181818182,"Beth_cr",946
"128","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",946
"129","mean.number.of.shared.partners.HL",12.1111111111111,"hernani_dryforestwet",946
"130","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",946
"131","mean.number.of.shared.partners.HL",20.2692307692308,"Jamaica",946
"132","mean.number.of.shared.partners.HL",8.03030303030303,"SAFE",946
"133","mean.number.of.shared.partners.HL",18.3333333333333,"Texas",946
"134","mean.number.of.shared.partners.HL",12.6181818181818,"Beth_cr",948
"135","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",948
"136","mean.number.of.shared.partners.HL",12.0833333333333,"hernani_dryforestwet",948
"137","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",948
"138","mean.number.of.shared.partners.HL",20.4230769230769,"Jamaica",948
"139","mean.number.of.shared.partners.HL",8,"SAFE",948
"140","mean.number.of.shared.partners.HL",18.3,"Texas",948
"141","mean.number.of.shared.partners.HL",11.7818181818182,"Beth_cr",950
"142","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",950
"143","mean.number.of.shared.partners.HL",10.5833333333333,"hernani_dryforestwet",950
"144","mean.number.of.shared.partners.HL",1.57142857142857,"hernani_rainforestdry",950
"145","mean.number.of.shared.partners.HL",19.5,"Jamaica",950
"146","mean.number.of.shared.partners.HL",7.84415584415584,"SAFE",950
"147","mean.number.of.shared.partners.HL",18.25,"Texas",950
"148","mean.number.of.shared.partners.HL",12.3818181818182,"Beth_cr",952
"149","mean.number.of.shared.partners.HL",7.66666666666667,"hernani_dryforestdry",952
"150","mean.number.of.shared.partners.HL",10.5555555555556,"hernani_dryforestwet",952
"151","mean.number.of.shared.partners.HL",1.64285714285714,"hernani_rainforestdry",952
"152","mean.number.of.shared.partners.HL",20.6538461538462,"Jamaica",952
"153","mean.number.of.shared.partners.HL",8.05627705627706,"SAFE",952
"154","mean.number.of.shared.partners.HL",19.0583333333333,"Texas",952
"155","mean.number.of.shared.partners.HL",12.5454545454545,"Beth_cr",954
"156","mean.number.of.shared.partners.HL",7.57142857142857,"hernani_dryforestdry",954
"157","mean.number.of.shared.partners.HL",10.5833333333333,"hernani_dryforestwet",954
"158","mean.number.of.shared.partners.HL",1.64285714285714,"hernani_rainforestdry",954
"159","mean.number.of.shared.partners.HL",20.8076923076923,"Jamaica",954
"160","mean.number.of.shared.partners.HL",8.06926406926407,"SAFE",954
"161","mean.number.of.shared.partners.HL",18.7916666666667,"Texas",954
"162","mean.number.of.shared.partners.HL",11.4181818181818,"Beth_cr",956
"163","mean.number.of.shared.partners.HL",7.57142857142857,"hernani_dryforestdry",956
"164","mean.number.of.shared.partners.HL",10.5833333333333,"hernani_dryforestwet",956
"165","mean.number.of.shared.partners.HL",1.53571428571429,"hernani_rainforestdry",956
"166","mean.number.of.shared.partners.HL",19.8076923076923,"Jamaica",956
"167","mean.number.of.shared.partners.HL",8.02164502164502,"SAFE",956
"168","mean.number.of.shared.partners.HL",17.6416666666667,"Texas",956
"169","mean.number.of.shared.partners.HL",11.8545454545455,"Beth_cr",958
"170","mean.number.of.shared.partners.HL",7.57142857142857,"hernani_dryforestdry",958
"171","mean.number.of.shared.partners.HL",10.75,"hernani_dryforestwet",958
"172","mean.number.of.shared.partners.HL",1.64285714285714,"hernani_rainforestdry",958
"173","mean.number.of.shared.partners.HL",20.4871794871795,"Jamaica",958
"174","mean.number.of.shared.partners.HL",8.35497835497836,"SAFE",958
"175","mean.number.of.shared.partners.HL",17.9583333333333,"Texas",958
"176","mean.number.of.shared.partners.HL",11.4,"Beth_cr",960
"177","mean.number.of.shared.partners.HL",7.42857142857143,"hernani_dryforestdry",960
"178","mean.number.of.shared.partners.HL",10.6944444444444,"hernani_dryforestwet",960
"179","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",960
"180","mean.number.of.shared.partners.HL",19.3076923076923,"Jamaica",960
"181","mean.number.of.shared.partners.HL",8.22510822510823,"SAFE",960
"182","mean.number.of.shared.partners.HL",17.8416666666667,"Texas",960
"183","mean.number.of.shared.partners.HL",11.1090909090909,"Beth_cr",962
"184","mean.number.of.shared.partners.HL",7.14285714285714,"hernani_dryforestdry",962
"185","mean.number.of.shared.partners.HL",10.9166666666667,"hernani_dryforestwet",962
"186","mean.number.of.shared.partners.HL",1.64285714285714,"hernani_rainforestdry",962
"187","mean.number.of.shared.partners.HL",19.6794871794872,"Jamaica",962
"188","mean.number.of.shared.partners.HL",8.87012987012987,"SAFE",962
"189","mean.number.of.shared.partners.HL",17.8416666666667,"Texas",962
"190","mean.number.of.shared.partners.HL",11.2909090909091,"Beth_cr",964
"191","mean.number.of.shared.partners.HL",7.19047619047619,"hernani_dryforestdry",964
"192","mean.number.of.shared.partners.HL",11.0277777777778,"hernani_dryforestwet",964
"193","mean.number.of.shared.partners.HL",1.67857142857143,"hernani_rainforestdry",964
"194","mean.number.of.shared.partners.HL",19.9102564102564,"Jamaica",964
"195","mean.number.of.shared.partners.HL",9.01731601731602,"SAFE",964
"196","mean.number.of.shared.partners.HL",17.925,"Texas",964
"197","mean.number.of.shared.partners.HL",11.0181818181818,"Beth_cr",966
"198","mean.number.of.shared.partners.HL",7.38095238095238,"hernani_dryforestdry",966
"199","mean.number.of.shared.partners.HL",11.0555555555556,"hernani_dryforestwet",966
"200","mean.number.of.shared.partners.HL",1.78571428571429,"hernani_rainforestdry",966
"201","mean.number.of.shared.partners.HL",20.2051282051282,"Jamaica",966
"202","mean.number.of.shared.partners.HL",9.34632034632035,"SAFE",966
"203","mean.number.of.shared.partners.HL",17.6083333333333,"Texas",966
"204","mean.number.of.shared.partners.HL",11.4181818181818,"Beth_cr",968
"205","mean.number.of.shared.partners.HL",7.23809523809524,"hernani_dryforestdry",968
"206","mean.number.of.shared.partners.HL",10.9166666666667,"hernani_dryforestwet",968
"207","mean.number.of.shared.partners.HL",1.78571428571429,"hernani_rainforestdry",968
"208","mean.number.of.shared.partners.HL",20.2948717948718,"Jamaica",968
"209","mean.number.of.shared.partners.HL",9.39393939393939,"SAFE",968
"210","mean.number.of.shared.partners.HL",17.9666666666667,"Texas",968
"211","mean.number.of.shared.partners.HL",11,"Beth_cr",970
"212","mean.number.of.shared.partners.HL",7.85714285714286,"hernani_dryforestdry",970
"213","mean.number.of.shared.partners.HL",11.5277777777778,"hernani_dryforestwet",970
"214","mean.number.of.shared.partners.HL",1.82142857142857,"hernani_rainforestdry",970
"215","mean.number.of.shared.partners.HL",20.4102564102564,"Jamaica",970
"216","mean.number.of.shared.partners.HL",9.76190476190476,"SAFE",970
"217","mean.number.of.shared.partners.HL",18.8833333333333,"Texas",970
"218","mean.number.of.shared.partners.HL",10.3272727272727,"Beth_cr",972
"219","mean.number.of.shared.partners.HL",8.09523809523809,"hernani_dryforestdry",972
"220","mean.number.of.shared.partners.HL",11.7777777777778,"hernani_dryforestwet",972
"221","mean.number.of.shared.partners.HL",1.82142857142857,"hernani_rainforestdry",972
"222","mean.number.of.shared.partners.HL",20.2820512820513,"Jamaica",972
"223","mean.number.of.shared.partners.HL",9.19480519480519,"SAFE",972
"224","mean.number.of.shared.partners.HL",18.3416666666667,"Texas",972
"225","mean.number.of.shared.partners.HL",10.3090909090909,"Beth_cr",974
"226","mean.number.of.shared.partners.HL",7.90476190476191,"hernani_dryforestdry",974
"227","mean.number.of.shared.partners.HL",11.75,"hernani_dryforestwet",974
"228","mean.number.of.shared.partners.HL",1.82142857142857,"hernani_rainforestdry",974
"229","mean.number.of.shared.partners.HL",20.3333333333333,"Jamaica",974
"230","mean.number.of.shared.partners.HL",9.1038961038961,"SAFE",974
"231","mean.number.of.shared.partners.HL",18.2833333333333,"Texas",974
"232","mean.number.of.shared.partners.HL",11.1272727272727,"Beth_cr",976
"233","mean.number.of.shared.partners.HL",9.33333333333333,"hernani_dryforestdry",976
"234","mean.number.of.shared.partners.HL",13,"hernani_dryforestwet",976
"235","mean.number.of.shared.partners.HL",2.39285714285714,"hernani_rainforestdry",976
"236","mean.number.of.shared.partners.HL",22.0897435897436,"Jamaica",976
"237","mean.number.of.shared.partners.HL",9.73160173160173,"SAFE",976
"238","mean.number.of.shared.partners.HL",19.6166666666667,"Texas",976
"239","mean.number.of.shared.partners.HL",11.9090909090909,"Beth_cr",978
"240","mean.number.of.shared.partners.HL",9.33333333333333,"hernani_dryforestdry",978
"241","mean.number.of.shared.partners.HL",12.5277777777778,"hernani_dryforestwet",978
"242","mean.number.of.shared.partners.HL",2.39285714285714,"hernani_rainforestdry",978
"243","mean.number.of.shared.partners.HL",22.0769230769231,"Jamaica",978
"244","mean.number.of.shared.partners.HL",10.1818181818182,"SAFE",978
"245","mean.number.of.shared.partners.HL",19.7833333333333,"Texas",978
"246","mean.number.of.shared.partners.HL",11.8363636363636,"Beth_cr",980
"247","mean.number.of.shared.partners.HL",9.28571428571429,"hernani_dryforestdry",980
"248","mean.number.of.shared.partners.HL",12.5277777777778,"hernani_dryforestwet",980
"249","mean.number.of.shared.partners.HL",2.35714285714286,"hernani_rainforestdry",980
"250","mean.number.of.shared.partners.HL",21.9487179487179,"Jamaica",980
"251","mean.number.of.shared.partners.HL",10.3073593073593,"SAFE",980
"252","mean.number.of.shared.partners.HL",19.9166666666667,"Texas",980
