"","metric","value","network","clustering"
"1","mean.number.of.shared.partners.LL",0.706790058393237,"Beth_cr",910
"2","mean.number.of.shared.partners.LL",0.55183013503909,"hernani_dryforestdry",910
"3","mean.number.of.shared.partners.LL",0.634559627012457,"hernani_dryforestwet",910
"4","mean.number.of.shared.partners.LL",0.422250560321509,"hernani_rainforestdry",910
"5","mean.number.of.shared.partners.LL",0.736838844383314,"Jamaica",910
"6","mean.number.of.shared.partners.LL",0.386574151791543,"SAFE",910
"7","mean.number.of.shared.partners.LL",0.525000412275928,"Texas",910
"8","mean.number.of.shared.partners.LL",0.665965278570691,"Beth_cr",912
"9","mean.number.of.shared.partners.LL",0.531191669122704,"hernani_dryforestdry",912
"10","mean.number.of.shared.partners.LL",0.612445467184429,"hernani_dryforestwet",912
"11","mean.number.of.shared.partners.LL",0.410772833723653,"hernani_rainforestdry",912
"12","mean.number.of.shared.partners.LL",0.695263873439624,"Jamaica",912
"13","mean.number.of.shared.partners.LL",0.365268642933871,"SAFE",912
"14","mean.number.of.shared.partners.LL",0.439032892850627,"Texas",912
"15","mean.number.of.shared.partners.LL",0.636199393169705,"Beth_cr",914
"16","mean.number.of.shared.partners.LL",0.535597381342062,"hernani_dryforestdry",914
"17","mean.number.of.shared.partners.LL",0.612616647099406,"hernani_dryforestwet",914
"18","mean.number.of.shared.partners.LL",0.398802843247288,"hernani_rainforestdry",914
"19","mean.number.of.shared.partners.LL",0.694104560622914,"Jamaica",914
"20","mean.number.of.shared.partners.LL",0.367489126136813,"SAFE",914
"21","mean.number.of.shared.partners.LL",0.444392316313499,"Texas",914
"22","mean.number.of.shared.partners.LL",0.644710547434344,"Beth_cr",916
"23","mean.number.of.shared.partners.LL",0.538113475177305,"hernani_dryforestdry",916
"24","mean.number.of.shared.partners.LL",0.612773992084337,"hernani_dryforestwet",916
"25","mean.number.of.shared.partners.LL",0.392740046838408,"hernani_rainforestdry",916
"26","mean.number.of.shared.partners.LL",0.691879495055899,"Jamaica",916
"27","mean.number.of.shared.partners.LL",0.365884132719848,"SAFE",916
"28","mean.number.of.shared.partners.LL",0.440994473347272,"Texas",916
"29","mean.number.of.shared.partners.LL",0.613002248109544,"Beth_cr",918
"30","mean.number.of.shared.partners.LL",0.516430151621432,"hernani_dryforestdry",918
"31","mean.number.of.shared.partners.LL",0.590814054127646,"hernani_dryforestwet",918
