"","metric","value","network","clustering"
"1","nestedness",13.9919218370579,"Beth_cr",910
"2","nestedness",21.7007418600755,"hernani_dryforestdry",910
"3","nestedness",16.5486909991349,"hernani_dryforestwet",910
"4","nestedness",20.4150498454197,"hernani_rainforestdry",910
"5","nestedness",11.4062148287578,"Jamaica",910
"6","nestedness",6.29645404389472,"SAFE",910
"7","nestedness",14.7271801183343,"Texas",910
"8","nestedness",13.6270635468172,"Beth_cr",912
"9","nestedness",21.675633303883,"hernani_dryforestdry",912
"10","nestedness",15.7743488627738,"hernani_dryforestwet",912
"11","nestedness",20.2053121113893,"hernani_rainforestdry",912
"12","nestedness",11.0163504027832,"Jamaica",912
"13","nestedness",6.05078222982881,"SAFE",912
"14","nestedness",15.2308287914053,"Texas",912
"15","nestedness",13.9560136033588,"Beth_cr",914
"16","nestedness",21.8149221591935,"hernani_dryforestdry",914
"17","nestedness",15.646540469692,"hernani_dryforestwet",914
"18","nestedness",20.2522738990887,"hernani_rainforestdry",914
"19","nestedness",10.9703637830562,"Jamaica",914
"20","nestedness",5.96292393403344,"SAFE",914
"21","nestedness",15.2525764370874,"Texas",914
"22","nestedness",13.8924819236465,"Beth_cr",916
"23","nestedness",21.7843139144111,"hernani_dryforestdry",916
"24","nestedness",15.7352863508651,"hernani_dryforestwet",916
"25","nestedness",20.2248904778294,"hernani_rainforestdry",916
"26","nestedness",10.8983870534691,"Jamaica",916
"27","nestedness",6.03300460110463,"SAFE",916
"28","nestedness",15.3813862628737,"Texas",916
"29","nestedness",13.5652468492003,"Beth_cr",918
"30","nestedness",21.6706980640482,"hernani_dryforestdry",918
"31","nestedness",15.6019047666111,"hernani_dryforestwet",918
"32","nestedness",19.9979897866808,"hernani_rainforestdry",918
"33","nestedness",10.9884220721928,"Jamaica",918
"34","nestedness",5.77206731665044,"SAFE",918
"35","nestedness",14.6490013049546,"Texas",918
"36","nestedness",13.6073118934276,"Beth_cr",920
"37","nestedness",21.7746532534713,"hernani_dryforestdry",920
"38","nestedness",15.9293581368731,"hernani_dryforestwet",920
"39","nestedness",19.9757459360987,"hernani_rainforestdry",920
"40","nestedness",10.9649988778159,"Jamaica",920
"41","nestedness",5.80625434007672,"SAFE",920
"42","nestedness",14.2612618054752,"Texas",920
"43","nestedness",13.6355615547684,"Beth_cr",922
"44","nestedness",21.7573566306357,"hernani_dryforestdry",922
"45","nestedness",15.7931992783912,"hernani_dryforestwet",922
"46","nestedness",20.0634441537635,"hernani_rainforestdry",922
"47","nestedness",10.6813587616588,"Jamaica",922
"48","nestedness",5.80322314472827,"SAFE",922
"49","nestedness",14.2118659540886,"Texas",922
"50","nestedness",14.0078382299764,"Beth_cr",924
"51","nestedness",21.3912407550141,"hernani_dryforestdry",924
"52","nestedness",15.7939004911524,"hernani_dryforestwet",924
"53","nestedness",19.5210027667226,"hernani_rainforestdry",924
"54","nestedness",10.2691318648315,"Jamaica",924
"55","nestedness",5.82348075778646,"SAFE",924
"56","nestedness",14.3247247191697,"Texas",924
"57","nestedness",12.9979023821109,"Beth_cr",926
"58","nestedness",21.540756408482,"hernani_dryforestdry",926
"59","nestedness",15.8204072249293,"hernani_dryforestwet",926
"60","nestedness",19.2647501810329,"hernani_rainforestdry",926
"61","nestedness",10.3151759825658,"Jamaica",926
"62","nestedness",5.83701255986703,"SAFE",926
"63","nestedness",14.4207291428127,"Texas",926
"64","nestedness",13.0284790756394,"Beth_cr",928
"65","nestedness",21.5494221707253,"hernani_dryforestdry",928
"66","nestedness",15.6695322060791,"hernani_dryforestwet",928
"67","nestedness",19.2655454998189,"hernani_rainforestdry",928
