"","metric","value","network","clustering"
"1","niche.overlap.HL",0.352170571117604,"Beth_cr",910
"2","niche.overlap.HL",0.124608456282649,"hernani_dryforestdry",910
"3","niche.overlap.HL",0.36408266066385,"hernani_dryforestwet",910
"4","niche.overlap.HL",0.10646843987858,"hernani_rainforestdry",910
"5","niche.overlap.HL",0.274262305239023,"Jamaica",910
"6","niche.overlap.HL",0.123245782610763,"SAFE",910
"7","niche.overlap.HL",0.317893788659864,"Texas",910
"8","niche.overlap.HL",0.321657882220031,"Beth_cr",912
"9","niche.overlap.HL",0.112842843689535,"hernani_dryforestdry",912
"10","niche.overlap.HL",0.331638601047568,"hernani_dryforestwet",912
"11","niche.overlap.HL",0.0741503120432949,"hernani_rainforestdry",912
"12","niche.overlap.HL",0.266915621085161,"Jamaica",912
"13","niche.overlap.HL",0.108767693944629,"SAFE",912
"14","niche.overlap.HL",0.287307777193871,"Texas",912
"15","niche.overlap.HL",0.307021998258088,"Beth_cr",914
"16","niche.overlap.HL",0.109489797102454,"hernani_dryforestdry",914
"17","niche.overlap.HL",0.301301505398285,"hernani_dryforestwet",914
"18","niche.overlap.HL",0.0690103885692726,"hernani_rainforestdry",914
"19","niche.overlap.HL",0.25942097286544,"Jamaica",914
"20","niche.overlap.HL",0.110420326181754,"SAFE",914
"21","niche.overlap.HL",0.297020274639097,"Texas",914
"22","niche.overlap.HL",0.303115392215946,"Beth_cr",916
"23","niche.overlap.HL",0.109107770108658,"hernani_dryforestdry",916
"24","niche.overlap.HL",0.302116418885419,"hernani_dryforestwet",916
"25","niche.overlap.HL",0.0659806652291594,"hernani_rainforestdry",916
"26","niche.overlap.HL",0.257340403434388,"Jamaica",916
"27","niche.overlap.HL",0.108455650209624,"SAFE",916
"28","niche.overlap.HL",0.295825535495707,"Texas",916
"29","niche.overlap.HL",0.264704153627538,"Beth_cr",918
"30","niche.overlap.HL",0.104165669608491,"hernani_dryforestdry",918
"31","niche.overlap.HL",0.28981058096006,"hernani_dryforestwet",918
"32","niche.overlap.HL",0.0494565948874057,"hernani_rainforestdry",918
"33","niche.overlap.HL",0.250694248590084,"Jamaica",918
"34","niche.overlap.HL",0.0986746548460408,"SAFE",918
"35","niche.overlap.HL",0.268646920168489,"Texas",918
"36","niche.overlap.HL",0.271704602081539,"Beth_cr",920
"37","niche.overlap.HL",0.110819518797074,"hernani_dryforestdry",920
"38","niche.overlap.HL",0.28661125463717,"hernani_dryforestwet",920
"39","niche.overlap.HL",0.0498413744169443,"hernani_rainforestdry",920
"40","niche.overlap.HL",0.231694818421408,"Jamaica",920
"41","niche.overlap.HL",0.0993783645727522,"SAFE",920
"42","niche.overlap.HL",0.274997984913938,"Texas",920
"43","niche.overlap.HL",0.274281580629103,"Beth_cr",922
"44","niche.overlap.HL",0.110804300762577,"hernani_dryforestdry",922
"45","niche.overlap.HL",0.279996181481414,"hernani_dryforestwet",922
"46","niche.overlap.HL",0.0503033186315571,"hernani_rainforestdry",922
"47","niche.overlap.HL",0.228123802812238,"Jamaica",922
"48","niche.overlap.HL",0.0977079172310211,"SAFE",922
"49","niche.overlap.HL",0.275337419514963,"Texas",922
"50","niche.overlap.HL",0.214564374204842,"Beth_cr",924
"51","niche.overlap.HL",0.0875809428309723,"hernani_dryforestdry",924
"52","niche.overlap.HL",0.268124405555679,"hernani_dryforestwet",924
"53","niche.overlap.HL",0.0426350828132411,"hernani_rainforestdry",924
"54","niche.overlap.HL",0.207357813960321,"Jamaica",924
"55","niche.overlap.HL",0.0932512561083035,"SAFE",924
"56","niche.overlap.HL",0.246882275444019,"Texas",924
"57","niche.overlap.HL",0.222631205723538,"Beth_cr",926
"58","niche.overlap.HL",0.0880745454482594,"hernani_dryforestdry",926
