"","metric","value","network","clustering"
"1","number of compartments",1,"Beth_cr",910
"2","number of compartments",2,"hernani_dryforestdry",910
"3","number of compartments",1,"hernani_dryforestwet",910
"4","number of compartments",1,"hernani_rainforestdry",910
"5","number of compartments",1,"Jamaica",910
"6","number of compartments",2,"SAFE",910
"7","number of compartments",1,"Texas",910
"8","number of compartments",1,"Beth_cr",912
"9","number of compartments",2,"hernani_dryforestdry",912
"10","number of compartments",1,"hernani_dryforestwet",912
"11","number of compartments",1,"hernani_rainforestdry",912
"12","number of compartments",1,"Jamaica",912
"13","number of compartments",2,"SAFE",912
"14","number of compartments",1,"Texas",912
"15","number of compartments",1,"Beth_cr",914
"16","number of compartments",2,"hernani_dryforestdry",914
"17","number of compartments",1,"hernani_dryforestwet",914
"18","number of compartments",1,"hernani_rainforestdry",914
"19","number of compartments",1,"Jamaica",914
"20","number of compartments",2,"SAFE",914
"21","number of compartments",1,"Texas",914
"22","number of compartments",1,"Beth_cr",916
"23","number of compartments",2,"hernani_dryforestdry",916
"24","number of compartments",1,"hernani_dryforestwet",916
"25","number of compartments",1,"hernani_rainforestdry",916
"26","number of compartments",1,"Jamaica",916
"27","number of compartments",2,"SAFE",916
"28","number of compartments",1,"Texas",916
"29","number of compartments",1,"Beth_cr",918
"30","number of compartments",2,"hernani_dryforestdry",918
"31","number of compartments",1,"hernani_dryforestwet",918
"32","number of compartments",1,"hernani_rainforestdry",918
"33","number of compartments",1,"Jamaica",918
"34","number of compartments",2,"SAFE",918
"35","number of compartments",1,"Texas",918
"36","number of compartments",1,"Beth_cr",920
"37","number of compartments",2,"hernani_dryforestdry",920
"38","number of compartments",1,"hernani_dryforestwet",920
"39","number of compartments",1,"hernani_rainforestdry",920
"40","number of compartments",1,"Jamaica",920
"41","number of compartments",2,"SAFE",920
"42","number of compartments",1,"Texas",920
"43","number of compartments",1,"Beth_cr",922
"44","number of compartments",2,"hernani_dryforestdry",922
"45","number of compartments",1,"hernani_dryforestwet",922
"46","number of compartments",1,"hernani_rainforestdry",922
"47","number of compartments",1,"Jamaica",922
"48","number of compartments",2,"SAFE",922
"49","number of compartments",1,"Texas",922
"50","number of compartments",1,"Beth_cr",924
"51","number of compartments",2,"hernani_dryforestdry",924
"52","number of compartments",1,"hernani_dryforestwet",924
"53","number of compartments",1,"hernani_rainforestdry",924
"54","number of compartments",1,"Jamaica",924
"55","number of compartments",2,"SAFE",924
"56","number of compartments",1,"Texas",924
"57","number of compartments",1,"Beth_cr",926
"58","number of compartments",2,"hernani_dryforestdry",926
"59","number of compartments",1,"hernani_dryforestwet",926
"60","number of compartments",1,"hernani_rainforestdry",926
"61","number of compartments",1,"Jamaica",926
"62","number of compartments",2,"SAFE",926
"63","number of compartments",1,"Texas",926
"64","number of compartments",1,"Beth_cr",928
"65","number of compartments",2,"hernani_dryforestdry",928
"66","number of compartments",1,"hernani_dryforestwet",928
"67","number of compartments",1,"hernani_rainforestdry",928
"68","number of compartments",1,"Jamaica",928
"69","number of compartments",2,"SAFE",928
"70","number of compartments",1,"Texas",928
"71","number of compartments",1,"Beth_cr",930
"72","number of compartments",2,"hernani_dryforestdry",930
"73","number of compartments",1,"hernani_dryforestwet",930
"74","number of compartments",1,"hernani_rainforestdry",930
"75","number of compartments",1,"Jamaica",930
"76","number of compartments",2,"SAFE",930
"77","number of compartments",1,"Texas",930
"78","number of compartments",1,"Beth_cr",932
"79","number of compartments",2,"hernani_dryforestdry",932
"80","number of compartments",1,"hernani_dryforestwet",932
"81","number of compartments",1,"hernani_rainforestdry",932
"82","number of compartments",1,"Jamaica",932
"83","number of compartments",2,"SAFE",932
"84","number of compartments",1,"Texas",932
"85","number of compartments",1,"Beth_cr",934
"86","number of compartments",2,"hernani_dryforestdry",934
"87","number of compartments",1,"hernani_dryforestwet",934
"88","number of compartments",1,"hernani_rainforestdry",934
"89","number of compartments",1,"Jamaica",934
"90","number of compartments",2,"SAFE",934
"91","number of compartments",1,"Texas",934
"92","number of compartments",1,"Beth_cr",936
"93","number of compartments",2,"hernani_dryforestdry",936
"94","number of compartments",1,"hernani_dryforestwet",936
"95","number of compartments",1,"hernani_rainforestdry",936
"96","number of compartments",1,"Jamaica",936
"97","number of compartments",2,"SAFE",936
"98","number of compartments",1,"Texas",936
"99","number of compartments",1,"Beth_cr",938
"100","number of compartments",2,"hernani_dryforestdry",938
"101","number of compartments",1,"hernani_dryforestwet",938
"102","number of compartments",1,"hernani_rainforestdry",938
"103","number of compartments",1,"Jamaica",938
"104","number of compartments",2,"SAFE",938
"105","number of compartments",1,"Texas",938
"106","number of compartments",1,"Beth_cr",940
"107","number of compartments",2,"hernani_dryforestdry",940
"108","number of compartments",1,"hernani_dryforestwet",940
"109","number of compartments",1,"hernani_rainforestdry",940
"110","number of compartments",1,"Jamaica",940
"111","number of compartments",2,"SAFE",940
"112","number of compartments",1,"Texas",940
"113","number of compartments",1,"Beth_cr",942
"114","number of compartments",2,"hernani_dryforestdry",942
"115","number of compartments",1,"hernani_dryforestwet",942
"116","number of compartments",1,"hernani_rainforestdry",942
"117","number of compartments",1,"Jamaica",942
"118","number of compartments",2,"SAFE",942
"119","number of compartments",1,"Texas",942
"120","number of compartments",1,"Beth_cr",944
"121","number of compartments",2,"hernani_dryforestdry",944
"122","number of compartments",1,"hernani_dryforestwet",944
"123","number of compartments",1,"hernani_rainforestdry",944
"124","number of compartments",1,"Jamaica",944
"125","number of compartments",2,"SAFE",944
"126","number of compartments",1,"Texas",944
"127","number of compartments",1,"Beth_cr",946
"128","number of compartments",2,"hernani_dryforestdry",946
"129","number of compartments",1,"hernani_dryforestwet",946
"130","number of compartments",1,"hernani_rainforestdry",946
"131","number of compartments",1,"Jamaica",946
"132","number of compartments",2,"SAFE",946
"133","number of compartments",1,"Texas",946
"134","number of compartments",1,"Beth_cr",948
