"","metric","value","network","clustering"
"1","number.of.species.HL",11,"Beth_cr",910
"2","number.of.species.HL",7,"hernani_dryforestdry",910
"3","number.of.species.HL",9,"hernani_dryforestwet",910
"4","number.of.species.HL",8,"hernani_rainforestdry",910
"5","number.of.species.HL",13,"Jamaica",910
"6","number.of.species.HL",22,"SAFE",910
"7","number.of.species.HL",16,"Texas",910
"8","number.of.species.HL",11,"Beth_cr",912
"9","number.of.species.HL",7,"hernani_dryforestdry",912
"10","number.of.species.HL",9,"hernani_dryforestwet",912
"11","number.of.species.HL",8,"hernani_rainforestdry",912
"12","number.of.species.HL",13,"Jamaica",912
"13","number.of.species.HL",22,"SAFE",912
"14","number.of.species.HL",16,"Texas",912
"15","number.of.species.HL",11,"Beth_cr",914
"16","number.of.species.HL",7,"hernani_dryforestdry",914
"17","number.of.species.HL",9,"hernani_dryforestwet",914
"18","number.of.species.HL",8,"hernani_rainforestdry",914
"19","number.of.species.HL",13,"Jamaica",914
"20","number.of.species.HL",22,"SAFE",914
"21","number.of.species.HL",16,"Texas",914
"22","number.of.species.HL",11,"Beth_cr",916
"23","number.of.species.HL",7,"hernani_dryforestdry",916
"24","number.of.species.HL",9,"hernani_dryforestwet",916
"25","number.of.species.HL",8,"hernani_rainforestdry",916
"26","number.of.species.HL",13,"Jamaica",916
"27","number.of.species.HL",22,"SAFE",916
"28","number.of.species.HL",16,"Texas",916
"29","number.of.species.HL",11,"Beth_cr",918
"30","number.of.species.HL",7,"hernani_dryforestdry",918
"31","number.of.species.HL",9,"hernani_dryforestwet",918
"32","number.of.species.HL",8,"hernani_rainforestdry",918
"33","number.of.species.HL",13,"Jamaica",918
"34","number.of.species.HL",22,"SAFE",918
"35","number.of.species.HL",16,"Texas",918
"36","number.of.species.HL",11,"Beth_cr",920
"37","number.of.species.HL",7,"hernani_dryforestdry",920
"38","number.of.species.HL",9,"hernani_dryforestwet",920
"39","number.of.species.HL",8,"hernani_rainforestdry",920
"40","number.of.species.HL",13,"Jamaica",920
"41","number.of.species.HL",22,"SAFE",920
"42","number.of.species.HL",16,"Texas",920
"43","number.of.species.HL",11,"Beth_cr",922
"44","number.of.species.HL",7,"hernani_dryforestdry",922
"45","number.of.species.HL",9,"hernani_dryforestwet",922
"46","number.of.species.HL",8,"hernani_rainforestdry",922
"47","number.of.species.HL",13,"Jamaica",922
"48","number.of.species.HL",22,"SAFE",922
"49","number.of.species.HL",16,"Texas",922
"50","number.of.species.HL",11,"Beth_cr",924
"51","number.of.species.HL",7,"hernani_dryforestdry",924
"52","number.of.species.HL",9,"hernani_dryforestwet",924
"53","number.of.species.HL",8,"hernani_rainforestdry",924
"54","number.of.species.HL",13,"Jamaica",924
"55","number.of.species.HL",22,"SAFE",924
"56","number.of.species.HL",16,"Texas",924
"57","number.of.species.HL",11,"Beth_cr",926
"58","number.of.species.HL",7,"hernani_dryforestdry",926
"59","number.of.species.HL",9,"hernani_dryforestwet",926
"60","number.of.species.HL",8,"hernani_rainforestdry",926
"61","number.of.species.HL",13,"Jamaica",926
"62","number.of.species.HL",22,"SAFE",926
"63","number.of.species.HL",16,"Texas",926
"64","number.of.species.HL",11,"Beth_cr",928
"65","number.of.species.HL",7,"hernani_dryforestdry",928
"66","number.of.species.HL",9,"hernani_dryforestwet",928
"67","number.of.species.HL",8,"hernani_rainforestdry",928
"68","number.of.species.HL",13,"Jamaica",928
"69","number.of.species.HL",22,"SAFE",928
"70","number.of.species.HL",16,"Texas",928
"71","number.of.species.HL",11,"Beth_cr",930
"72","number.of.species.HL",7,"hernani_dryforestdry",930
"73","number.of.species.HL",9,"hernani_dryforestwet",930
"74","number.of.species.HL",8,"hernani_rainforestdry",930
"75","number.of.species.HL",13,"Jamaica",930
"76","number.of.species.HL",22,"SAFE",930
"77","number.of.species.HL",16,"Texas",930
"78","number.of.species.HL",11,"Beth_cr",932
"79","number.of.species.HL",7,"hernani_dryforestdry",932
"80","number.of.species.HL",9,"hernani_dryforestwet",932
"81","number.of.species.HL",8,"hernani_rainforestdry",932
"82","number.of.species.HL",13,"Jamaica",932
"83","number.of.species.HL",22,"SAFE",932
"84","number.of.species.HL",16,"Texas",932
"85","number.of.species.HL",11,"Beth_cr",934
"86","number.of.species.HL",7,"hernani_dryforestdry",934
"87","number.of.species.HL",9,"hernani_dryforestwet",934
"88","number.of.species.HL",8,"hernani_rainforestdry",934
"89","number.of.species.HL",13,"Jamaica",934
"90","number.of.species.HL",22,"SAFE",934
"91","number.of.species.HL",16,"Texas",934
"92","number.of.species.HL",11,"Beth_cr",936
"93","number.of.species.HL",7,"hernani_dryforestdry",936
"94","number.of.species.HL",9,"hernani_dryforestwet",936
"95","number.of.species.HL",8,"hernani_rainforestdry",936
"96","number.of.species.HL",13,"Jamaica",936
"97","number.of.species.HL",22,"SAFE",936
"98","number.of.species.HL",16,"Texas",936
"99","number.of.species.HL",11,"Beth_cr",938
"100","number.of.species.HL",7,"hernani_dryforestdry",938
"101","number.of.species.HL",9,"hernani_dryforestwet",938
"102","number.of.species.HL",8,"hernani_rainforestdry",938
"103","number.of.species.HL",13,"Jamaica",938
"104","number.of.species.HL",22,"SAFE",938
"105","number.of.species.HL",16,"Texas",938
"106","number.of.species.HL",11,"Beth_cr",940
"107","number.of.species.HL",7,"hernani_dryforestdry",940
"108","number.of.species.HL",9,"hernani_dryforestwet",940
"109","number.of.species.HL",8,"hernani_rainforestdry",940
"110","number.of.species.HL",13,"Jamaica",940
"111","number.of.species.HL",22,"SAFE",940
"112","number.of.species.HL",16,"Texas",940
"113","number.of.species.HL",11,"Beth_cr",942
"114","number.of.species.HL",7,"hernani_dryforestdry",942
"115","number.of.species.HL",9,"hernani_dryforestwet",942
"116","number.of.species.HL",8,"hernani_rainforestdry",942
"117","number.of.species.HL",13,"Jamaica",942
"118","number.of.species.HL",22,"SAFE",942
"119","number.of.species.HL",16,"Texas",942
"120","number.of.species.HL",11,"Beth_cr",944
"121","number.of.species.HL",7,"hernani_dryforestdry",944
"122","number.of.species.HL",9,"hernani_dryforestwet",944
"123","number.of.species.HL",8,"hernani_rainforestdry",944
"124","number.of.species.HL",13,"Jamaica",944
"125","number.of.species.HL",22,"SAFE",944
"126","number.of.species.HL",16,"Texas",944
"127","number.of.species.HL",11,"Beth_cr",946
"128","number.of.species.HL",7,"hernani_dryforestdry",946
"129","number.of.species.HL",9,"hernani_dryforestwet",946
"130","number.of.species.HL",8,"hernani_rainforestdry",946
"131","number.of.species.HL",13,"Jamaica",946
