"","metric","value","network","clustering"
"1","number.of.species.LL",534,"Beth_cr",910
"2","number.of.species.LL",336,"hernani_dryforestdry",910
"3","number.of.species.LL",371,"hernani_dryforestwet",910
"4","number.of.species.LL",228,"hernani_rainforestdry",910
"5","number.of.species.LL",804,"Jamaica",910
"6","number.of.species.LL",1036,"SAFE",910
"7","number.of.species.LL",697,"Texas",910
"8","number.of.species.LL",607,"Beth_cr",912
"9","number.of.species.LL",378,"hernani_dryforestdry",912
"10","number.of.species.LL",409,"hernani_dryforestwet",912
"11","number.of.species.LL",245,"hernani_rainforestdry",912
"12","number.of.species.LL",900,"Jamaica",912
"13","number.of.species.LL",1129,"SAFE",912
"14","number.of.species.LL",784,"Texas",912
"15","number.of.species.LL",614,"Beth_cr",914
"16","number.of.species.LL",377,"hernani_dryforestdry",914
"17","number.of.species.LL",407,"hernani_dryforestwet",914
"18","number.of.species.LL",243,"hernani_rainforestdry",914
"19","number.of.species.LL",899,"Jamaica",914
"20","number.of.species.LL",1125,"SAFE",914
"21","number.of.species.LL",784,"Texas",914
"22","number.of.species.LL",618,"Beth_cr",916
"23","number.of.species.LL",376,"hernani_dryforestdry",916
"24","number.of.species.LL",407,"hernani_dryforestwet",916
"25","number.of.species.LL",245,"hernani_rainforestdry",916
"26","number.of.species.LL",903,"Jamaica",916
"27","number.of.species.LL",1130,"SAFE",916
"28","number.of.species.LL",786,"Texas",916
"29","number.of.species.LL",700,"Beth_cr",918
"30","number.of.species.LL",431,"hernani_dryforestdry",918
"31","number.of.species.LL",454,"hernani_dryforestwet",918
"32","number.of.species.LL",259,"hernani_rainforestdry",918
"33","number.of.species.LL",1005,"Jamaica",918
"34","number.of.species.LL",1215,"SAFE",918
"35","number.of.species.LL",857,"Texas",918
"36","number.of.species.LL",712,"Beth_cr",920
"37","number.of.species.LL",432,"hernani_dryforestdry",920
"38","number.of.species.LL",453,"hernani_dryforestwet",920
"39","number.of.species.LL",258,"hernani_rainforestdry",920
"40","number.of.species.LL",1009,"Jamaica",920
"41","number.of.species.LL",1214,"SAFE",920
"42","number.of.species.LL",860,"Texas",920
"43","number.of.species.LL",711,"Beth_cr",922
"44","number.of.species.LL",432,"hernani_dryforestdry",922
"45","number.of.species.LL",455,"hernani_dryforestwet",922
"46","number.of.species.LL",258,"hernani_rainforestdry",922
"47","number.of.species.LL",1019,"Jamaica",922
"48","number.of.species.LL",1221,"SAFE",922
"49","number.of.species.LL",859,"Texas",922
"50","number.of.species.LL",808,"Beth_cr",924
"51","number.of.species.LL",485,"hernani_dryforestdry",924
"52","number.of.species.LL",497,"hernani_dryforestwet",924
"53","number.of.species.LL",279,"hernani_rainforestdry",924
"54","number.of.species.LL",1152,"Jamaica",924
"55","number.of.species.LL",1335,"SAFE",924
"56","number.of.species.LL",931,"Texas",924
"57","number.of.species.LL",822,"Beth_cr",926
"58","number.of.species.LL",491,"hernani_dryforestdry",926
"59","number.of.species.LL",497,"hernani_dryforestwet",926
"60","number.of.species.LL",286,"hernani_rainforestdry",926
"61","number.of.species.LL",1160,"Jamaica",926
"62","number.of.species.LL",1344,"SAFE",926
"63","number.of.species.LL",944,"Texas",926
"64","number.of.species.LL",820,"Beth_cr",928
"65","number.of.species.LL",491,"hernani_dryforestdry",928
"66","number.of.species.LL",496,"hernani_dryforestwet",928
"67","number.of.species.LL",284,"hernani_rainforestdry",928
"68","number.of.species.LL",1168,"Jamaica",928
"69","number.of.species.LL",1346,"SAFE",928
"70","number.of.species.LL",950,"Texas",928
"71","number.of.species.LL",948,"Beth_cr",930
"72","number.of.species.LL",545,"hernani_dryforestdry",930
"73","number.of.species.LL",556,"hernani_dryforestwet",930
"74","number.of.species.LL",303,"hernani_rainforestdry",930
"75","number.of.species.LL",1310,"Jamaica",930
"76","number.of.species.LL",1487,"SAFE",930
"77","number.of.species.LL",1059,"Texas",930
"78","number.of.species.LL",981,"Beth_cr",932
"79","number.of.species.LL",548,"hernani_dryforestdry",932
"80","number.of.species.LL",557,"hernani_dryforestwet",932
"81","number.of.species.LL",303,"hernani_rainforestdry",932
"82","number.of.species.LL",1314,"Jamaica",932
"83","number.of.species.LL",1492,"SAFE",932
"84","number.of.species.LL",1074,"Texas",932
"85","number.of.species.LL",977,"Beth_cr",934
"86","number.of.species.LL",545,"hernani_dryforestdry",934
"87","number.of.species.LL",553,"hernani_dryforestwet",934
"88","number.of.species.LL",304,"hernani_rainforestdry",934
"89","number.of.species.LL",1313,"Jamaica",934
"90","number.of.species.LL",1500,"SAFE",934
"91","number.of.species.LL",1084,"Texas",934
"92","number.of.species.LL",999,"Beth_cr",936
"93","number.of.species.LL",560,"hernani_dryforestdry",936
"94","number.of.species.LL",565,"hernani_dryforestwet",936
"95","number.of.species.LL",313,"hernani_rainforestdry",936
"96","number.of.species.LL",1368,"Jamaica",936
"97","number.of.species.LL",1571,"SAFE",936
"98","number.of.species.LL",1137,"Texas",936
"99","number.of.species.LL",1142,"Beth_cr",938
"100","number.of.species.LL",605,"hernani_dryforestdry",938
"101","number.of.species.LL",632,"hernani_dryforestwet",938
"102","number.of.species.LL",330,"hernani_rainforestdry",938
"103","number.of.species.LL",1544,"Jamaica",938
"104","number.of.species.LL",1678,"SAFE",938
"105","number.of.species.LL",1277,"Texas",938
"106","number.of.species.LL",1157,"Beth_cr",940
"107","number.of.species.LL",606,"hernani_dryforestdry",940
"108","number.of.species.LL",631,"hernani_dryforestwet",940
"109","number.of.species.LL",332,"hernani_rainforestdry",940
"110","number.of.species.LL",1592,"Jamaica",940
"111","number.of.species.LL",1693,"SAFE",940
"112","number.of.species.LL",1310,"Texas",940
"113","number.of.species.LL",1174,"Beth_cr",942
"114","number.of.species.LL",615,"hernani_dryforestdry",942
"115","number.of.species.LL",641,"hernani_dryforestwet",942
"116","number.of.species.LL",342,"hernani_rainforestdry",942
"117","number.of.species.LL",1611,"Jamaica",942
"118","number.of.species.LL",1730,"SAFE",942
"119","number.of.species.LL",1327,"Texas",942
"120","number.of.species.LL",1399,"Beth_cr",944
"121","number.of.species.LL",699,"hernani_dryforestdry",944
"122","number.of.species.LL",721,"hernani_dryforestwet",944
"123","number.of.species.LL",366,"hernani_rainforestdry",944
"124","number.of.species.LL",1873,"Jamaica",944
"125","number.of.species.LL",1936,"SAFE",944
"126","number.of.species.LL",1536,"Texas",944
"127","number.of.species.LL",1392,"Beth_cr",946
"128","number.of.species.LL",702,"hernani_dryforestdry",946
"129","number.of.species.LL",724,"hernani_dryforestwet",946
"130","number.of.species.LL",367,"hernani_rainforestdry",946
"131","number.of.species.LL",1852,"Jamaica",946
"132","number.of.species.LL",1933,"SAFE",946
"133","number.of.species.LL",1528,"Texas",946
"134","number.of.species.LL",1396,"Beth_cr",948
"135","number.of.species.LL",702,"hernani_dryforestdry",948
"136","number.of.species.LL",726,"hernani_dryforestwet",948
"137","number.of.species.LL",368,"hernani_rainforestdry",948
"138","number.of.species.LL",1856,"Jamaica",948
"139","number.of.species.LL",1937,"SAFE",948
"140","number.of.species.LL",1531,"Texas",948
"141","number.of.species.LL",1731,"Beth_cr",950
"142","number.of.species.LL",813,"hernani_dryforestdry",950
"143","number.of.species.LL",841,"hernani_dryforestwet",950
"144","number.of.species.LL",427,"hernani_rainforestdry",950
"145","number.of.species.LL",2249,"Jamaica",950
"146","number.of.species.LL",2218,"SAFE",950
