"","metric","value","network","clustering"
"1","partner.diversity.HL",4.85414068996501,"Beth_cr",910
"2","partner.diversity.HL",4.57724944442684,"hernani_dryforestdry",910
"3","partner.diversity.HL",4.59029421426144,"hernani_dryforestwet",910
"4","partner.diversity.HL",4.06379105293001,"hernani_rainforestdry",910
"5","partner.diversity.HL",5.22417592846613,"Jamaica",910
"6","partner.diversity.HL",5.05716863765334,"SAFE",910
"7","partner.diversity.HL",4.59424923447253,"Texas",910
"8","partner.diversity.HL",4.94125701267131,"Beth_cr",912
"9","partner.diversity.HL",4.68963040472274,"hernani_dryforestdry",912
"10","partner.diversity.HL",4.68868025486077,"hernani_dryforestwet",912
"11","partner.diversity.HL",4.13382413820389,"hernani_rainforestdry",912
"12","partner.diversity.HL",5.29871647984941,"Jamaica",912
"13","partner.diversity.HL",5.12568586817738,"SAFE",912
"14","partner.diversity.HL",4.62733279230621,"Texas",912
"15","partner.diversity.HL",4.94882117402883,"Beth_cr",914
"16","partner.diversity.HL",4.69266093305824,"hernani_dryforestdry",914
"17","partner.diversity.HL",4.69796134839054,"hernani_dryforestwet",914
"18","partner.diversity.HL",4.10413810051482,"hernani_rainforestdry",914
"19","partner.diversity.HL",5.30426459639756,"Jamaica",914
"20","partner.diversity.HL",5.1292012056096,"SAFE",914
"21","partner.diversity.HL",4.61966452197528,"Texas",914
"22","partner.diversity.HL",4.96366458995052,"Beth_cr",916
"23","partner.diversity.HL",4.69283230504329,"hernani_dryforestdry",916
"24","partner.diversity.HL",4.69220525752652,"hernani_dryforestwet",916
"25","partner.diversity.HL",4.10050306107833,"hernani_rainforestdry",916
"26","partner.diversity.HL",5.30943431575811,"Jamaica",916
"27","partner.diversity.HL",5.13167284148983,"SAFE",916
"28","partner.diversity.HL",4.62147593712553,"Texas",916
"29","partner.diversity.HL",5.07669457861127,"Beth_cr",918
"30","partner.diversity.HL",4.80960553325752,"hernani_dryforestdry",918
"31","partner.diversity.HL",4.80261674737655,"hernani_dryforestwet",918
"32","partner.diversity.HL",4.15783399109675,"hernani_rainforestdry",918
"33","partner.diversity.HL",5.38479537815234,"Jamaica",918
"34","partner.diversity.HL",5.17830455289425,"SAFE",918
"35","partner.diversity.HL",4.69978820648806,"Texas",918
"36","partner.diversity.HL",5.08907707685487,"Beth_cr",920
"37","partner.diversity.HL",4.8089983700675,"hernani_dryforestdry",920
"38","partner.diversity.HL",4.79612545699414,"hernani_dryforestwet",920
"39","partner.diversity.HL",4.15082535468312,"hernani_rainforestdry",920
"40","partner.diversity.HL",5.40195161828396,"Jamaica",920
"41","partner.diversity.HL",5.18300554019165,"SAFE",920
"42","partner.diversity.HL",4.67852122580035,"Texas",920
"43","partner.diversity.HL",5.08493114275632,"Beth_cr",922
"44","partner.diversity.HL",4.80406767531609,"hernani_dryforestdry",922
"45","partner.diversity.HL",4.80107453728204,"hernani_dryforestwet",922
"46","partner.diversity.HL",4.14934306532402,"hernani_rainforestdry",922
"47","partner.diversity.HL",5.40633074275628,"Jamaica",922
"48","partner.diversity.HL",5.18829241279798,"SAFE",922
"49","partner.diversity.HL",4.67984047498388,"Texas",922
