"","metric","value","network","clustering"
"1","robustness.LL",0.586922033942239,"Beth_cr",910
"2","robustness.LL",0.558619335854668,"hernani_dryforestdry",910
"3","robustness.LL",0.57965722492727,"hernani_dryforestwet",910
"4","robustness.LL",0.51853482449304,"hernani_rainforestdry",910
"5","robustness.LL",0.628410290754132,"Jamaica",910
"6","robustness.LL",0.582753899043054,"SAFE",910
"7","robustness.LL",0.627161627745891,"Texas",910
"8","robustness.LL",0.605579014595453,"Beth_cr",912
"9","robustness.LL",0.578541150850502,"hernani_dryforestdry",912
"10","robustness.LL",0.593092873390866,"hernani_dryforestwet",912
"11","robustness.LL",0.516185263069528,"hernani_rainforestdry",912
"12","robustness.LL",0.63169742705185,"Jamaica",912
"13","robustness.LL",0.578080652626195,"SAFE",912
"14","robustness.LL",0.617308117237023,"Texas",912
"15","robustness.LL",0.590074294069714,"Beth_cr",914
"16","robustness.LL",0.564376272850615,"hernani_dryforestdry",914
"17","robustness.LL",0.576213157805728,"hernani_dryforestwet",914
"18","robustness.LL",0.514179636107658,"hernani_rainforestdry",914
"19","robustness.LL",0.609848734859954,"Jamaica",914
"20","robustness.LL",0.596135890902374,"SAFE",914
"21","robustness.LL",0.613798579752128,"Texas",914
"22","robustness.LL",0.603622681827088,"Beth_cr",916
"23","robustness.LL",0.584311181947778,"hernani_dryforestdry",916
"24","robustness.LL",0.590224736719304,"hernani_dryforestwet",916
"25","robustness.LL",0.523607676423595,"hernani_rainforestdry",916
"26","robustness.LL",0.623889104024909,"Jamaica",916
"27","robustness.LL",0.577812855911159,"SAFE",916
"28","robustness.LL",0.61764827872961,"Texas",916
"29","robustness.LL",0.595134809436829,"Beth_cr",918
"30","robustness.LL",0.5480016479275,"hernani_dryforestdry",918
"31","robustness.LL",0.586328816099214,"hernani_dryforestwet",918
"32","robustness.LL",0.516221937799929,"hernani_rainforestdry",918
"33","robustness.LL",0.600739980228899,"Jamaica",918
"34","robustness.LL",0.572196838264938,"SAFE",918
"35","robustness.LL",0.605646456347331,"Texas",918
"36","robustness.LL",0.564864070369812,"Beth_cr",920
"37","robustness.LL",0.550884903961823,"hernani_dryforestdry",920
"38","robustness.LL",0.560540035525142,"hernani_dryforestwet",920
"39","robustness.LL",0.530944965195471,"hernani_rainforestdry",920
"40","robustness.LL",0.592874240310988,"Jamaica",920
"41","robustness.LL",0.577217120930457,"SAFE",920
"42","robustness.LL",0.603398113336143,"Texas",920
"43","robustness.LL",0.60119256877263,"Beth_cr",922
"44","robustness.LL",0.549135768172043,"hernani_dryforestdry",922
"45","robustness.LL",0.585872724766962,"hernani_dryforestwet",922
"46","robustness.LL",0.528110087420751,"hernani_rainforestdry",922
"47","robustness.LL",0.573575403696299,"Jamaica",922
"48","robustness.LL",0.561436469747374,"SAFE",922
"49","robustness.LL",0.597708603011813,"Texas",922
"50","robustness.LL",0.577658257840639,"Beth_cr",924
"51","robustness.LL",0.555847156947891,"hernani_dryforestdry",924
"52","robustness.LL",0.592099864776625,"hernani_dryforestwet",924
"53","robustness.LL",0.517253404720126,"hernani_rainforestdry",924
"54","robustness.LL",0.589330675938091,"Jamaica",924
"55","robustness.LL",0.583230501342627,"SAFE",924
"56","robustness.LL",0.599523900377975,"Texas",924
"57","robustness.LL",0.568790646741527,"Beth_cr",926
"58","robustness.LL",0.54216576380429,"hernani_dryforestdry",926
"59","robustness.LL",0.549638486660773,"hernani_dryforestwet",926
"60","robustness.LL",0.534176803633805,"hernani_rainforestdry",926
"61","robustness.LL",0.595697980284271,"Jamaica",926
"62","robustness.LL",0.551210647500851,"SAFE",926
"63","robustness.LL",0.597045337873021,"Texas",926
"64","robustness.LL",0.58142430372799,"Beth_cr",928
"65","robustness.LL",0.543841345878187,"hernani_dryforestdry",928
"66","robustness.LL",0.579761919817732,"hernani_dryforestwet",928
"67","robustness.LL",0.495676105031097,"hernani_rainforestdry",928
"68","robustness.LL",0.604283458955512,"Jamaica",928
"69","robustness.LL",0.569317425433793,"SAFE",928
"70","robustness.LL",0.601914773218721,"Texas",928
"71","robustness.LL",0.566721812950834,"Beth_cr",930
"72","robustness.LL",0.52426728853695,"hernani_dryforestdry",930
"73","robustness.LL",0.536825476161184,"hernani_dryforestwet",930
"74","robustness.LL",0.536784634047459,"hernani_rainforestdry",930
"75","robustness.LL",0.606383634821471,"Jamaica",930
"76","robustness.LL",0.562530337973804,"SAFE",930
"77","robustness.LL",0.592872950747175,"Texas",930
"78","robustness.LL",0.562831275571306,"Beth_cr",932
"79","robustness.LL",0.531670771357643,"hernani_dryforestdry",932
"80","robustness.LL",0.550280609866379,"hernani_dryforestwet",932
"81","robustness.LL",0.529983480064902,"hernani_rainforestdry",932
"82","robustness.LL",0.590958144339532,"Jamaica",932
"83","robustness.LL",0.56530148476685,"SAFE",932
"84","robustness.LL",0.583902259526951,"Texas",932
"85","robustness.LL",0.578729807906182,"Beth_cr",934
"86","robustness.LL",0.550994973469287,"hernani_dryforestdry",934
"87","robustness.LL",0.535570293022794,"hernani_dryforestwet",934
"88","robustness.LL",0.516981050525597,"hernani_rainforestdry",934
"89","robustness.LL",0.599289026001948,"Jamaica",934
"90","robustness.LL",0.561197919959024,"SAFE",934
"91","robustness.LL",0.591964260085367,"Texas",934
"92","robustness.LL",0.554533405634013,"Beth_cr",936
"93","robustness.LL",0.536883873690569,"hernani_dryforestdry",936
"94","robustness.LL",0.543468446865755,"hernani_dryforestwet",936
"95","robustness.LL",0.52775436619024,"hernani_rainforestdry",936
"96","robustness.LL",0.577734238872497,"Jamaica",936
"97","robustness.LL",0.572953792958159,"SAFE",936
"98","robustness.LL",0.58009291488095,"Texas",936
"99","robustness.LL",0.538956232208482,"Beth_cr",938
"100","robustness.LL",0.552077089166845,"hernani_dryforestdry",938
"101","robustness.LL",0.557123782072056,"hernani_dryforestwet",938
"102","robustness.LL",0.529327303769751,"hernani_rainforestdry",938
"103","robustness.LL",0.579937860371761,"Jamaica",938
"104","robustness.LL",0.576588184401308,"SAFE",938
"105","robustness.LL",0.579942505103062,"Texas",938
"106","robustness.LL",0.54574728645275,"Beth_cr",940
"107","robustness.LL",0.539049170520811,"hernani_dryforestdry",940
"108","robustness.LL",0.565118861892946,"hernani_dryforestwet",940
"109","robustness.LL",0.514111555552799,"hernani_rainforestdry",940
"110","robustness.LL",0.606428478712404,"Jamaica",940
"111","robustness.LL",0.562846411022817,"SAFE",940
"112","robustness.LL",0.581307128658591,"Texas",940
"113","robustness.LL",0.558371870894619,"Beth_cr",942
"114","robustness.LL",0.53839840426838,"hernani_dryforestdry",942
"115","robustness.LL",0.554798042786478,"hernani_dryforestwet",942
"116","robustness.LL",0.514914612537012,"hernani_rainforestdry",942
"117","robustness.LL",0.573859928297735,"Jamaica",942
"118","robustness.LL",0.570770918075596,"SAFE",942
"119","robustness.LL",0.581640589540307,"Texas",942
"120","robustness.LL",0.55698313778759,"Beth_cr",944
"121","robustness.LL",0.549983688944055,"hernani_dryforestdry",944
"122","robustness.LL",0.557969366113984,"hernani_dryforestwet",944
"123","robustness.LL",0.552724507512885,"hernani_rainforestdry",944
"124","robustness.LL",0.568787263439298,"Jamaica",944
"125","robustness.LL",0.538805817141413,"SAFE",944
"126","robustness.LL",0.568597352936999,"Texas",944
"127","robustness.LL",0.544861254150564,"Beth_cr",946
"128","robustness.LL",0.536936369938653,"hernani_dryforestdry",946
"129","robustness.LL",0.565692481249276,"hernani_dryforestwet",946
"130","robustness.LL",0.531108462882824,"hernani_rainforestdry",946
"131","robustness.LL",0.586640114504877,"Jamaica",946
"132","robustness.LL",0.547173508579576,"SAFE",946
"133","robustness.LL",0.56778889017453,"Texas",946
"134","robustness.LL",0.546237003232569,"Beth_cr",948
"135","robustness.LL",0.533537132271903,"hernani_dryforestdry",948
"136","robustness.LL",0.555184855518878,"hernani_dryforestwet",948
"137","robustness.LL",0.496698105752547,"hernani_rainforestdry",948
"138","robustness.LL",0.581961671420064,"Jamaica",948
"139","robustness.LL",0.565879191399667,"SAFE",948
"140","robustness.LL",0.576250991516947,"Texas",948
"141","robustness.LL",0.540430024235831,"Beth_cr",950
"142","robustness.LL",0.521786209255963,"hernani_dryforestdry",950
"143","robustness.LL",0.546651003374228,"hernani_dryforestwet",950
"144","robustness.LL",0.53227686306626,"hernani_rainforestdry",950
"145","robustness.LL",0.557132986612186,"Jamaica",950
"146","robustness.LL",0.561990631818502,"SAFE",950
"147","robustness.LL",0.553198848210416,"Texas",950
"148","robustness.LL",0.558900516990223,"Beth_cr",952
"149","robustness.LL",0.523648069258308,"hernani_dryforestdry",952
"150","robustness.LL",0.549957584369791,"hernani_dryforestwet",952
"151","robustness.LL",0.52085525499674,"hernani_rainforestdry",952
"152","robustness.LL",0.525206406304574,"Jamaica",952
