"","metric","value","network","clustering"
"1","togetherness.LL",0.160695472123261,"Beth_cr",910
"2","togetherness.LL",0.221982350153992,"hernani_dryforestdry",910
"3","togetherness.LL",0.172271435856342,"hernani_dryforestwet",910
"4","togetherness.LL",0.163266094752299,"hernani_rainforestdry",910
"5","togetherness.LL",0.152155444682535,"Jamaica",910
"6","togetherness.LL",0.0543204721070334,"SAFE",910
"7","togetherness.LL",0.0762463101304441,"Texas",910
"8","togetherness.LL",0.157612416925383,"Beth_cr",912
"9","togetherness.LL",0.219823492811999,"hernani_dryforestdry",912
"10","togetherness.LL",0.178466129728175,"hernani_dryforestwet",912
"11","togetherness.LL",0.163622867179659,"hernani_rainforestdry",912
"12","togetherness.LL",0.146873304259289,"Jamaica",912
"13","togetherness.LL",0.0528362149072865,"SAFE",912
"14","togetherness.LL",0.0685894209216254,"Texas",912
"15","togetherness.LL",0.151489532797353,"Beth_cr",914
"16","togetherness.LL",0.220399006715955,"hernani_dryforestdry",914
"17","togetherness.LL",0.181475048716428,"hernani_dryforestwet",914
"18","togetherness.LL",0.160510832228004,"hernani_rainforestdry",914
"19","togetherness.LL",0.145673991594106,"Jamaica",914
"20","togetherness.LL",0.0535272439699486,"SAFE",914
"21","togetherness.LL",0.068925962985769,"Texas",914
"22","togetherness.LL",0.155407293180106,"Beth_cr",916
"23","togetherness.LL",0.220845153664303,"hernani_dryforestdry",916
"24","togetherness.LL",0.180503140847968,"hernani_dryforestwet",916
"25","togetherness.LL",0.158366092338575,"hernani_rainforestdry",916
"26","togetherness.LL",0.145702688851542,"Jamaica",916
"27","togetherness.LL",0.0535010490396649,"SAFE",916
"28","togetherness.LL",0.0685412817458388,"Texas",916
"29","togetherness.LL",0.151343007016827,"Beth_cr",918
"30","togetherness.LL",0.21845806579255,"hernani_dryforestdry",918
"31","togetherness.LL",0.18296185002577,"hernani_dryforestwet",918
"32","togetherness.LL",0.157029122145401,"hernani_rainforestdry",918
"33","togetherness.LL",0.142902826032992,"Jamaica",918
"34","togetherness.LL",0.0504144389888154,"SAFE",918
"35","togetherness.LL",0.0661178148071408,"Texas",918
"36","togetherness.LL",0.150513598508194,"Beth_cr",920
"37","togetherness.LL",0.21736612385781,"hernani_dryforestdry",920
"38","togetherness.LL",0.184084959659302,"hernani_dryforestwet",920
"39","togetherness.LL",0.158362365396797,"hernani_rainforestdry",920
"40","togetherness.LL",0.147360171907107,"Jamaica",920
"41","togetherness.LL",0.0509596171052159,"SAFE",920
"42","togetherness.LL",0.0644419890624577,"Texas",920
"43","togetherness.LL",0.149848986087175,"Beth_cr",922
"44","togetherness.LL",0.216662549053307,"hernani_dryforestdry",922
"45","togetherness.LL",0.184163237643414,"hernani_dryforestwet",922
"46","togetherness.LL",0.158362365396797,"hernani_rainforestdry",922
"47","togetherness.LL",0.146829933756521,"Jamaica",922
"48","togetherness.LL",0.0511613977540004,"SAFE",922
"49","togetherness.LL",0.0647691402020564,"Texas",922
"50","togetherness.LL",0.148617092192491,"Beth_cr",924
"51","togetherness.LL",0.216288943795973,"hernani_dryforestdry",924
"52","togetherness.LL",0.174444246121893,"hernani_dryforestwet",924
"53","togetherness.LL",0.160439390423145,"hernani_rainforestdry",924
"54","togetherness.LL",0.141723438096157,"Jamaica",924
"55","togetherness.LL",0.0471920406837779,"SAFE",924
"56","togetherness.LL",0.0622803769215666,"Texas",924
"57","togetherness.LL",0.14515856575122,"Beth_cr",926
"58","togetherness.LL",0.212370284162545,"hernani_dryforestdry",926
"59","togetherness.LL",0.175795093139482,"hernani_dryforestwet",926
"60","togetherness.LL",0.16123635136793,"hernani_rainforestdry",926
"61","togetherness.LL",0.142122228975491,"Jamaica",926
"62","togetherness.LL",0.0465276666687179,"SAFE",926
"63","togetherness.LL",0.0620914504960728,"Texas",926
"64","togetherness.LL",0.145137337820265,"Beth_cr",928
"65","togetherness.LL",0.210760353021045,"hernani_dryforestdry",928
"66","togetherness.LL",0.176375855327468,"hernani_dryforestwet",928
"67","togetherness.LL",0.160261036181755,"hernani_rainforestdry",928
"68","togetherness.LL",0.141334199454335,"Jamaica",928
"69","togetherness.LL",0.0466988689632278,"SAFE",928
"70","togetherness.LL",0.0612102074205535,"Texas",928
"71","togetherness.LL",0.142331843693238,"Beth_cr",930
"72","togetherness.LL",0.217965236553337,"hernani_dryforestdry",930
"73","togetherness.LL",0.184781580141292,"hernani_dryforestwet",930
"74","togetherness.LL",0.157646766332262,"hernani_rainforestdry",930
"75","togetherness.LL",0.136604621029536,"Jamaica",930
"76","togetherness.LL",0.0447509140483555,"SAFE",930
"77","togetherness.LL",0.0571718178507741,"Texas",930
"78","togetherness.LL",0.140446025505003,"Beth_cr",932
"79","togetherness.LL",0.21762867131934,"hernani_dryforestdry",932
"80","togetherness.LL",0.185071296643116,"hernani_dryforestwet",932
"81","togetherness.LL",0.158415841584158,"hernani_rainforestdry",932
"82","togetherness.LL",0.137363492985357,"Jamaica",932
"83","togetherness.LL",0.0441003393755245,"SAFE",932
"84","togetherness.LL",0.0568518516108094,"Texas",932
