"","metric","value","network","clustering"
"1","web asymmetry",-0.959633027522936,"Beth_cr",910
"2","web asymmetry",-0.959183673469388,"hernani_dryforestdry",910
"3","web asymmetry",-0.952631578947368,"hernani_dryforestwet",910
"4","web asymmetry",-0.932203389830508,"hernani_rainforestdry",910
"5","web asymmetry",-0.968176254589963,"Jamaica",910
"6","web asymmetry",-0.958412098298677,"SAFE",910
"7","web asymmetry",-0.955119214586255,"Texas",910
"8","web asymmetry",-0.964401294498382,"Beth_cr",912
"9","web asymmetry",-0.963636363636364,"hernani_dryforestdry",912
"10","web asymmetry",-0.956937799043062,"hernani_dryforestwet",912
"11","web asymmetry",-0.936758893280632,"hernani_rainforestdry",912
"12","web asymmetry",-0.971522453450164,"Jamaica",912
"13","web asymmetry",-0.961772371850565,"SAFE",912
"14","web asymmetry",-0.96,"Texas",912
"15","web asymmetry",-0.9648,"Beth_cr",914
"16","web asymmetry",-0.963541666666667,"hernani_dryforestdry",914
"17","web asymmetry",-0.956730769230769,"hernani_dryforestwet",914
"18","web asymmetry",-0.936254980079681,"hernani_rainforestdry",914
"19","web asymmetry",-0.971491228070175,"Jamaica",914
"20","web asymmetry",-0.961639058413252,"SAFE",914
"21","web asymmetry",-0.96,"Texas",914
"22","web asymmetry",-0.965023847376789,"Beth_cr",916
"23","web asymmetry",-0.963446475195822,"hernani_dryforestdry",916
"24","web asymmetry",-0.956730769230769,"hernani_dryforestwet",916
"25","web asymmetry",-0.936758893280632,"hernani_rainforestdry",916
"26","web asymmetry",-0.971615720524017,"Jamaica",916
"27","web asymmetry",-0.961805555555556,"SAFE",916
"28","web asymmetry",-0.960099750623441,"Texas",916
"29","web asymmetry",-0.969057665260197,"Beth_cr",918
"30","web asymmetry",-0.968036529680365,"hernani_dryforestdry",918
"31","web asymmetry",-0.961123110151188,"hernani_dryforestwet",918
"32","web asymmetry",-0.940074906367041,"hernani_rainforestdry",918
"33","web asymmetry",-0.974459724950884,"Jamaica",918
"34","web asymmetry",-0.964430072756669,"SAFE",918
"35","web asymmetry",-0.963344788087056,"Texas",918
"36","web asymmetry",-0.969571230982019,"Beth_cr",920
"37","web asymmetry",-0.968109339407745,"hernani_dryforestdry",920
"38","web asymmetry",-0.961038961038961,"hernani_dryforestwet",920
"39","web asymmetry",-0.93984962406015,"hernani_rainforestdry",920
"40","web asymmetry",-0.974559686888454,"Jamaica",920
"41","web asymmetry",-0.964401294498382,"SAFE",920
"42","web asymmetry",-0.963470319634703,"Texas",920
"43","web asymmetry",-0.969529085872576,"Beth_cr",922
"44","web asymmetry",-0.968109339407745,"hernani_dryforestdry",922
"45","web asymmetry",-0.961206896551724,"hernani_dryforestwet",922
"46","web asymmetry",-0.93984962406015,"hernani_rainforestdry",922
"47","web asymmetry",-0.974806201550388,"Jamaica",922
"48","web asymmetry",-0.964601769911504,"SAFE",922
"49","web asymmetry",-0.963428571428571,"Texas",922
"50","web asymmetry",-0.973137973137973,"Beth_cr",924
"51","web asymmetry",-0.971544715447154,"hernani_dryforestdry",924
"52","web asymmetry",-0.964426877470356,"hernani_dryforestwet",924
"53","web asymmetry",-0.944250871080139,"hernani_rainforestdry",924
"54","web asymmetry",-0.977682403433476,"Jamaica",924
"55","web asymmetry",-0.967575534266765,"SAFE",924
"56","web asymmetry",-0.966209081309398,"Texas",924
"57","web asymmetry",-0.97358943577431,"Beth_cr",926
"58","web asymmetry",-0.971887550200803,"hernani_dryforestdry",926
"59","web asymmetry",-0.964426877470356,"hernani_dryforestwet",926
"60","web asymmetry",-0.945578231292517,"hernani_rainforestdry",926
"61","web asymmetry",-0.977834612105712,"Jamaica",926
"62","web asymmetry",-0.967789165446559,"SAFE",926
"63","web asymmetry",-0.966666666666667,"Texas",926
"64","web asymmetry",-0.97352587244284,"Beth_cr",928
"65","web asymmetry",-0.971887550200803,"hernani_dryforestdry",928
"66","web asymmetry",-0.964356435643564,"hernani_dryforestwet",928
"67","web asymmetry",-0.945205479452055,"hernani_rainforestdry",928
"68","web asymmetry",-0.977984758679086,"Jamaica",928
"69","web asymmetry",-0.967836257309941,"SAFE",928
"70","web asymmetry",-0.966873706004141,"Texas",928
"71","web asymmetry",-0.977059436913452,"Beth_cr",930
"72","web asymmetry",-0.97463768115942,"hernani_dryforestdry",930
"73","web asymmetry",-0.968141592920354,"hernani_dryforestwet",930
"74","web asymmetry",-0.948553054662379,"hernani_rainforestdry",930
"75","web asymmetry",-0.980347694633409,"Jamaica",930
"76","web asymmetry",-0.970841616964877,"SAFE",930
"77","web asymmetry",-0.970232558139535,"Texas",930
"78","web asymmetry",-0.977822580645161,"Beth_cr",932
"79","web asymmetry",-0.974774774774775,"hernani_dryforestdry",932
"80","web asymmetry",-0.968197879858657,"hernani_dryforestwet",932
"81","web asymmetry",-0.948553054662379,"hernani_rainforestdry",932
"82","web asymmetry",-0.980406932931424,"Jamaica",932
"83","web asymmetry",-0.970937912813738,"SAFE",932
"84","web asymmetry",-0.970642201834862,"Texas",932
"85","web asymmetry",-0.977732793522267,"Beth_cr",934
"86","web asymmetry",-0.97463768115942,"hernani_dryforestdry",934
"87","web asymmetry",-0.96797153024911,"hernani_dryforestwet",934
"88","web asymmetry",-0.948717948717949,"hernani_rainforestdry",934
"89","web asymmetry",-0.980392156862745,"Jamaica",934
"90","web asymmetry",-0.971090670170828,"SAFE",934
"91","web asymmetry",-0.970909090909091,"Texas",934
"92","web asymmetry",-0.978217821782178,"Beth_cr",936
"93","web asymmetry",-0.975308641975309,"hernani_dryforestdry",936
"94","web asymmetry",-0.968641114982578,"hernani_dryforestwet",936
"95","web asymmetry",-0.950155763239875,"hernani_rainforestdry",936
"96","web asymmetry",-0.981173062997828,"Jamaica",936
"97","web asymmetry",-0.972379158819837,"SAFE",936
"98","web asymmetry",-0.972246313963573,"Texas",936
"99","web asymmetry",-0.980919340849957,"Beth_cr",938
"100","web asymmetry",-0.977124183006536,"hernani_dryforestdry",938
"101","web asymmetry",-0.97191887675507,"hernani_dryforestwet",938
"102","web asymmetry",-0.952662721893491,"hernani_rainforestdry",938
"103","web asymmetry",-0.98330122029544,"Jamaica",938
"104","web asymmetry",-0.974117647058824,"SAFE",938
"105","web asymmetry",-0.975251353441609,"Texas",938
"106","web asymmetry",-0.981164383561644,"Beth_cr",940
"107","web asymmetry",-0.977161500815661,"hernani_dryforestdry",940
"108","web asymmetry",-0.971875,"hernani_dryforestwet",940
"109","web asymmetry",-0.952941176470588,"hernani_rainforestdry",940
"110","web asymmetry",-0.983800623052959,"Jamaica",940
"111","web asymmetry",-0.974344023323615,"SAFE",940
"112","web asymmetry",-0.975867269984917,"Texas",940
"113","web asymmetry",-0.981434599156118,"Beth_cr",942
"114","web asymmetry",-0.977491961414791,"hernani_dryforestdry",942
"115","web asymmetry",-0.972307692307692,"hernani_dryforestwet",942
"116","web asymmetry",-0.954285714285714,"hernani_rainforestdry",942
"117","web asymmetry",-0.983990147783251,"Jamaica",942
"118","web asymmetry",-0.974885844748858,"SAFE",942
"119","web asymmetry",-0.976172747580045,"Texas",942
"120","web asymmetry",-0.984397163120567,"Beth_cr",944
"121","web asymmetry",-0.980169971671388,"hernani_dryforestdry",944
"122","web asymmetry",-0.975342465753425,"hernani_dryforestwet",944
"123","web asymmetry",-0.957219251336898,"hernani_rainforestdry",944
"124","web asymmetry",-0.986214209968187,"Jamaica",944
"125","web asymmetry",-0.97752808988764,"SAFE",944
"126","web asymmetry",-0.979381443298969,"Texas",944
"127","web asymmetry",-0.98431931575196,"Beth_cr",946
"128","web asymmetry",-0.980253878702398,"hernani_dryforestdry",946
"129","web asymmetry",-0.975443383356071,"hernani_dryforestwet",946
"130","web asymmetry",-0.957333333333333,"hernani_rainforestdry",946
"131","web asymmetry",-0.986058981233244,"Jamaica",946
"132","web asymmetry",-0.977493606138107,"SAFE",946
"133","web asymmetry",-0.979274611398964,"Texas",946
