"","metric","value","network","clustering"
"1","weighted connectance",0.129755147793045,"Beth_cr",910
"2","weighted connectance",0.155538118735516,"hernani_dryforestdry",910
"3","weighted connectance",0.145197653032515,"hernani_dryforestwet",910
"4","weighted connectance",0.162326956336895,"hernani_rainforestdry",910
"5","weighted connectance",0.134330975075379,"Jamaica",910
"6","weighted connectance",0.0912137219308033,"SAFE",910
"7","weighted connectance",0.0811001474935236,"Texas",910
"8","weighted connectance",0.124947638057542,"Beth_cr",912
"9","weighted connectance",0.155878731557601,"hernani_dryforestdry",912
"10","weighted connectance",0.148368098002557,"hernani_dryforestwet",912
"11","weighted connectance",0.162365940591104,"hernani_rainforestdry",912
"12","weighted connectance",0.130486737570115,"Jamaica",912
"13","weighted connectance",0.0912752059726836,"SAFE",912
"14","weighted connectance",0.0752608925029583,"Texas",912
"15","weighted connectance",0.124536010845815,"Beth_cr",914
"16","weighted connectance",0.157050030188318,"hernani_dryforestdry",914
"17","weighted connectance",0.151197587889578,"hernani_dryforestwet",914
"18","weighted connectance",0.160448701932172,"hernani_rainforestdry",914
"19","weighted connectance",0.13103547511768,"Jamaica",914
"20","weighted connectance",0.0915587458129794,"SAFE",914
"21","weighted connectance",0.0746821083756129,"Texas",914
"22","weighted connectance",0.126139314719131,"Beth_cr",916
"23","weighted connectance",0.157519553646439,"hernani_dryforestdry",916
"24","weighted connectance",0.150020700211314,"hernani_dryforestwet",916
"25","weighted connectance",0.158570348428277,"hernani_rainforestdry",916
"26","weighted connectance",0.131600105720594,"Jamaica",916
"27","weighted connectance",0.0914986816034504,"SAFE",916
"28","weighted connectance",0.0744782058075807,"Texas",916
"29","weighted connectance",0.1254989778205,"Beth_cr",918
"30","weighted connectance",0.156294051155734,"hernani_dryforestdry",918
"31","weighted connectance",0.152777795185713,"hernani_dryforestwet",918
"32","weighted connectance",0.160651962223787,"hernani_rainforestdry",918
"33","weighted connectance",0.130414022818161,"Jamaica",918
"34","weighted connectance",0.0901914425045123,"SAFE",918
"35","weighted connectance",0.0741360643272724,"Texas",918
"36","weighted connectance",0.125352586924845,"Beth_cr",920
"37","weighted connectance",0.155260822030677,"hernani_dryforestdry",920
"38","weighted connectance",0.152720883786007,"hernani_dryforestwet",920
"39","weighted connectance",0.161030293453286,"hernani_rainforestdry",920
"40","weighted connectance",0.132159243749343,"Jamaica",920
"41","weighted connectance",0.0906073847090905,"SAFE",920
"42","weighted connectance",0.0728393669363898,"Texas",920
"43","weighted connectance",0.124985552452,"Beth_cr",922
"44","weighted connectance",0.154490895824787,"hernani_dryforestdry",922
"45","weighted connectance",0.152967651059099,"hernani_dryforestwet",922
"46","weighted connectance",0.160681931520269,"hernani_rainforestdry",922
"47","weighted connectance",0.132059206748627,"Jamaica",922
"48","weighted connectance",0.0908646107908787,"SAFE",922
"49","weighted connectance",0.0731205851010578,"Texas",922
"50","weighted connectance",0.124718795001467,"Beth_cr",924
"51","weighted connectance",0.158204654510616,"hernani_dryforestdry",924
"52","weighted connectance",0.150356198600162,"hernani_dryforestwet",924
"53","weighted connectance",0.163772044894447,"hernani_rainforestdry",924
"54","weighted connectance",0.131712025542148,"Jamaica",924
"55","weighted connectance",0.0860663499196275,"SAFE",924
"56","weighted connectance",0.0716323879782693,"Texas",924
"57","weighted connectance",0.122598997160877,"Beth_cr",926
"58","weighted connectance",0.155173442164657,"hernani_dryforestdry",926
"59","weighted connectance",0.150882906263757,"hernani_dryforestwet",926
"60","weighted connectance",0.164517951742061,"hernani_rainforestdry",926
"61","weighted connectance",0.131158487325264,"Jamaica",926
"62","weighted connectance",0.0861726512333794,"SAFE",926
"63","weighted connectance",0.0710210980407665,"Texas",926
"64","weighted connectance",0.121918356099818,"Beth_cr",928
"65","weighted connectance",0.155531096122699,"hernani_dryforestdry",928
"66","weighted connectance",0.152044033066025,"hernani_dryforestwet",928
"67","weighted connectance",0.162837903291395,"hernani_rainforestdry",928
"68","weighted connectance",0.129053244043909,"Jamaica",928
"69","weighted connectance",0.0869514346146411,"SAFE",928
"70","weighted connectance",0.0703995249404457,"Texas",928
"71","weighted connectance",0.122660626680625,"Beth_cr",930
"72","weighted connectance",0.160827591592452,"hernani_dryforestdry",930
"73","weighted connectance",0.158161708949867,"hernani_dryforestwet",930
"74","weighted connectance",0.163284848332307,"hernani_rainforestdry",930
"75","weighted connectance",0.133019467399645,"Jamaica",930
"76","weighted connectance",0.0860973512621684,"SAFE",930
"77","weighted connectance",0.0680582437886866,"Texas",930
"78","weighted connectance",0.124131307076038,"Beth_cr",932
"79","weighted connectance",0.160660804580353,"hernani_dryforestdry",932
"80","weighted connectance",0.159125102902854,"hernani_dryforestwet",932
"81","weighted connectance",0.163712024638714,"hernani_rainforestdry",932
"82","weighted connectance",0.132920797863134,"Jamaica",932
"83","weighted connectance",0.0853128474479244,"SAFE",932
"84","weighted connectance",0.0678711444714323,"Texas",932
"85","weighted connectance",0.125128980407929,"Beth_cr",934
"86","weighted connectance",0.161077614080789,"hernani_dryforestdry",934
"87","weighted connectance",0.156722638412629,"hernani_dryforestwet",934
"88","weighted connectance",0.1608987719068,"hernani_rainforestdry",934
"89","weighted connectance",0.132687370502218,"Jamaica",934
"90","weighted connectance",0.0852659559408872,"SAFE",934
"91","weighted connectance",0.0676209613139173,"Texas",934
"92","weighted connectance",0.124792063891886,"Beth_cr",936
"93","weighted connectance",0.160568246011604,"hernani_dryforestdry",936
"94","weighted connectance",0.15462523708831,"hernani_dryforestwet",936
"95","weighted connectance",0.161043976878007,"hernani_rainforestdry",936
"96","weighted connectance",0.131042106783314,"Jamaica",936
"97","weighted connectance",0.0840789439000413,"SAFE",936
"98","weighted connectance",0.0662423752282544,"Texas",936
"99","weighted connectance",0.122476404101039,"Beth_cr",938
"100","weighted connectance",0.164125508347372,"hernani_dryforestdry",938
"101","weighted connectance",0.160614967863788,"hernani_dryforestwet",938
"102","weighted connectance",0.159023494344681,"hernani_rainforestdry",938
"103","weighted connectance",0.134713187709863,"Jamaica",938
"104","weighted connectance",0.0840780750028298,"SAFE",938
"105","weighted connectance",0.0656503589360497,"Texas",938
"106","weighted connectance",0.122707583099605,"Beth_cr",940
"107","weighted connectance",0.164107253779116,"hernani_dryforestdry",940
"108","weighted connectance",0.156696985926627,"hernani_dryforestwet",940
"109","weighted connectance",0.159730135392464,"hernani_rainforestdry",940
"110","weighted connectance",0.13322133738822,"Jamaica",940
"111","weighted connectance",0.0850195993154454,"SAFE",940
"112","weighted connectance",0.065581054216739,"Texas",940
"113","weighted connectance",0.123197520380248,"Beth_cr",942
"114","weighted connectance",0.164575800713561,"hernani_dryforestdry",942
"115","weighted connectance",0.156161143959279,"hernani_dryforestwet",942
"116","weighted connectance",0.156222874661245,"hernani_rainforestdry",942
"117","weighted connectance",0.132890478012693,"Jamaica",942
"118","weighted connectance",0.0839201847091079,"SAFE",942
"119","weighted connectance",0.0654725881207906,"Texas",942
"120","weighted connectance",0.121795791342635,"Beth_cr",944
"121","weighted connectance",0.168903142045005,"hernani_dryforestdry",944
"122","weighted connectance",0.161999722419715,"hernani_dryforestwet",944
"123","weighted connectance",0.153625811740166,"hernani_rainforestdry",944
"124","weighted connectance",0.134563242808088,"Jamaica",944
"125","weighted connectance",0.0818577390841203,"SAFE",944
"126","weighted connectance",0.0629384609582426,"Texas",944
"127","weighted connectance",0.119534426810441,"Beth_cr",946
"128","weighted connectance",0.169803949611612,"hernani_dryforestdry",946
"129","weighted connectance",0.164385252044297,"hernani_dryforestwet",946
"130","weighted connectance",0.152807297132237,"hernani_rainforestdry",946
"131","weighted connectance",0.135362142221608,"Jamaica",946
"132","weighted connectance",0.0809059608291804,"SAFE",946
"133","weighted connectance",0.0615148502450675,"Texas",946
"134","weighted connectance",0.119647271696044,"Beth_cr",948
"135","weighted connectance",0.169803949611612,"hernani_dryforestdry",948
"136","weighted connectance",0.164560823155533,"hernani_dryforestwet",948
"137","weighted connectance",0.152591831179491,"hernani_rainforestdry",948
"138","weighted connectance",0.135572233213867,"Jamaica",948
"139","weighted connectance",0.0808096206354253,"SAFE",948
"140","weighted connectance",0.061421428261337,"Texas",948
"141","weighted connectance",0.122059333351818,"Beth_cr",950
"142","weighted connectance",0.169737259846123,"hernani_dryforestdry",950
"143","weighted connectance",0.170345714173879,"hernani_dryforestwet",950
"144","weighted connectance",0.151622797325575,"hernani_rainforestdry",950
"145","weighted connectance",0.135491774776483,"Jamaica",950
"146","weighted connectance",0.0796968494375821,"SAFE",950
"147","weighted connectance",0.0606332972240383,"Texas",950
"148","weighted connectance",0.120906548540116,"Beth_cr",952
"149","weighted connectance",0.169218660407514,"hernani_dryforestdry",952
"150","weighted connectance",0.172003309125916,"hernani_dryforestwet",952
"151","weighted connectance",0.151433201220782,"hernani_rainforestdry",952
"152","weighted connectance",0.136918035635331,"Jamaica",952
"153","weighted connectance",0.0796137350158254,"SAFE",952
"154","weighted connectance",0.059642960755857,"Texas",952
"155","weighted connectance",0.121069801352699,"Beth_cr",954
"156","weighted connectance",0.168846091288954,"hernani_dryforestdry",954
"157","weighted connectance",0.172156642542749,"hernani_dryforestwet",954
"158","weighted connectance",0.150695623769209,"hernani_rainforestdry",954
"159","weighted connectance",0.137196817417562,"Jamaica",954
"160","weighted connectance",0.079846199926469,"SAFE",954
"161","weighted connectance",0.0595866049291499,"Texas",954
"162","weighted connectance",0.120665368462322,"Beth_cr",956
"163","weighted connectance",0.172695460276247,"hernani_dryforestdry",956
"164","weighted connectance",0.177217984092933,"hernani_dryforestwet",956
"165","weighted connectance",0.152373400819033,"hernani_rainforestdry",956
