"","metric","value","network","clustering"
"1","weighted nestedness",0.74649102689246,"Beth_cr",910
"2","weighted nestedness",0.670984967694611,"hernani_dryforestdry",910
"3","weighted nestedness",0.708045321596013,"hernani_dryforestwet",910
"4","weighted nestedness",0.593735395376635,"hernani_rainforestdry",910
"5","weighted nestedness",0.731399962752332,"Jamaica",910
"6","weighted nestedness",0.677146268016229,"SAFE",910
"7","weighted nestedness",0.493758423772894,"Texas",910
"8","weighted nestedness",0.74191015307979,"Beth_cr",912
"9","weighted nestedness",0.678420016201548,"hernani_dryforestdry",912
"10","weighted nestedness",0.72219602228417,"hernani_dryforestwet",912
"11","weighted nestedness",0.601466161323938,"hernani_rainforestdry",912
"12","weighted nestedness",0.732074347621796,"Jamaica",912
"13","weighted nestedness",0.683443936733349,"SAFE",912
"14","weighted nestedness",0.477464705309531,"Texas",912
"15","weighted nestedness",0.730933188853164,"Beth_cr",914
"16","weighted nestedness",0.670468564909836,"hernani_dryforestdry",914
"17","weighted nestedness",0.726511337555712,"hernani_dryforestwet",914
"18","weighted nestedness",0.596001614466949,"hernani_rainforestdry",914
"19","weighted nestedness",0.732337024846747,"Jamaica",914
"20","weighted nestedness",0.688713982887803,"SAFE",914
"21","weighted nestedness",0.478151336015351,"Texas",914
"22","weighted nestedness",0.732103078626604,"Beth_cr",916
"23","weighted nestedness",0.669844158395457,"hernani_dryforestdry",916
"24","weighted nestedness",0.725556449861119,"hernani_dryforestwet",916
"25","weighted nestedness",0.584275093966147,"hernani_rainforestdry",916
"26","weighted nestedness",0.734011012212116,"Jamaica",916
"27","weighted nestedness",0.688247591746449,"SAFE",916
"28","weighted nestedness",0.475810187973432,"Texas",916
"29","weighted nestedness",0.724959473251517,"Beth_cr",918
"30","weighted nestedness",0.682149765106524,"hernani_dryforestdry",918
"31","weighted nestedness",0.731740973958746,"hernani_dryforestwet",918
"32","weighted nestedness",0.595225552218816,"hernani_rainforestdry",918
"33","weighted nestedness",0.734246862464367,"Jamaica",918
"34","weighted nestedness",0.690559991299599,"SAFE",918
"35","weighted nestedness",0.489736394233898,"Texas",918
"36","weighted nestedness",0.724983043578285,"Beth_cr",920
"37","weighted nestedness",0.685271609380098,"hernani_dryforestdry",920
"38","weighted nestedness",0.730528709864761,"hernani_dryforestwet",920
"39","weighted nestedness",0.594269955964067,"hernani_rainforestdry",920
"40","weighted nestedness",0.737465468029844,"Jamaica",920
"41","weighted nestedness",0.688481360695579,"SAFE",920
"42","weighted nestedness",0.486561187663326,"Texas",920
"43","weighted nestedness",0.723412032882451,"Beth_cr",922
"44","weighted nestedness",0.685383307594603,"hernani_dryforestdry",922
"45","weighted nestedness",0.727406167144421,"hernani_dryforestwet",922
"46","weighted nestedness",0.591846663694588,"hernani_rainforestdry",922
"47","weighted nestedness",0.738964051826634,"Jamaica",922
"48","weighted nestedness",0.688301183406632,"SAFE",922
"49","weighted nestedness",0.48979603903301,"Texas",922
"50","weighted nestedness",0.711218819930327,"Beth_cr",924
"51","weighted nestedness",0.694095750659374,"hernani_dryforestdry",924
"52","weighted nestedness",0.723206891184699,"hernani_dryforestwet",924
"53","weighted nestedness",0.612397659782828,"hernani_rainforestdry",924
"54","weighted nestedness",0.744526771030634,"Jamaica",924
"55","weighted nestedness",0.678558849280673,"SAFE",924
"56","weighted nestedness",0.487998433175368,"Texas",924
"57","weighted nestedness",0.72336373109787,"Beth_cr",926
"58","weighted nestedness",0.691386945142461,"hernani_dryforestdry",926
"59","weighted nestedness",0.723786720567478,"hernani_dryforestwet",926
"60","weighted nestedness",0.616741932355549,"hernani_rainforestdry",926
"61","weighted nestedness",0.74210886356742,"Jamaica",926
"62","weighted nestedness",0.677243156414541,"SAFE",926
"63","weighted nestedness",0.488228025435789,"Texas",926
"64","weighted nestedness",0.722963827452964,"Beth_cr",928
"65","weighted nestedness",0.692731229531641,"hernani_dryforestdry",928
"66","weighted nestedness",0.723024703997,"hernani_dryforestwet",928
"67","weighted nestedness",0.616975832466661,"hernani_rainforestdry",928
"68","weighted nestedness",0.742503008621982,"Jamaica",928
"69","weighted nestedness",0.681383455659664,"SAFE",928
"70","weighted nestedness",0.486144936446677,"Texas",928
"71","weighted nestedness",0.719649756614785,"Beth_cr",930
"72","weighted nestedness",0.703559083296113,"hernani_dryforestdry",930
"73","weighted nestedness",0.738439315684313,"hernani_dryforestwet",930
"74","weighted nestedness",0.614576860773949,"hernani_rainforestdry",930
"75","weighted nestedness",0.742685249329492,"Jamaica",930
"76","weighted nestedness",0.676298751757788,"SAFE",930
"77","weighted nestedness",0.474267554374679,"Texas",930
"78","weighted nestedness",0.715777911055342,"Beth_cr",932
"79","weighted nestedness",0.702896297325044,"hernani_dryforestdry",932
"80","weighted nestedness",0.738212098863869,"hernani_dryforestwet",932
"81","weighted nestedness",0.615486219822167,"hernani_rainforestdry",932
"82","weighted nestedness",0.743408802448863,"Jamaica",932
"83","weighted nestedness",0.676014540707566,"SAFE",932
"84","weighted nestedness",0.472029762769915,"Texas",932
"85","weighted nestedness",0.719777938247155,"Beth_cr",934
"86","weighted nestedness",0.700353338533133,"hernani_dryforestdry",934
"87","weighted nestedness",0.736015661352547,"hernani_dryforestwet",934
"88","weighted nestedness",0.603703118483731,"hernani_rainforestdry",934
"89","weighted nestedness",0.743934917988733,"Jamaica",934
"90","weighted nestedness",0.674031709417803,"SAFE",934
"91","weighted nestedness",0.477315269510538,"Texas",934
"92","weighted nestedness",0.721434887490171,"Beth_cr",936
"93","weighted nestedness",0.706033020647849,"hernani_dryforestdry",936
"94","weighted nestedness",0.75099129736443,"hernani_dryforestwet",936
"95","weighted nestedness",0.607199422155204,"hernani_rainforestdry",936
"96","weighted nestedness",0.742199839496746,"Jamaica",936
"97","weighted nestedness",0.674587384388845,"SAFE",936
"98","weighted nestedness",0.478049239825942,"Texas",936
"99","weighted nestedness",0.710521808479195,"Beth_cr",938
"100","weighted nestedness",0.713944197069088,"hernani_dryforestdry",938
